Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Anchor Standards,KG-12,2023-11-29T23:39:54+00:00
Artistic Process,1.1,DA:Cr,**Creating:** Conceiving and developing new artistic ideas and work.,KG-12,2024-01-15T18:10:39+00:00
Anchor Standard,1.1.1,DA:Cr1,Generate and conceptualize artistic work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.1.1.1,DA:Cr1.1,Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression.,KG-12,2023-11-30T15:34:17+00:00
Anchor Standard,1.1.2,DA:Cr2,Organize and develop artistic ideas and work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.1.2.1,DA:Cr2.1,"The elements of dance, dance structures, and choreographic devices serve as both a foundation and a departure point for choreographers.",KG-12,2023-11-30T15:34:17+00:00
Anchor Standard,1.1.3,DA:Cr3,Refine and complete artistic work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.1.3.1,DA:Cr3.1,"Choreographers analyze, evaluate, refine, and document their work to communicate meaning.",KG-12,2023-11-30T15:34:17+00:00
Artistic Process,1.2,DA:Pr,**Performing:** Realizing artistic ideas and work through interpretation and presentation.,KG-12,2024-01-15T18:10:55+00:00
Anchor Standard,1.2.1,DA:Pr4,"Select, analyze, and interpret artistic work for performance.",KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.2.1.1,DA:4.1,"Space, time, and energy are basic elements of dance.",KG-12,2023-11-30T15:09:38+00:00
Anchor Standard,1.2.2,DA:Pr5,Develop and refine artistic techniques and work for presentation.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.2.2.1,DA:5.1,Dancers use the mind-body connection and develop the body as an instrument for artistry and artistic expression.,KG-12,2025-05-23T15:50:00+00:00
Anchor Standard,1.2.3,DA:Pr6,Convey meaning through the presentation of artistic work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.2.3.1,DA:6.1,"Dance performance is an interaction between performer, production elements, and audience that heightens and amplifies artistic expression.",KG-12,2025-05-23T15:49:21+00:00
Artistic Process,1.3,DA:Re,**Responding:** Understanding and evaluating how the arts convey meaning.,KG-12,2024-01-15T18:11:07+00:00
Anchor Standard,1.3.1,DA:Re7,Perceive and analyze artistic work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.3.1.1,DA:7.1,Dance is perceived and analyzed to comprehend its meaning.,KG-12,2023-11-30T15:09:38+00:00
Anchor Standard,1.3.2,DA:Re8,Interpret intent and meaning in artistic work.,KG-12,2023-11-30T15:34:17+00:00
Enduring Understanding,1.3.2.1,DA:8.1,"Dance is interpreted by considering intent, meaning, and artistic expression as communicated through the use of the body, elements of dance, dance technique, dance structure, and context.",KG-12,2024-01-15T08:30:32+00:00
