Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2024-01-17T23:43:43+00:00
Artistic Process,1.1,MA:K.Cr,Creating,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.1.1,MA:K.Cr1,Generate and Conceptualize Artistic Ideas,KG,2024-01-17T23:43:43+00:00
Standard,1.1.1.1,MA:K.Cr1.a,Share ideas for media artworks through guided exploration of methods and imagining.,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.1.2,MA:K.Cr2,Organize and Develop Artistic Ideas and Work,KG,2024-01-17T23:43:43+00:00
Standard,1.1.2.1,MA:K.Cr2.a,"With guidance, use ideas to form plans or models for media arts productions.",KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.1.3,MA:K.Cr3,Refine and Complete Artistic Work,KG,2024-01-17T23:43:43+00:00
Standard,1.1.3.1,MA:K.Cr3.a,"Form and capture media arts content for expression and meaning in media arts productions (e.g., symbols).",KG,2024-01-17T23:43:43+00:00
Standard,1.1.3.2,MA:K.Cr3.b,"Make changes to the content, form, or presentation of media artworks and share results.",KG,2024-01-17T23:43:43+00:00
Artistic Process,1.2,MA:K.Pr,Producing,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.2.1,MA:K.Pr4,"Select, Analyze, and Interpret Artistic Work for Performance",KG,2024-01-17T23:43:43+00:00
Standard,1.2.1.1,MA:K.Pr4.a,"With guidance, combine art forms and media content (e.g., dance and video) to form media artworks.",KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.2.2,MA:K.Pr5,Develop and Refine Artistic Techniques and Work for Presentation,KG,2024-01-17T23:43:43+00:00
Standard,1.2.2.1,MA:K.Pr5.a,"Identify and demonstrate basic skills, including handling tools, making choices, and cooperating in creating media artworks.",KG,2024-01-17T23:43:43+00:00
Standard,1.2.2.2,MA:K.Pr5.b,"Identify and demonstrate creative skills, including performing, within media arts productions.",KG,2024-01-17T23:43:43+00:00
Standard,1.2.2.3,MA:K.Pr5.c,"Practice, discover, and share how media arts creation tools work.",KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.2.3,MA:K.Pr6,Convey Meaning Through the Presentation of Artistic Work,KG,2024-01-17T23:43:43+00:00
Standard,1.2.3.1,MA:K.Pr6.a,"With guidance, identify and share roles and the situation in presenting media artworks.",KG,2024-01-17T23:43:43+00:00
Standard,1.2.3.2,MA:K.Pr6.b,"With guidance, identify and share reactions to the presentations of media artworks.",KG,2024-01-17T23:43:43+00:00
Artistic Process,1.3,MA:K.Re,Responding,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.3.1,MA:K.Re7,Perceive and Analyze Artistic Work,KG,2024-01-17T23:43:43+00:00
Standard,1.3.1.1,MA:K.Re7.a,Recognize and share components and messages in media artworks.,KG,2024-01-17T23:43:43+00:00
Standard,1.3.1.2,MA:K.Re7.b,Recognize and share how a variety of media artworks create different experiences.,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.3.2,MA:K.Re8,Interpret Intent and Meaning in Artistic Work,KG,2024-01-17T23:43:43+00:00
Standard,1.3.2.1,MA:K.Re8.a,"With guidance, share observations regarding a variety of media artworks.",KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.3.3,MA:K.Re9,Apply Criteria to Evaluate Artistic Work,KG,2024-01-17T23:43:43+00:00
Standard,1.3.3.1,MA:K.Re9.a,"With guidance, examine and share appealing qualities in media artworks.",KG,2024-01-17T23:43:43+00:00
Artistic Process,1.4,MA:K.Cn,Connecting,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.4.1,MA:K.Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,KG,2024-01-17T23:43:43+00:00
Standard,1.4.1.1,MA:K.Cn10.a,Use personal experiences and choices in making media artworks.,KG,2024-01-17T23:43:43+00:00
Standard,1.4.1.2,MA:K.Cn10.b,Share memorable experiences of media artworks.,KG,2024-01-17T23:43:43+00:00
Anchor Standard,1.4.2,MA:K.Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",KG,2024-01-17T23:43:43+00:00
Standard,1.4.2.1,MA:K.Cn11.a,"With guidance, share ideas in relating media artworks and everyday life (e.g., daily activities).",KG,2024-01-17T23:43:43+00:00
Standard,1.4.2.2,MA:K.Cn11.b,"With guidance, interact safely and appropriately with media arts tools and environments.",KG,2024-01-17T23:43:43+00:00
Grade,2,,Grade 1,01,2024-01-17T23:43:51+00:00
Artistic Process,2.1,MA:1.Cr,Creating,01,2024-01-17T23:43:51+00:00
Anchor Standard,2.1.1,MA:1.Cr1,Generate and Conceptualize Artistic Ideas,01,2024-01-17T23:43:51+00:00
Standard,2.1.1.1,MA:1.Cr1.a,"Discover and share ideas for media artworks using play, experimentation, and imagining.",01,2024-01-17T23:43:51+00:00
Anchor Standard,2.1.2,MA:1.Cr2,Organize and Develop Artistic Ideas and Work,01,2024-01-17T23:43:51+00:00
Standard,2.1.2.1,MA:1.Cr2.a,"With guidance, use teacher-identified ideas to form plans and models for media arts productions.",01,2024-01-17T23:43:51+00:00
Anchor Standard,2.1.3,MA:1.Cr3,Refine and Complete Artistic Work,01,2024-01-17T23:43:51+00:00
Standard,2.1.3.1,MA:1.Cr3.a,"Create, capture, and assemble media arts content for media arts productions, identifying basic principles (e.g., pattern and repetition).",01,2024-01-17T23:43:51+00:00
Standard,2.1.3.2,MA:1.Cr3.b,"Practice and identify the effects of making changes to the content, form, or presentation in order to refine and finish media artworks.",01,2024-01-17T23:43:51+00:00
Artistic Process,2.2,MA:1.Pr,Producing,01,2024-01-17T23:43:51+00:00
Anchor Standard,2.2.1,MA:1.Pr4,"Select, Analyze, and Interpret Artistic Work for Performance",01,2024-01-17T23:43:51+00:00
Standard,2.2.1.1,MA:1.Pr4.a,"Combine varied academic arts, and media content in media artworks (e.g., illustrated story).",01,2024-01-17T23:43:51+00:00
Anchor Standard,2.2.2,MA:1.Pr5,Develop and Refine Artistic Techniques and Work for Presentation,01,2024-01-17T23:43:51+00:00
Standard,2.2.2.1,MA:1.Pr5.a,"Describe and demonstrate various artistic skills and roles (e.g., technical steps, planning, and collaborating in media arts productions).",01,2024-01-17T23:43:51+00:00
Standard,2.2.2.2,MA:1.Pr5.b,Describe and demonstrate basic creative skills within media arts productions.,01,2024-01-17T23:43:51+00:00
Standard,2.2.2.3,MA:1.Pr5.c,Experiment with and share different ways to use tools and techniques to construct media artworks.,01,2024-01-17T23:43:51+00:00
Anchor Standard,2.2.3,MA:1.Pr6,Convey Meaning Through the Presentation of Artistic Work,01,2024-01-17T23:43:51+00:00
Standard,2.2.3.1,MA:1.Pr6.a,"With guidance, discuss presentation conditions and perform a task in presenting media artworks.",01,2024-01-17T23:43:51+00:00
Standard,2.2.3.2,MA:1.Pr6.b,"With guidance, discuss the experience of the presentations of media artworks.",01,2024-01-17T23:43:51+00:00
Artistic Process,2.3,MA:1.Re,Responding,01,2024-01-17T23:43:51+00:00
Anchor Standard,2.3.1,MA:1.Re7,Perceive and Analyze Artistic Work,01,2024-01-17T23:43:51+00:00
Standard,2.3.1.1,MA:1.Re7.a,Identify components and messages in media artworks.,01,2024-01-17T23:43:51+00:00
Standard,2.3.1.2,MA:1.Re7.b,"With guidance, identify how a variety of media artworks create different experiences.",01,2024-01-17T23:43:51+00:00
Anchor Standard,2.3.2,MA:1.Re8,Interpret Intent and Meaning in Artistic Work,01,2024-01-17T23:43:51+00:00
Standard,2.3.2.1,MA:1.Re8.a,"With guidance, identify the meanings of a variety of media artworks.",01,2024-01-17T23:43:51+00:00
Anchor Standard,2.3.3,MA:1.Re9,Apply Criteria to Evaluate Artistic Work,01,2024-01-17T23:43:51+00:00
Standard,2.3.3.1,MA:1.Re9.a,"Identify the effective parts of and possible changes to media artworks, considering viewers.",01,2024-01-17T23:43:51+00:00
