Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,K-8 General Music,,2023-12-15T17:21:08+00:00
Grade,1.1,,Kindergarten,KG,2023-12-21T17:07:43+00:00
Artistic Process,1.1.1,MU:K.Cr,Creating,KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.1.1,MU:K.Cr1,Generate and Conceptualize Artistic Ideas,KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.1.1,MU:K.Cr1.a,"With appropriate guidance, explore, experience, and improvise musical concepts (e.g., beat, melodic contour).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.1.2,MU:K.Cr1.b,"With appropriate guidance, explore musical features (e.g., movement, vocalizations, or instrumental accompaniments).",KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.1.2,MU:K.Cr2,Organize and develop artistic ideas and work.,KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.2.1,MU:K.Cr2.a,"With appropriate guidance, demonstrate and choose favorite musical ideas (e.g., singing and playing instruments).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.2.2,MU:K.Cr2.b,"With appropriate guidance, organize personal
musical ideas using notation (e.g., iconic notation and/or recording technology).",KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.1.3,MU:K.Cr3,Refine and complete artistic work.,KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.3.1,MU:K.Cr3.a,"With appropriate guidance, apply personal, peer, and teacher feedback in refining personal musical ideas.",KG,2023-12-21T17:07:43+00:00
Standard,1.1.1.3.2,MU:K.Cr3.b,"With appropriate guidance, demonstrate a final version of personal or collective musical ideas to peers.",KG,2023-12-21T17:07:43+00:00
Artistic Process,1.1.2,MU:K.Pr,Performing,KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.2.1,MU:K.Pr4,"Select, Analyze, and Interpret Artistic Work for Performance",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.1.1,MU:K.Pr4.a,"With appropriate guidance, demonstrate and state personal interest in varied musical selections.",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.1.2,MU:K.Pr4.b,"With appropriate guidance, explore and demonstrate musical contrasts of music selected for performance (e.g., high/low, loud/soft, same/different, fast/slow).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.1.3,MU:K.Pr4.c,"With appropriate guidance, read and perform rhythmic and melodic patterns using notation (e.g., iconic notation).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.1.4,MU:K.Pr4.d,"With appropriate guidance, explore musical concepts (e.g., voice quality, movement, dynamics, tempo, melodic contour).",KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.2.2,MU:K.Pr5,Develop and Refine Artistic Techniques and Work for Presentation,KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.2.1,MU:K.Pr5.a,"With appropriate guidance, apply personal, teacher, and peer feedback to refine performances (e.g., technique and stage presence).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.2.2,MU:K.Pr5.b,"With appropriate guidance, use suggested strategies in rehearsal to improve expression in music.",KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.2.3,MU:K.Pr6,Convey meaning through the presentation of artistic work.,KG,2024-02-14T22:49:06+00:00
Standard,1.1.2.3.1,MU:K.Pr6.a,"With appropriate guidance, perform music with expression (e.g., tone, tempo).",KG,2023-12-21T17:07:43+00:00
Standard,1.1.2.3.2,MU:K.Pr6.b,Perform appropriately for the audience and occasion.,KG,2023-12-21T17:07:43+00:00
Artistic Process,1.1.3,MU:K.Re,Responding,KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.3.1,MU:K.Re7,Perceive and Analyze Artistic Work,KG,2023-12-21T17:07:43+00:00
Standard,1.1.3.1.1,MU:K.Re7.a,"With appropriate guidance, list personal musical interests.",KG,2024-01-04T15:15:34+00:00
Standard,1.1.3.1.2,MU:K.Re7.b,"With appropriate guidance, demonstrate musical concepts (e.g., beat, melodic direction).",KG,2024-01-04T15:15:50+00:00
Anchor Standard,1.1.3.2,MU:K.Re8,Interpret Intent and Meaning in Artistic Work,KG,2023-12-21T17:07:43+00:00
Standard,1.1.3.2.1,MU:K.Re8.a,"With appropriate guidance, identify expressive attributes that reflect creators’/performers’ expressive intent (e.g., mood, emotion).",KG,2024-01-04T15:16:05+00:00
Anchor Standard,1.1.3.3,MU:K.Re9,Apply Criteria to Evaluate Artistic Work,KG,2023-12-21T17:07:43+00:00
Standard,1.1.3.3.1,MU:K.Re9.a,"With appropriate guidance, apply teacher provided criteria to evaluate musical works and performances.",KG,2024-01-04T15:17:40+00:00
Artistic Process,1.1.4,MU:K.Cn,Connecting,KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.4.1,MU:K.Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,KG,2023-12-21T17:07:43+00:00
Standard,1.1.4.1.1,MU:K.Cn10.a,"With appropriate guidance, express personal preferences in music.",KG,2023-12-21T17:07:43+00:00
Standard,1.1.4.1.2,MU:K.Cn10.b,"With appropriate guidance, explore various uses of music in daily experiences (e.g., songs of celebration, game songs, marches, T.V., movie, and video game soundtracks, dance music, work songs).",KG,2023-12-21T17:07:43+00:00
Anchor Standard,1.1.4.2,MU:K.Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",KG,2023-12-21T17:07:43+00:00
