Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Anchor Standards,KG-12,2024-02-16T17:04:22+00:00
Artistic Process,1.1,TH:Cr,**Creating** Conceiving and developing new artistic ideas and work.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.1.1,TH:Cr1,Generate and conceptualize artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.1.1.1,TH:Cr1.1,"Theatre artists rely on intuition, curiosity, and critical inquiry.",KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.1.2,TH:Cr2,Organize and develop artistic ideas and work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.1.2.1,TH:Cr2.1,Theatre artists work to discover different ways of communicating meaning.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.1.3,TH:Cr3,Refine and complete artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.1.3.1,TH:Cr3.1,Theatre artists refine their work and practice their craft through rehearsal.,KG-12,2024-02-16T17:04:22+00:00
Artistic Process,1.2,TH:Pr,**Performing** Realizing artistic ideas and work through interpretation and presentation.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.2.1,TH:Pr4,"Select, analyze, and interpret artistic work for performance.",KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.2.1.1,TH:Pr4.1,Theatre artists make strong choices to effectively convey meaning.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.2.2,TH:Pr5,Develop and refine artistic techniques and work for presentation.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.2.2.1,TH:Pr5.1,Theatre artists develop personal processes and skills for a performance or design,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.2.3,TH:Pr6,Convey meaning through the presentation of artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.2.3.1,TH:Pr6.1,"Theatre artists share and present stories, ideas, and envision worlds to explore the human experience.",KG-12,2024-02-16T17:04:22+00:00
Artistic Process,1.3,TH:Re,**Responding** Understanding and evaluating how the arts covey meaning.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.3.1,TH:Re7,Perceive and analyze artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.3.1.1,TH:Re7.1,Theatre artists reflect to understand the impact of drama processes and theatre experiences.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.3.2,TH:Re8,Interpret intent and meaning in artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.3.2.1,TH:Re8.1,Theatre artists’ interpretations of drama/theatre work are influenced by personal experiences and aesthetics.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.3.3,TH:Re9,Apply criteria to artistic work.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.3.3.1,TH:Re9.1,"Theatre artists apply criteria to investigate, explore, and assess drama and theatre work.",KG-12,2024-02-16T17:04:22+00:00
Artistic Process,1.4,TH:Cn,**Connecting** Relating artistic ideas and work with personal meaning and external context.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.4.1,TH:Cn10,Synthesize and relate knowledge and personal experiences to make art.,KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.4.1.1,TH:Cn10.1,Theatre artists allow awareness of interrelationships between self and others to influence and inform their work.,KG-12,2024-02-16T17:04:22+00:00
Anchor Standard,1.4.2,TH:Cn11,"Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding.",KG-12,2024-02-16T17:04:22+00:00
Enduring Understanding,1.4.2.1,TH:Cn11.1,Theatre artists understand and can communicate their creative process as they analyze the way the world may be understood.,KG-12,2024-02-16T17:04:22+00:00
Grade,2,,Kindergarten,KG,2024-02-16T17:01:20+00:00
Artistic Process,2.1,TH:K.Cr,Creating,KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.1.1,TH:K.Cr1,Generate and Conceptualize Artistic Ideas,KG,2024-02-16T17:01:20+00:00
Standard,2.1.1.1,TH:K.Cr1.a,"With prompting and support, transition between imagination and reality to invent and inhabit an imaginary elsewhere in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.1.1.2,TH:K.Cr1.b,"With prompting and support, interact with nonrepresentational materials, such as puppets and costume pieces, for a guided theatrical experience (e.g., process drama, story drama, creative drama)",KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.1.2,TH:K.Cr2,Organize and Develop Artistic Ideas and Work,KG,2024-02-16T17:01:20+00:00
Standard,2.1.2.1,TH:K.Cr2.a,"With prompting and support, interact with peers and contribute to a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.1.2.2,TH:K.Cr2.b,"With prompting and support, express original ideas in a guided theatrical experience (e.g., creative drama, process drama, story drama).",KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.1.3,TH:K.Cr3,Refine and Complete Artistic Work,KG,2024-02-16T17:01:20+00:00
Standard,2.1.3.1,TH:K.Cr3.a,"With prompting and support, ask and answer questions in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.1.3.2,TH:K.Cr3.b,"Using guided dramatic play, include sounds in a theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.1.3.3,TH:K.Cr3.c,"Identify single objects used in a guided theatrical experience (e.g., sun/circle, bus/rectangle).",KG,2024-02-16T17:01:20+00:00
Artistic Process,2.2,TH:K.Pr,Performing,KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.2.1,TH:K.Pr4,"Select, Analyze, and Interpret Artistic Work for Performance",KG,2024-02-16T17:01:20+00:00
Standard,2.2.1.1,TH:K.Pr4.a,"With prompting and support, identify characters and setting in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.2.1.2,TH:K.Pr4.b,"Use body and voice to communicate character traits and emotions in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.2.2,TH:K.Pr5,Develop and Refine Artistic Techniques and Work for Presentation,KG,2024-02-16T17:01:20+00:00
Standard,2.2.2.1,TH:K.Pr5.a,"With prompting and support, demonstrate physical movement in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Standard,2.2.2.2,TH:K.Pr5.b,"With prompting and support, demonstrate the use of various technical elements in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.2.3,TH:K.Pr6,Convey Meaning Through the Presentation of Artistic Work,KG,2024-02-16T17:01:20+00:00
Standard,2.2.3.1,TH:K.Pr6.a,"With prompting and support, perform in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Artistic Process,2.3,TH:K.Re,Responding,KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.3.1,TH:K.Re7,Perceive and Analyze Artistic Work,KG,2024-02-16T17:01:20+00:00
Standard,2.3.1.1,TH:K.Re7.a,"With prompting and support, express an emotional response to characters in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
Anchor Standard,2.3.2,TH:K.Re8,Interpret Intent and Meaning in Artistic Work,KG,2024-02-16T17:01:20+00:00
Standard,2.3.2.1,TH:K.Re8.a,"With prompting and support, identify setting in a guided theatrical experience (e.g., process drama, story drama, creative drama).",KG,2024-02-16T17:01:20+00:00
