Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Anchor Standards,KG-12,2024-01-11T09:10:23+00:00
Artistic Process,1.1,VA:Cr,**Creating** Conceiving and developing new artistic ideas and work.,,2024-01-12T23:42:09+00:00
Anchor Standard,1.1.1,VA:Cr1,Generate and conceptualize artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.1.1.1,VA:Cr1.1.a,Creativity and innovative thinking are essential life skills that can be developed.,,2024-01-18T00:07:10+00:00
Enduring Understanding,1.1.1.2,VA:Cr1.1.b,"Artists and designers shape artistic investigations, following or breaking with traditions in pursuit of creative art-making goals.",,2024-01-18T00:07:10+00:00
Anchor Standard,1.1.2,VA:Cr2,Organize and develop artistic ideas and work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.1.2.1,VA:Cr2.1.a,"Artists and designers experiment with forms, structures, materials, concepts, media, and art-making approaches.",,2024-02-15T22:18:37+00:00
Enduring Understanding,1.1.2.2,VA:Cr2.1.b,"Artists and designers balance experimentation, safety, freedom, and responsibility while developing and creating artworks.",,2024-01-18T00:07:10+00:00
Enduring Understanding,1.1.2.3,VA:Cr2.1.c,"People create and interact with objects, places, and design that define, shape, enhance, and empower their lives.",,2024-01-18T00:07:10+00:00
Anchor Standard,1.1.3,VA:Cr3,Refine and complete artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.1.3.1,VA:Cr3.1.a,"Artists and designers develop excellence through practice and constructive critique, reflecting on, revising, and refining work overtime.",,2024-01-18T00:07:10+00:00
Artistic Process,1.2,VA:Pr,**Presenting** Realizing artistic ideas and work through interpretation and presentation.,,2024-01-12T23:42:36+00:00
Anchor Standard,1.2.1,VA:Pr4,"Select, analyze, and interpret artistic work for performance.",,2024-01-11T09:09:28+00:00
Enduring Understanding,1.2.1.1,VA:Pr4.1.a,"Artists and other presenters consider various techniques, methods, venues, and criteria when analyzing, selecting, and curating objects, artifacts, and artworks for preservation and presentation.",,2024-01-18T00:07:10+00:00
Anchor Standard,1.2.2,VA:Pr5,Develop and refine artistic techniques and work for presentation.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.2.2.1,VA:Pr5.1.a,"Artists, curators, and others consider a variety of factors and methods, including evolving technologies, when preparing and refining artwork for display and/or deciding if and how to preserve and protect it.",,2024-01-18T00:07:10+00:00
Anchor Standard,1.2.3,VA:Pr6,Convey meaning through the presentation of artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.2.3.1,VA:Pr6.1.a,"Objects, artifacts, and artworks collected, preserved, or presented either by artists, museums, or other venues communicate meaning and a record of social, cultural, and political experiences resulting in the cultivating of appreciation and understanding.",,2024-01-18T00:07:10+00:00
Artistic Process,1.3,VA:Re,**Responding** Understanding and evaluating how the arts convey meaning.,,2024-01-12T23:42:45+00:00
Anchor Standard,1.3.1,VA:Re7,Perceive and analyze artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.3.1.1,VA:Re7.1.a,"Individual aesthetic and empathetic awareness developed through engagement with art can lead to understanding and appreciation of self, others, the natural world, and constructed environments",,2024-01-18T00:07:10+00:00
Enduring Understanding,1.3.1.2,VA:Re7.1.b,Visual imagery influences understanding of and responses to the world,,2024-01-18T00:07:10+00:00
Anchor Standard,1.3.2,VA:Re8,Interpret intent and meaning in artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.3.2.1,VA:Re8.1.a,People gain insights into the meanings of artworks by engaging in the process of art criticism.,,2024-01-18T00:07:10+00:00
Anchor Standard,1.3.3,VA:Re9,Apply criteria to artistic work.,,2024-01-11T09:09:28+00:00
Enduring Understanding,1.3.3.1,VA:Re9.1.a,People evaluate art based on various criteria.,,2024-01-18T00:07:10+00:00
Artistic Process,1.4,VA:Cn,**Connecting** Relating artistic ideas and work with personal meaning and external context.,,2024-01-12T23:43:10+00:00
Anchor Standard,1.4.1,VA:Cn10,Synthesize and relate knowledge and personal experiences to make art.,,2024-01-11T09:09:28+00:00
