Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Computer Science Core Concepts and Standards by Grade,,2023-11-14T21:14:33+00:00
Grade,1.1,,Kindergarten,KG,2023-11-17T14:55:57+00:00
Concept,1.1.1,K.CS,Computing Systems,KG,2023-11-17T14:55:57+00:00
Subconcept,1.1.1.1,K.CS.D,Devices,KG,2023-11-17T14:55:57+00:00
Standard,1.1.1.1.1,K.CS.D.1,"With teacher guidance, select and operate an appropriate device to perform a task.",KG,2023-11-17T14:55:57+00:00
Subconcept,1.1.1.2,K.CS.HS,Hardware and Software,KG,2023-11-17T14:55:57+00:00
Standard,1.1.1.2.1,K.CS.HS.1,Use appropriate terminology in identifying and describing the function of common physical components of computing systems.,KG,2023-11-17T20:53:02+00:00
Subconcept,1.1.1.3,K.CS.T,Troubleshooting,KG,2023-11-17T14:55:57+00:00
Standard,1.1.1.3.1,K.CS.T.1,Discuss basic hardware and software problems.,KG,2023-11-29T20:20:22+00:00
Concept,1.1.2,K.NI,Networks and the Internet,KG,2023-11-17T14:55:57+00:00
Subconcept,1.1.2.1,K.NI.C,Cybersecurity,KG,2023-11-17T14:55:57+00:00
Standard,1.1.2.1.1,K.NI.C.1,Explain that a password helps protect the privacy of information.,KG,2023-11-30T17:01:25+00:00
Subconcept,1.1.2.2,K.NI.NCO,"Network, Communication, and Organization",KG,2023-11-17T14:55:57+00:00
Standard,1.1.2.2.1,K.NI.NCO.1,"With teacher guidance, students define computer networks and how they can be used to connect people to other people, places, information, and ideas.",KG,2023-11-30T17:01:25+00:00
Concept,1.1.3,K.DA,Data and Analysis,KG,2023-11-17T14:55:57+00:00
Subconcept,1.1.3.1,K.DA.CVT,"Collection, Visualization and Transformation",KG,2023-11-17T14:55:57+00:00
Standard,1.1.3.1.1,K.DA.CVT.1,"With teacher guidance, collect and transform data using digital devices; Display data for communication in various visual formats.",KG,2023-11-30T17:01:25+00:00
Subconcept,1.1.3.2,K.DA.S,Storage,KG,2023-11-17T14:55:57+00:00
Standard,1.1.3.2.1,K.DA.S.1,Recognize that data can be collected and stored on different computing devices over time and retrieved later.,KG,2023-11-30T17:02:42+00:00
