Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Arizona Educational Technology Content Standards,,2023-11-16T20:59:23+00:00
Grade Band,1.1,,Grades K-2,KG-02,2023-11-16T16:38:47+00:00
Standard,1.1.1,K-2.1,"**Empowered Learner** - Students leverage technology to take an active role in choosing, achieving, and demonstrating competency in their learning goals, informed by the learning sciences.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.1.1,K-2.1.a,"Students, with guidance, consider and set personal learning goals and utilize appropriate technology to demonstrate knowledge and reflect on the learning process.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.1.2,K-2.1.b,"Students, with guidance, learn about technologies that can be used to connect to others and demonstrate the ability to link purpose with resource(s) to enhance and customize their learning.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.1.3,K-2.1.c,"Students, with guidance, learn to recognize feedback from both people and features embedded in digital tools, and use ageappropriate technology to share learning.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.1.4,K-2.1.d,"Students, with guidance, learn to recognize commonalities and fundamental structures across digital tools and begin to transfer learning between tools or learning environments.",KG-02,2023-11-16T16:38:47+00:00
Standard,1.1.2,K-2.2,"**Digital Citizen** - Students recognize the rights, responsibilities, and opportunities of living, learning, and working in an interconnected digital world, and they act and model in ways that are safe, legal, and ethical.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.2.1,K-2.2.a,"Students, with guidance, discuss and develop their digital identity through responsible use of technology.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.2.2,K-2.2.b,"Students, with guidance, engage in positive and safe behavior when using devices and working online with others.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.2.3,K-2.2.c,"Students, with guidance, begin to develop an understanding of ownership, sharing of information, and how to respect the work of others.",KG-02,2023-11-16T16:38:47+00:00
Indicator,1.1.2.4,K-2.2.d,"Students, with guidance, demonstrate the importance of keeping their information private.",KG-02,2023-11-16T16:38:47+00:00
Standard,1.1.3,K-2.3,"**Knowledge Constructor** - Students critically curate a variety of resources using digital tools to construct knowledge, produce creative artifacts, and make meaningful learning experiences for themselves and others.",KG-02,2023-11-16T16:38:47+00:00
