Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades Pre-K - 2,PK-02,2023-10-31T16:25:26+00:00
Strand,1.1,2.1,Comprehension of Health Promotion and Disease Prevention Concepts,PK-02,2023-10-31T16:24:18+00:00
Concept,1.1.1,2.1.1,Understand Relationship Between Health Behaviors and Health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.1.1,2.1.1.PO 1,Identify that healthy behaviors affect personal health and overall well-being,PK-02,2023-10-31T16:24:18+00:00
Concept,1.1.2,2.1.2,Understanding Multiple Dimensions of Health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.2.1,2.1.2.PO 1,Recognize what the human body is and what it means to be healthy,PK-02,2023-10-31T16:24:18+00:00
Concept,1.1.3,2.1.3,Understanding Personal Health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.3.1,2.1.3.PO 1,Describe ways to prevent communicable diseases,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.3.2,2.1.3.PO 2,"Identify that foods are classified into food groups and that a variety of food is needed for personal health, growth, and development",PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.3.3,2.1.3.PO 3,Identify that physical activity is integral to good health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.1.4,2.1.4,Understanding Prevention of Injuries and Health Problems,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.4.1,2.1.4.PO 1,List ways to prevent common childhood injuries,PK-02,2023-10-31T16:24:18+00:00
Concept,1.1.5,2.1.5,Understanding Use of Health Care,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.1.5.1,2.1.5.PO 1,Describe why it is important to seek health care,PK-02,2023-10-31T16:24:18+00:00
Strand,1.2,2.2,Analysis of Factors Affecting Health Behaviors,PK-02,2023-10-31T16:24:18+00:00
Concept,1.2.1,2.2.1,External Influences on Personal Health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.1,2.2.1.PO 1,Identify how the family influences personal health practices and behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.2,2.2.1.PO 2,Recognize how culture influences health practices and behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.3,2.2.1.PO 3,Recognize how peers can influence healthy and unhealthy behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.4,2.2.1.PO 4,Identify what the school can do to support personal health practices and behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.5,2.2.1.PO 5,Describe how the media can influence health behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.2.1.6,2.2.1.PO 6,Recognize how technology can influence personal health,PK-02,2023-10-31T16:24:18+00:00
Strand,1.3,2.3,"Access to Health Information, Products, and Services to Enhance Health",PK-02,2023-10-31T16:24:18+00:00
Concept,1.3.1,2.3.1,Knowledge of Sources of Help,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.3.1.1,2.3.1.PO 1,Identify trusted adults and professionals who can help promote health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.3.2,2.3.2,Accessing Help,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.3.2.1,2.3.1.PO 1,Identify ways to locate school and community health helpers,PK-02,2023-10-31T16:24:18+00:00
Strand,1.4,2.4,Use of Interpersonal Communication Skills to Enhance Health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.4.1,2.4.1,Communication to Enhance Health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.4.1.1,2.4.1.PO 1,"Demonstrate healthy ways to express needs, wants, and feelings",PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.4.1.2,2.4.1.PO 2,Demonstrate listening skills to enhance health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.4.2,2.4.2,Self Protection and Dealing with Conflict,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.4.2.1,2.4.2.PO 1,"Demonstrate ways to respond when in an unwanted, threatening, or dangerous situation",PK-02,2023-10-31T16:24:18+00:00
Concept,1.4.3,2.4.3,Asking for Help,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.4.3.1,2.4.3.PO 1,Demonstrate ways to tell a trusted adult if threatened or harmed,PK-02,2023-10-31T16:24:18+00:00
Strand,1.5,2.5,Use of Decision-Making Skills to Enhance Health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.5.1,2.5.1,Influences on Health Decision Making,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.5.1.1,2.5.1.PO 1,Identify circumstances that can help or hinder healthy decision making,PK-02,2023-10-31T16:24:18+00:00
Concept,1.5.2,2.5.2,Application of Decision-Making Skills to Health Grade Pre-K - 2 Grade 3 - 5 Grade 6 - 8 Grade 9 - 12,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.5.2.1,2.5.2.PO 1,Identify situations when a health-related decision is needed,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.5.2.2,2.5.2.PO 2,Differentiate between situations when a health-related decision can be made individually or when assistance is needed,PK-02,2023-10-31T16:24:18+00:00
Strand,1.6,2.6,Use of Goal-Setting Skills to Enhance Health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.6.1,2.6.1,Health-Related Goal Setting,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.6.1.1,2.6.1.PO 1,Identify a short-term personal health goal and take action toward achieving the goal,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.6.1.2,2.6.1.PO 2,Identify who can help when assistance is needed to achieve a personal health goal,PK-02,2023-10-31T16:24:18+00:00
Strand,1.7,2.7,Ability to Practice Health-Enhancing Behaviors,PK-02,2023-10-31T16:24:18+00:00
Concept,1.7.1,2.7.1,Healthy Practices and Behaviors,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.7.1.1,2.7.1.PO 1,Demonstrate healthy practices and behaviors to maintain or improve personal health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.7.1.2,2.7.1.PO 2,Demonstrate behaviors that avoid or reduce health risks,PK-02,2023-10-31T16:24:18+00:00
Strand,1.8,2.8,Ability to Advocate for Health,PK-02,2023-10-31T16:24:18+00:00
Concept,1.8.1,2.8.1,Personal Advocacy,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.8.1.1,2.8.1.PO 1,Make requests to promote personal health,PK-02,2023-10-31T16:24:18+00:00
Performance Objective,1.8.1.2,2.8.1.PO 2,Encourage family and peers to make positive health choices,PK-02,2023-10-31T16:24:18+00:00
Grade Band,2,,Grades 3 - 5,03-05,2023-10-31T16:25:34+00:00
Strand,2.1,5.1,Comprehension of Health Promotion and Disease Prevention Concepts,03-05,2023-10-31T16:24:31+00:00
Concept,2.1.1,5.1.1,Understand Relationship Between Health Behaviors and Health,03-05,2023-10-31T16:24:31+00:00
Performance Objective,2.1.1.1,5.1.1.PO 1,Describe the relationship between healthy behaviors and personal health,03-05,2023-10-31T16:24:31+00:00
Concept,2.1.2,5.1.2,Understanding Multiple Dimensions of Health,03-05,2023-10-31T16:24:31+00:00
Performance Objective,2.1.2.1,5.1.2.PO 1,"Identify examples of emotional, intellectual, physical, and social health",03-05,2023-10-31T16:24:31+00:00
Concept,2.1.3,5.1.3,Understanding Personal Health,03-05,2023-10-31T16:24:31+00:00
Performance Objective,2.1.3.1,5.1.3.PO 1,Describe ways in which a safe and healthy school and community environment can promote personal health.,03-05,2023-10-31T16:24:31+00:00
Performance Objective,2.1.3.2,5.1.3.PO 2,Describe the key nutrients contained in the food groups and how these nutrients affect health and learning,03-05,2023-10-31T16:24:31+00:00
Performance Objective,2.1.3.3,5.1.3.PO 3,Describe how physical activity impacts health,03-05,2023-10-31T16:24:31+00:00
