Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Content Areas and Anchor Standards,KG-12,2024-12-04T18:49:59+00:00
Content Area,1.1,,Disciplinary Skills and Processes,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.1.1,SP1,"Chronological reasoning requires understanding processes of change and continuity over time, which means assessing similarities and differences between historical periods and between the past and present.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.1.2,SP2,"Thinking within the discipline involves the ability to identify, compare, and evaluate multiple perspectives about a given event to draw conclusions about that event since there are multiple points of view about events and issues.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.1.3,SP3,"Historians and Social Scientists gather, interpret, and use evidence to develop claims and answer historical, economic, geographical, and political questions and communicate their conclusions.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.1.4,SP4,Thinking within the discipline involves the ability to analyze relationships among causes and effects and to create and support arguments using relevant evidence.,KG-12,2023-07-19T22:02:53+00:00
Content Area,1.2,,Civics,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.2.1,C1,Civic virtues and democratic principles are key components of the American political system.,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.2.2,C2,"Citizens have individual rights, roles, and responsibilities.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.2.3,C3,"An understanding of civic and political institutions in society and the principles these institutions are intended to reflect including knowledge about law, politics, and government are essential to effective citizenship.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.2.4,C4,"Process, rules, and laws direct how individuals are governed and how society addresses problems.",KG-12,2023-07-19T22:02:53+00:00
Content Area,1.3,,Economics,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.3.1,E1,"A financially literate individual understands how to manage income, spending, and investment.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.3.2,E2,"By applying economic reasoning, individuals seek to understand the decisions of people, groups, and societies.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.3.3,E3,Individuals and institutions are interdependent within market systems.,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.3.4,E4,"The domestic economy is shaped by interactions between government, institutions, and the private sector.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.3.5,E5,The interconnected global economy impacts all individuals and groups in significant and varied ways.,KG-12,2023-07-19T22:02:53+00:00
Content Area,1.4,,Geography,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.4.1,G1,The use of geographic representations and tools helps individuals understand their world.,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.4.2,G2,Human-environment interactions are essential aspects of human life in all societies.,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.4.3,G3,"Examining human population and movement helps individuals understand past, present, and future conditions on Earth's surface.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.4.4,G4,Global interconnections and spatial patterns are a necessary part of geographic reasoning.,KG-12,2023-07-19T22:02:53+00:00
Content Area,1.5,,History,KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.5.1,H1,"The development of civilizations, societies, cultures, and innovations have influenced history and continue to impact the modern world.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.5.2,H2,"Cycles of conflict and cooperation have shaped relations among people, places, and environments.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.5.3,H3,"Economic, political, and religious ideas and institutions have influenced history and continue to shape the modern world.",KG-12,2023-07-19T22:02:53+00:00
Anchor Standard,1.5.4,H4,"Patterns of social and political interactions have shaped people, places, and events throughout history and continue to shape the modern world.",KG-12,2023-07-19T22:02:53+00:00
Competency Grouping,2,,Inquiry Arc,KG-12,2024-12-04T18:49:55+00:00
Inquiry Element,2.1,,Inquiry Element 1: Developing Compelling Questions,KG-12,2023-07-19T22:02:53+00:00
Inquiry Element,2.2,,Inquiry Element 2: Constructing Supporting Questions,KG-12,2023-07-19T22:02:53+00:00
Inquiry Element,2.3,,Inquiry Element 3: Gathering and Evaluating Sources,KG-12,2023-07-19T22:02:53+00:00
Inquiry Element,2.4,,Inquiry Element 4: Developing Claims,KG-12,2023-07-19T22:02:53+00:00
Inquiry Element,2.5,,Inquiry Element 5: Communicating Conclusions,KG-12,2023-07-19T22:02:53+00:00
Inquiry Element,2.6,,Inquiry Element 6: Taking Informed Action,KG-12,2023-07-19T22:02:53+00:00
Competency Grouping,3,,Content Standards,,2024-12-04T18:49:50+00:00
Course,3.1,,Kindergarten - Children as Citizens,KG,2023-10-16T20:58:27+00:00
Content Area,3.1.1,,Disciplinary Skills and Processes,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.1.1,AS.SP1,"Chronological reasoning requires understanding processes of change and continuity over time, which means assessing similarities and differences between historical periods and between the past and present.",KG,2023-10-03T15:33:54+00:00
Content Standard,3.1.1.1.1,K.SP1.1,"Use a variety of words to reference time in the past, present, and future; identify the beginning, middle, and end of historical stories.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.1.1.2,K.SP1.2,Explore how events of the past affect students’ lives and community.,KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.1.1.3,K.SP1.3,"With prompting and support, generate questions about individuals and groups from stories shared.",KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.1.2,AS.SP2,"Thinking within the discipline involves the ability to identify, compare, and evaluate multiple perspectives about a given event to draw conclusions since there are multiple points of view about events and issues.",KG,2023-10-03T15:34:00+00:00
Content Standard,3.1.1.2.1,K.SP2.1,"With prompting and support, compare diverse cultures using primary sources such as photographs, artifacts, and music and secondary sources such as fiction and non-fiction.",KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.1.3,AS.SP3,"Historians and Social Scientists gather, interpret, and use evidence to develop claims and answer historical, economic, geographical, and political questions and communicate their conclusions.",KG,2023-10-03T15:34:06+00:00
Content Standard,3.1.1.3.1,K.SP3.1,"With prompting and support, ask questions and construct responses to content studied.",KG,2023-07-19T21:58:37+00:00
Content Area,3.1.2,,Civics,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.2.1,AS.C1,Civic virtues and democratic principles are key components of the American political system.,KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.2.1.1,K.C1.1,"Apply values of respect, responsibility, equality, and fairness within schools and communities.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.2.1.2,K.C1.2,Follow agreed upon rules for discussions when responding to others and making decisions as a group.,KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.2.1.3,K.C1.3,Compare one's own thoughts and opinions with those of others.,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.2.2,AS.C2,"Citizens have individual rights, roles, and responsibilities.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.2.2.1,K.C2.1,"Describe roles and responsibilities of people in authority.

* Such as school personnel, family members, and community members.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.2.2.2,K.C2.2,"Explain how all people, not just official leaders, play important roles in our school and community.",KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.2.3,AS.C4,"Process, rules, and laws direct how individuals are governed and how society addresses problems.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.2.3.1,K.C4.1,Explain how people work together to identify and solve problems within the classroom and school.,KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.2.3.2,K.C4.2,Explain why rules are important within the classroom and school.,KG,2023-07-19T21:58:37+00:00
Content Area,3.1.3,,Economics,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.3.1,AS.E1,"By applying economic reasoning, individuals seek to understand the decisions of people, groups, and societies.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.3.1.1,K.E2.1,"Explain how needs, wants, and the availability of resources affect decision making.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.3.1.2,K.E2.2,Identify what one gains and gives up when they make choices.,KG,2023-07-19T21:58:37+00:00
Content Area,3.1.4,,Geography,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.4.1,AS.G1,The use of geographic representations and tools help individuals understand their world.,KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.4.1.1,K.G1.1,"Use, explore, and construct maps, graphs and other geographical representations to support content focus.

* Key concepts include but are not limited to graphing local weather and mapping the classroom.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.4.1.2,K.G1.2,Explore locations in stories shared.,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.4.2,AS.G2,Human-environment interactions are essential aspects of human life in all societies.,KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.4.2.1,K.G2.1,Explain how water and weather impacts humans.,KG,2023-07-19T21:58:37+00:00
Content Area,3.1.5,,History,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.5.1,AS.H1,"The development of civilizations, societies, culture, and innovation have influenced history and continue to impact the modern world.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.5.1.1,K.H1.1,"Compare one’s own culture with the culture of others.

* Key cultures include those in the classroom, community, and one of Arizona’s 22 Indian Nations.",KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.5.2,AS.H2,"Cycles of conflict and cooperation have shaped relations among people, places, and environments.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.5.2.1,K.H2.1,Explain the benefits of cooperation and compromise as ways to solve problems.,KG,2023-07-19T21:58:37+00:00
Anchor Standard,3.1.5.3,AS.H4,"Patterns of social and political interactions have shaped people, places, and events throughout history and continue to shape the modern world.",KG,2023-10-03T15:33:36+00:00
Content Standard,3.1.5.3.1,K.H4.1,"Explain and explore origins of key American symbols, traditions and holidays.

* Key American symbols include but are not limited to American flag, bald eagle, Statue of Liberty, and Mount Rushmore.
* Key traditions include but are not limited to the Pledge of Allegiance and National Anthem.
* Key holidays include but are not limited to Columbus Day, Thanksgiving, Presidents Day, Martin Luther King Jr. Day, Fourth of July, and Constitution Day.",KG,2023-07-19T21:58:37+00:00
Content Standard,3.1.5.3.2,K.H4.2,Explore the stories of key historical figures through informational text and biographies.,KG,2023-07-19T21:58:37+00:00
