Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Standards for Mathematical Practice,KG-12,2025-05-21T12:21:16+00:00
Standard,1.1,MP1,Make sense of problems and persevere in solving them.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.2,MP2,Reason abstractly and quantitatively.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.3,MP3,Construct viable arguments and critique the reasoning of others.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.4,MP4,Model with mathematics.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.5,MP5,Use appropriate tools strategically.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.6,MP6,Attend to precision.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.7,MP7,Look for and make use of structure.,KG-12,2025-05-21T12:23:14+00:00
Standard,1.8,MP8,Look for and express regularity in repeated reasoning.,KG-12,2025-05-21T12:23:14+00:00
,2,,*Arizona's Mathematics Standards - Essential Standards,,2025-05-21T12:23:14+00:00
Grade Band,3,,Standards for Grades K-8 Math Content,KG-08,2025-05-21T12:21:16+00:00
Grade Level,3.1,,Kindergarten,KG,2025-05-21T12:23:14+00:00
Domain,3.1.1,,Counting & Cardinality,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.1.1,K.CC.A,Know number names and the count sequence.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.1.1,K.CC.A.1,Count to 100 by ones and by tens.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.1.2,K.CC.A.2,"Count forward from a given number other than one, within the known sequence (e.g., ""Starting at the number 5, count up to 11."").",KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.1.3,K.CC.A.3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.1.2,K.CC.B,Count to tell the number of objects.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.2.1,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,KG,2025-05-21T12:21:16+00:00
Component,3.1.1.2.1.1,K.CC.B.4.a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",KG,2025-05-21T12:21:16+00:00
Component,3.1.1.2.1.2,K.CC.B.4.b,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,KG,2025-05-21T12:21:16+00:00
Component,3.1.1.2.1.3,K.CC.B.4.c,Understand that each successive number name refers to a quantity that is one larger.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.2.2,K.CC.B.5,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1—20, count out that many objects.",KG,2025-05-21T12:21:16+00:00
Cluster,3.1.1.3,K.CC.C,Compare numbers.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.1.3.1,K.CC.C.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.",KG,2025-05-21T12:23:14+00:00
Standard,3.1.1.3.2,K.CC.C.7,Compare two numbers between 0 and 10 presented as written numerals.,KG,2025-05-21T12:21:16+00:00
Domain,3.1.2,,Operations & Algebraic Thinking,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.2.1,K.OA.A,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",KG,2025-05-21T12:21:16+00:00
Standard,3.1.2.1.1,K.OA.A.1,Represent addition and subtraction concretely. See Table 1.,KG,2025-05-21T12:23:14+00:00
Standard,3.1.2.1.2,K.OA.A.2,Solve addition and subtraction word problems and add and subtract within 10. See Table 1.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.2.1.3,K.OA.A.3,"Decompose numbers less than or equal to 10 into pairs in more than one way (e.g., using fingers, objects, symbols, tally marks, drawings, expressions).",KG,2025-05-21T12:21:16+00:00
Standard,3.1.2.1.4,K.OA.A.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number (e.g., using fingers, objects, symbols, tally marks, drawings, or equation).",KG,2025-05-21T12:21:16+00:00
Standard,3.1.2.1.5,K.OA.A.5,Fluently add and subtract within 5.,KG,2025-05-21T12:21:16+00:00
Domain,3.1.3,,Number & Operations in Base Ten,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.3.1,K.NBT.A,Work with numbers 11—19 to gain foundations for place value.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.3.1.1,K.NBT.A.1,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",KG,2025-05-21T12:21:16+00:00
Cluster,3.1.3.2,K.NBT.B,Use place value understanding and properties of operations to add and subtract.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.3.2.1,K.NBT.B.2,Demonstrate understanding of addition and subtraction within 10 using place value. See Table 1.,KG,2025-05-21T12:23:14+00:00
Domain,3.1.4,,Measurement & Data,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.4.1,K.MD.A,Describe and compare measurable attributes.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.4.1.1,K.MD.A.1,Describe measurable attributes of a single object (e.g. length and weight).,KG,2025-05-21T12:21:16+00:00
Standard,3.1.4.1.2,K.MD.A.2,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. *For example, directly compare the heights of two children and describe one child as taller/shorter.*",KG,2025-05-21T12:23:14+00:00
Cluster,3.1.4.2,K.MD.B,Classify objects and count the number of objects in each category.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.4.2.1,K.MD.B.3,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,KG,2025-05-21T12:23:14+00:00
Domain,3.1.5,,Geometry,KG,2025-05-21T12:21:16+00:00
Cluster,3.1.5.1,K.G.A,Identify and describe shapes.,KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.1.1,K.G.A.1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.1.2,K.G.A.2,"Correctly name shapes regardless of their orientation or overall size (e.g., circle, triangle, square, rectangle, rhombus, trapezoid, hexagon, cube, cone, cylinder, sphere).",KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.1.3,K.G.A.3,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"").",KG,2025-05-21T12:21:16+00:00
Cluster,3.1.5.2,K.G.B,"Analyze, compare, create, and compose shapes.",KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.2.1,K.G.B.4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length).",KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.2.2,K.G.B.5,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",KG,2025-05-21T12:21:16+00:00
Standard,3.1.5.2.3,K.G.B.6,"Compose simple shapes to form larger shapes. *For example, ""Can you join these two triangles with full sides touching to make a rectangle?""*",KG,2025-05-21T12:23:14+00:00
Grade Level,3.2,,Grade 1,01,2025-05-21T12:23:14+00:00
Domain,3.2.1,,Operations & Algebraic Thinking,01,2025-05-21T12:21:16+00:00
Cluster,3.2.1.1,1.OA.A,Represent and solve problems involving addition and subtraction.,01,2025-05-21T12:21:16+00:00
Standard,3.2.1.1.1,1.OA.A.1,"Use addition and subtraction within 20 to solve word problems with unknowns in all positions (e.g., by using objects, drawings, and/or equations with a symbol for the unknown number to represent the problem). See Table 1.",01,2025-05-21T12:21:16+00:00
Standard,3.2.1.1.2,1.OA.A.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",01,2025-05-21T12:21:16+00:00
Cluster,3.2.1.2,1.OA.B,Understand and apply properties of operations and the relationship between addition and subtraction.,01,2025-05-21T12:21:16+00:00
Standard,3.2.1.2.1,1.OA.B.3,Apply properties of operations (commutative and associative properties of addition) as strategies to add and subtract within 20. (Students need not use formal terms for these properties.),01,2025-05-21T12:23:14+00:00
Standard,3.2.1.2.2,1.OA.B.4,"Understand subtraction as an unknown-addend problem within 20 (e.g., subtract 10 - 8 by finding the number that makes 10 when added to 8).",01,2025-05-21T12:21:16+00:00
Cluster,3.2.1.3,1.OA.C,Add and subtract within 20.,01,2025-05-21T12:21:16+00:00
Standard,3.2.1.3.1,1.OA.C.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",01,2025-05-21T12:21:16+00:00
Standard,3.2.1.3.2,1.OA.C.6,Fluently add and subtract within 10.,01,2025-05-21T12:21:16+00:00
Cluster,3.2.1.4,1.OA.D,Work with addition and subtraction equations.,01,2025-05-21T12:21:16+00:00
Standard,3.2.1.4.1,1.OA.D.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. *For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 - 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.*",01,2025-05-21T12:23:14+00:00
Standard,3.2.1.4.2,1.OA.D.8,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. *For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ - 3, 6 + 6 = _.*",01,2025-05-21T12:23:14+00:00
Domain,3.2.2,,Number & Operations in Base Ten,01,2025-05-21T12:21:16+00:00
Cluster,3.2.2.1,1.NBT.A,Extend the counting sequence.,01,2025-05-21T12:21:16+00:00
Standard,3.2.2.1.1,1.NBT.A.1,"Count to 120 by 1's, 2's, and 10's starting at any number less than 100. In this range, read and write numerals and represent a number of objects with a written numeral.",01,2025-05-21T12:21:16+00:00
Cluster,3.2.2.2,1.NBT.B,Understand place value.,01,2025-05-21T12:21:16+00:00
Standard,3.2.2.2.1,1.NBT.B.2,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,01,2025-05-21T12:21:16+00:00
Component,3.2.2.2.1.1,1.NBT.B.2.a,"10 can be thought of as a bundle of ten ones — called a ""ten.""",01,2025-05-21T12:21:16+00:00
Component,3.2.2.2.1.2,1.NBT.B.2.b,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",01,2025-05-21T12:21:16+00:00
Component,3.2.2.2.1.3,1.NBT.B.2.c,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",01,2025-05-21T12:21:16+00:00
Standard,3.2.2.2.2,1.NBT.B.3,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",01,2025-05-21T12:21:16+00:00
Cluster,3.2.2.3,1.NBT.C,Use place value understanding and properties of operations to add and subtract.,01,2025-05-21T12:21:16+00:00
Standard,3.2.2.3.1,1.NBT.C.4,"Demonstrate understanding of addition within 100, connecting objects or drawings to strategies based on place value (including multiples of 10), properties of operations, and/or the relationship between addition and subtraction. Relate the strategy to a written form. See Table 1.",01,2025-05-21T12:23:14+00:00
