Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2023-10-23T17:28:42+00:00
Standard,1.1,K.S1,The physically literate individual demonstrates competency in a variety of motor skills and movement patterns.,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.1,K.S1.E1,"Locomotor: Hopping, skipping, jumping, galloping, sliding, leaping",KG,2023-11-01T21:35:33+00:00
Expectation,1.1.2,K.S1.E2,Locomotor: Running,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.3,K.S1.E3,"Locomotor:
a. Jumping & Landing, Horizontal 
b. Jumping & Landing, Vertical",KG,2023-11-09T23:56:43+00:00
Expectation,1.1.4,K.S1.E4,Locomotor: Dancing,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.5,K.S1.E5,Locomotor: Movement Combinations,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.6,K.S1.E6,"Non-Locomotor:
a. Balance 
b. Inverted Balance",KG,2023-11-09T23:56:28+00:00
Expectation,1.1.7,K.S1.E7,"Non-Locomotor:
a. Weight Transfer 
b. Rolling",KG,2023-11-09T23:56:14+00:00
Expectation,1.1.8,K.S1.E8,"Non-Locomotor:
a. Curling & Stretching; Twisting & Bending
b. Crossing the mid-line",KG,2023-11-09T23:56:58+00:00
Expectation,1.1.9,K.S1.E9,Non-Locomotor: Movement Combinations,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.10,K.S1.E10,Manipulatives: Underhand throw,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.11,K.S1.E11,Manipulatives: Overhand throw,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.12,K.S1.E12,Manipulatives: Catching,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.13,K.S1.E13,"Manipulatives:
a. Stationary dribbling/ball control with hands 
b. Moving while dribbling/ball control with hands",KG,2023-11-09T23:55:44+00:00
Expectation,1.1.14,K.S1.E14,Manipulatives: Dribbling/ball control with feet,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.15,K.S1.E15,Manipulatives: Passing and receiving with feet,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.16,K.S1.E16,Manipulatives: Dribbling in Combination,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.17,K.S1.E17,Manipulatives: Kicking,KG,2023-10-23T17:28:42+00:00
Expectation,1.1.18,K.S1.E18,"Manipulatives: Volley, Underhand",KG,2023-10-23T17:28:42+00:00
Expectation,1.1.19,K.S1.E19,"Manipulatives: Volley, Overhead",KG,2023-10-23T17:28:42+00:00
Expectation,1.1.20,K.S1.E20,"Manipulatives: Striking, Short Implement",KG,2023-10-23T17:28:42+00:00
Expectation,1.1.21,K.S1.E21,"Manipulatives: Striking, Long Implement",KG,2023-10-23T17:28:42+00:00
Expectation,1.1.22,K.S1.E22,"Manipulatives:
a. Jumping short ropes 
b. Jumping long ropes",KG,2023-11-09T23:57:07+00:00
