Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,World and Native Language Standards,KG-12,2024-01-24T18:22:05+00:00
Component of Language Learning,1.1,,Communication,KG-12,2024-01-24T18:22:05+00:00
Strand,1.1.1,IC,"**Interpersonal Communication** Interact and negotiate meaning in spoken, written, or signed conversations to share information, reactions, feelings, and opinions. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.1.1.1,IC.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.1.1,IC.NL.1,Communicate on some very familiar topics using single words and phrases that have been practiced and learned.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.1.2,IC.NM.1,Communicate on very familiar topics using a variety of words and phrases that have been practiced and learned.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.1.3,IC.NH.1,Communicate and exchange information about familiar topics using phrases and simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.1.4,IC.NH.2,Carry out short social interactions in everyday situations by asking and answering simple questions.,KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.1.2,IC.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.1,IC.IL.1,Participate in conversations on familiar topics by using simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.2,IC.IL.2,Carry out short social interactions in everyday situations by asking and answering simple questions.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.3,IC.IM.1,Participate in conversations on familiar topics by using a series of sentences and a few connecting words.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.4,IC.IM.2,Manage short social interactions in everyday situations by asking and answering a variety of questions.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.5,IC.IM.3,Communicate about events and experiences of daily activities and personal life.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.6,IC.IH.1,Participate with ease and confidence in conversations on familiar topics by using connected sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.7,IC.IH.2,"Manage social interactions in everyday situations, even when there is an unexpected complication.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.2.8,IC.IH.3,Communicate about events and experiences with some detail in various time frames.,KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.1.3,IC.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.1,IC.AL.1,. Engage in conversations about familiar and some academic topics that go beyond everyday life using multiple simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.2,IC.AL.2,Manage familiar situations with an unexpected complication.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.3,IC.AL.3,Communicate in an organized way and with some descriptive detail about events and experiences in various time frames.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.4,IC.AM.1,"Engage fully in conversations and discussions not only on familiar topics, but also on some concrete social, academic, and professional topics using connected sentences.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.5,IC.AM.2,Confidently communicate in routine situations with an unexpected complication.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.6,IC.AM.3,Communicate using descriptive detail about familiar and some unfamiliar events and experiences in various time frames.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.7,IC.AM.4,Express one’s point of view in conversations and discussions on some complex issues.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.8,IC.AH.1,Engage fully and spontaneously in conversations and discussions on complex issues and concrete topics using connected sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.9,IC.AH.2,Confidently communicate beyond routine situations with an unexpected complication.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.10,IC.AH.3,Communicate using descriptive detail about events and experiences in multiple time frames.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.1.3.11,IC.AH.4,Express and support opinion and develop hypotheses on topics of particular interest or personal expertise.,KG-12,2024-01-24T18:22:05+00:00
Strand,1.1.2,IL,"**Interpretive Listening** Understand, interpret, and analyze what is heard (communicated in ASL) on a variety of topics. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.1.2.1,IL.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.1.1,IL.NL.1,Recognize a few familiar words or phrases.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.1.2,IL.NM.1,Recognize some familiar words and phrases.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.1.3,IL.NH.1,"Understand words, phrases, and simple sentences related to everyday life; sometimes understand the main topic of what is heard.",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.2.2,IL.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.2.1,IL.IL.1,"Understand the main idea in short, simple messages, presentations, and overheard conversations on familiar topics..",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.2.2,IL.IM.1,"Understand the main idea in messages, presentations, and overheard conversations on a variety of topics related to everyday life, personal interests, and studies.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.2.3,IL.IH.1,"Understand the main idea and a few details in messages, presentations, and overheard conversations (even when something unexpected is expressed) on a variety of topics related to everyday life, personal interests, and studies.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.2.4,IL.IH.2,"Understand a few details of conversations, even when something unexpected is expressed; sometimes follow what is heard about events and experiences in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.2.3,IL.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.1,IL.AL.1,Understand the main idea and some supporting details in organized speech on a variety of topics of personal and general interest.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.2,IL.AL.2,Follow stories and descriptions of various lengths and time frames.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.3,IL.AL.3,"Understand information presented in a variety of genres on familiar topics, even when something unexpected is expressed.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.4,IL.AM.1,Understand the main idea and most supporting details on a variety of topics of personal and general interest as well as some topics of professional interest.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.5,IL.AM.2,Follow stories and descriptions of some length with supporting details and in various time frames.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.6,IL.AM.3,Understand information presented in most genres even when not familiar with the topic.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.7,IL.AH.1,"Follow narrative, informational, and descriptive speech.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.8,IL.AH.2,"Understand discussions on most topics that deal with special interests, unfamiliar situations, and abstract concepts.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.2.3.9,IL.AH.3,Sometimes follow extended arguments and different points of view.,KG-12,2024-01-24T18:22:05+00:00
Strand,1.1.3,IR,"**Interpretive Reading** Understand, interpret, and analyze what is read or viewed on a variety of topics. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.1.3.1,IR.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.1.1,IR.NL.1,Recognize a few letters or characters and learned words and phrases.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.1.2,IR.NM.1,"Recognize and understand some characters, words, and phrases.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.1.3,IR.NH.1,"Understand familiar words, phrases, sentences, and sometimes the main idea within short and simple texts related to everyday life.",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.3.2,IR.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.2.1,IR.IL.1,Understand the main idea of short and simple texts when the topic is familiar.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.2.2,IR.IM.1,"Understand the main idea of texts related to everyday life, personal interests, and studies.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.2.3,IR.IA.1,"Understand the main idea of texts related to everyday life, personal interests, and studies.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.2.4,IR.IA.2,Sometimes follow stories and descriptions about events and experiences in various time frames.,KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.3.3,IR.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.1,IR.AL.1,Understand the main idea and some supporting details on a variety of topics of personal and general interests.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.2,IR.AL.2,"Follow stories and descriptions of various lengths, time frames, and genres.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.3,IR.AM.1,Understand the main idea and relevant supporting details on a variety of topics of personal and general interests as well as some professional topics.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.4,IR.AM.2,"Follow stories and descriptions of considerable length, various time frames, and genres, even with an unfamiliar topic.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.5,IR.AH.1,"Understand what was read on most topics that deal with special interests, unfamiliar situations, and abstract concepts.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.6,IR.AH.2,"Easily follow narrative, informational, and descriptive texts of various lengths and in various time frames and genres.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.3.3.7,IR.AH.3,Sometimes follow extended arguments and different points of view.,KG-12,2024-01-24T18:22:05+00:00
Strand,1.1.4,PS,"**Presentatinal Speaking** Present information, concepts, and ideas to inform, explain, persuade, and narrate on a variety of topics using appropriate media and adapting to various audiences of listeners or viewers. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.1.4.1,PS.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.1.1,PS.NL.1,Present information about self and other familiar topics using single words or practiced phrases.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.1.2,PS.NM.1,"Present information about self and other familiar topics using a variety of words, phrases, and practiced expressions.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.1.3,PS.NH.1,Present basic information on familiar topics using learned phrases and simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.4.2,PS.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.2.1,PS.IL.1,Present information on familiar topics by using a series of simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.2.2,PS.IM.1,. Make simple presentations on a wide variety of familiar topics using connected sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.2.3,PS.IH.1,Make general presentations on events and experiences with some control of various time frames.,KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.4.3,PS.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.3.1,PS.AL.1,"Deliver detailed presentations on events, interests, experiences, and academic topics in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.3.2,PS.AM.1,"Deliver detailed presentations on a variety of events, experiences, academic topics, and issues in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.4.3.3,PS.AH.1,"Deliver detailed presentations with accuracy, clarity, and precision on a variety of events, experiences, and academic and professional topics in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Strand,1.1.5,PW,"**Presentational Writing** Present information, concepts, and ideas to inform, explain, persuade, and narrate on a variety of topics using appropriate media and adapting to various audiences of readers or viewers. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.1.5.1,PW.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.1.1,PW.NL.1,"Copy some familiar words, characters, or phrases.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.1.2,PW.NM.1,Write lists and practiced phrases on familiar topics.,KG-12,2024-01-24T19:42:35+00:00
Standard,1.1.5.1.3,PW.NH.1,Write short messages and notes using phrases and simple sentences on topics related to everyday life.,KG-12,2024-01-24T19:42:44+00:00
Performance Level,1.1.5.2,PW.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.2.1,PW.IL.1,Write and share short messages about familiar topics using a series of simple sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.2.2,PW.IM.1,Write and share material about a variety of familiar topics using connected sentences.,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.2.3,PW.IH.1,". Write and share simple paragraphs about events, experiences, and academic topics with some control of various time frames.",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.1.5.3,PW.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.3.1,PW.AL.1,"Write and present organized paragraphs appropriate to an audience on a variety of topics, events, and experiences in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.3.2,PW.AM.1,"Write and present papers/essays on events, experiences, and academic and professional topics in various time frames using wellorganized, detailed paragraphs.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.1.5.3.3,PW.AH.1,"Write and present in-depth, well-organized reports with clarity and precision on a variety of topics, issues, and interests in various time frames.",KG-12,2024-01-24T18:22:05+00:00
Component of Language Learning,1.2,,Cultural Competencies,KG-12,2024-01-24T18:37:25+00:00
Strand,1.2.1,CUL,"**Cultures** Use the target language to investigate, explain, and reflect on the relationship between the practices, products, and perspectives of cultures studied. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.2.1.1,CUL.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.1.1.1,CUL.N.1,"Recognize basic practices, products, and perspectives of cultures where the target language is spoken (e.g., greetings, holiday celebrations, body language, gestures, traditions).",KG-12,2025-04-25T17:45:50+00:00
Standard,1.2.1.1.2,CUL.N.2,"Participate in age-appropriate and culturally authentic activities such as celebrations, songs, games, and dances; recognize products of culture (e.g., food, shelter, clothing, transportation, toys).",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.2.1.2,CUL.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.1.2.1,CUL.I.1,"Investigate and describe similarities and differences in practices, products, and perspectives used across cultures (e.g., holidays, family life, historical and contemporary figures) to understand one’s own and others’ ways of thinking.",KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.1.2.2,CUL.I.2,"Use appropriate language and behaviors while participating in familiar culturally authentic activities and situations (e.g., presentations, virtual activities, community celebrations, theatrical productions, concerts, interviews).",KG-12,2024-01-24T18:22:05+00:00
Performance Level,1.2.1.3,CUL.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.1.3.1,CUL.A.1,"Analyze and evaluate practices, products, and perspectives of the culture studied and describe how they are interrelated to topics of philosophy, social issues, regionalisms, history, and traditions of their own cultures (as applicable).",KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.1.3.2,CUL.A.2,"Interact at a culturally competent level in familiar and some unfamiliar cultural situations (e.g., community events, travel, service activities, interactions).",KG-12,2024-01-24T18:22:05+00:00
Strand,1.2.2,CON,"**Connections** Build, reinforce, and expand knowledge of other content areas and evaluate information and diverse perspectives while using the target language to develop critical thinking and creative problem solving. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.2.2.1,CON.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.2.1.1,CON.N.1,"Identify and use familiar vocabulary and phrases in the target language supported by resources (e.g., maps, graphs, visuals, audio, digital media) to reinforce prior knowledge and make connections to new knowledge of familiar topics in other content areas (e.g., geography, history, arts, math, science).",KG-12,2025-04-25T17:45:40+00:00
Performance Level,1.2.2.2,CON.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.2.2.1,CON.I.1,Access and interpret information in the target language on familiar topics and use it to reinforce and further knowledge in other content areas.,KG-12,2025-04-25T17:19:32+00:00
Performance Level,1.2.2.3,CON.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.2.3.1,CON.A.1,Analyze and synthesize information gathered in the target language to think critically and solve problems in other content areas and real world situations in the culture(s) studied and (as applicable) in one’s own culture.,KG-12,2025-04-25T17:19:39+00:00
Strand,1.2.3,COMP,"**Comparisons** Use the language to investigate, explain, and reflect on the nature of language and the concept of culture through comparisons of the target language and cultures studied to one’s own. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.2.3.1,COMP.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.3.1.1,COMP.N.1,"Recognize and compare words, true and false cognates, sound patterns, and basic grammatical structures of the target language with his/her own language (as applicable).",KG-12,2025-04-25T17:41:35+00:00
Standard,1.2.3.1.2,COMP.N.2,"Identify and compare products and practices (e.g., celebrations, dances, oral stories, food) typical of the target culture with his/her own culture (as applicable).",KG-12,2025-04-25T17:41:40+00:00
Performance Level,1.2.3.2,COMP.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.3.2.1,COMP.I.1,"Explain and compare features of target language (e.g., language patterns, expressions, sentence structures) with his/her own language (as applicable).",KG-12,2025-04-25T17:41:44+00:00
Standard,1.2.3.2.2,COMP.I.2,"Compare and contrast familiar topics (e.g., geography, history, the arts) and discuss the impact on the target culture and one’s one culture (as applicable).",KG-12,2025-04-25T17:41:49+00:00
Performance Level,1.2.3.3,COMP.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.3.3.1,COMP.A.1,"Analyze and compare features of different registers of language, cultural perspectives as reflected in a variety of genres (e.g., literature, blogs, podcasts, newspaper articles), and regional varieties (e.g., differences in pronunciation, intonation, stress, dialects, vocabulary, grammar).",KG-12,2025-04-25T17:41:58+00:00
Standard,1.2.3.3.2,COMP.A.2,"Research cultural traditions and authentic works in order to analyze the viewpoints and their impact on cultures (e.g., recognize stereotypes).",KG-12,2025-04-25T17:42:01+00:00
Strand,1.2.4,COM,"**Communities** Use the target language to participate in the community and in the globalized world, for enjoyment, enrichment, and advancement. The student can:",KG-12,2024-01-25T18:10:27+00:00
Performance Level,1.2.4.1,COM.N,Novice,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.4.1.1,COM.N.1,"Communicate using key words and phrases in the target language within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:12+00:00
Standard,1.2.4.1.2,COM.N.2,"Participate in simple activities and cultural events within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:21+00:00
Performance Level,1.2.4.2,COM.I,Intermediate,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.4.2.1,COM.I.1,"Use expanded vocabulary and structures in the target language to access and interact with different media and community resources within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:27+00:00
Standard,1.2.4.2.2,COM.I.2,"Use the target language to participate in activities for personal enjoyment and community involvement within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:34+00:00
Performance Level,1.2.4.3,COM.A,Advanced,KG-12,2024-01-24T18:22:05+00:00
Standard,1.2.4.3.1,COM.A.1,"Use language skills and cultural understanding to interact in the target language on a variety of topics within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:41+00:00
Standard,1.2.4.3.2,COM.A.2,"Use target language to communicate with organizations or individuals to access information on personal and professional growth opportunities within the school setting (and beyond, as applicable).",KG-12,2025-04-25T17:42:46+00:00
