Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2025-02-25T23:11:00+00:00
Strand,1.1,,Computational Thinking and Problem Solving,KG,2025-02-25T23:11:00+00:00
Content Cluster,1.1.1,Content Cluster 1:,Students will analyze and utilize problem-solving strategies.,KG,2025-02-25T23:11:00+00:00
Standard,1.1.1.1,CSK8.K.1.1,"Discuss the following basic steps when problem solving:
* understanding the problem
* considering various strategies",KG,2025-02-25T23:11:00+00:00
Standard,1.1.1.2,CSK8.K.1.2,Begins in Grade 5,KG,2025-02-25T23:11:00+00:00
Standard,1.1.1.3,CSK8.K.1.3,Solve level-appropriate problems cooperatively,KG,2025-02-25T23:11:00+00:00
Standard,1.1.1.4,CSK8.K.1.4,Identify simple hardware and software problems that may occur during use,KG,2025-02-25T23:11:00+00:00
Content Cluster,1.1.2,Content Cluster 2:,Students will analyze and utilize connections between elements of mathematics and computer science.,KG,2025-02-25T23:11:00+00:00
Standard,1.1.2.1,CSK8.K.2.1,Begins in Grade 6,KG,2025-02-25T23:11:00+00:00
Standard,1.1.2.2,CSK8.K.2.2,Begins in Grade 6,KG,2025-02-25T23:11:00+00:00
Standard,1.1.2.3,CSK8.K.2.3,"Discuss the relative positions of objects within a program (e.g., up, down, left, right, over, under, on top of, behind, in front of, to the left, to the right)",KG,2025-02-25T23:11:00+00:00
Standard,1.1.2.4,CSK8.K.2.4,Begins in Grade 6,KG,2025-02-25T23:11:00+00:00
Strand,1.2,,"Data, Information, and Security",KG,2025-02-25T23:11:00+00:00
Content Cluster,1.2.1,Content Cluster 3:,Students will analyze and utilize data through the use of computing devices.,KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.1,CSK8.K.3.1,Define data and provide examples,KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.2,CSK8.K.3.2,"Recognize and discuss ways people represent data differently (e.g., thumbs up for yes; thumbs down for no)",KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.3,CSK8.K.3.3,Interpret and analyze concrete and pictorial graphs,KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.4,CSK8.K.3.4,"Collect and arrange data based on a characteristic (e.g., alphabetic, color, shape, size)",KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.5,CSK8.K.3.5,Identify the purpose for data collection,KG,2025-02-25T23:11:00+00:00
Standard,1.2.1.6,CSK8.K.3.6,Represent data visually,KG,2025-02-25T23:11:00+00:00
Content Cluster,1.2.2,Content Cluster 4:,Students will analyze and utilize concepts of cybersecurity.,KG,2025-02-25T23:11:00+00:00
Standard,1.2.2.1,CSK8.K.4.1,Model safe use of technology and authentication methods,KG,2025-02-25T23:11:00+00:00
