Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Kindergarten,KG,2025-02-04T04:39:05+00:00
Strand,1.1,,Foundational Reading,KG,2025-02-04T04:39:05+00:00
Cluster,1.1.1,,Concepts of Print,KG,2025-02-04T04:39:05+00:00
Standard,1.1.1.1,K.FR.1.CP,"Follow words from left to right, top to bottom, and page-by-page.",KG,2025-02-04T04:39:05+00:00
Standard,1.1.1.2,K.FR.2.CP,"Recognize that spoken words are represented in written language by specific sequences of letters and that print carries meaning (e.g., the spoken word “dog” is represented in print by d-o-g).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.1.3,K.FR.3.CP,"Point to words, using one-to-one correspondence to demonstrate that words are separated by spaces.",KG,2025-02-04T04:39:05+00:00
Standard,1.1.1.4,K.FR.4.CP,Name all upper and lowercase letters of the alphabet in print.,KG,2025-02-04T04:39:05+00:00
Cluster,1.1.2,,Phonemic Awareness,KG,2025-02-04T04:39:05+00:00
Standard,1.1.2.1,K.FR.5.PA,"Isolate and pronounce the initial, medial vowel, and final sounds in three sound words.",KG,2025-02-04T04:39:05+00:00
Standard,1.1.2.2,K.FR.6.PA,"Blend two to four individual sounds to create one-syllable words (e.g., /a/ /t/ to at; /s/ /i/ /p/ to sip; /c/ /a/ /t/ /s/ to cats).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.2.3,K.FR.7.PA,Segment one-syllable words into individual sounds.,KG,2025-02-04T04:39:05+00:00
Standard,1.1.2.4,K.FR.8.PA,"Distinguish between sounds based on place of articulation (where in the mouth it is produced) and manner of articulation (voicing and air flow) (e.g., /p/ vs. /b/; /ch/ vs. /j/).",KG,2025-02-04T04:39:05+00:00
Cluster,1.1.3,,Phonics Decoding (Word Reading),KG,2025-02-04T04:39:05+00:00
Standard,1.1.3.1,K.FR.9.PD,"Decode one-syllable words with single consonants and all short vowels (e.g., bag, sip, web, hog, cut).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.3.2,K.FR.10.PD,"Decode one-syllable words with consonant digraphs (sh, ch, th) and all short vowels (e.g., wish, chap, that).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.3.3,K.FR.11.PD,"Decode one-syllable words with single consonants and final long vowels (e.g., we, go).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.3.4,K.FR.12.PD,Read high-frequency words.,KG,2025-02-04T04:39:05+00:00
Standard,1.1.3.5,K.FR.13.PD,"Decode words with suffix -s (e.g., sits, maps, runs).",KG,2025-02-04T04:39:05+00:00
Cluster,1.1.4,,Phonics Encoding (Word Writing),KG,2025-02-04T04:39:05+00:00
Standard,1.1.4.1,K.FR.14.PE,"Encode one-syllable words with single consonants and all short vowels (e.g., cat, net, hit, pop, pup).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.4.2,K.FR.15.PE,"Encode one-syllable words with single consonants and final long vowel sounds (e.g., a, me, go).",KG,2025-02-04T04:39:05+00:00
Standard,1.1.4.3,K.FR.16.PE,"Encode words phonetically, drawing on knowledge of sound-letter relationships.",KG,2025-02-04T04:39:05+00:00
Standard,1.1.4.4,K.FR.17.PE,"Encode words with final suffix -s (e.g., cats, runs).",KG,2025-02-04T04:39:05+00:00
Cluster,1.1.5,,Handwriting,KG,2025-02-04T04:39:05+00:00
