Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Arkansas Anchor Standards,KG-12,2023-11-19T00:00:00+00:00
Strand,1.1,,Anchor Standards for Reading,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.1,,Key Ideas and Details,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1.1,,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1.2,,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1.3,,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.2,,Craft and Structure,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.1,,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings; analyze how specific word choices shape meaning and/or tone.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.2,,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, stanza) relate to each other and the whole.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2.3,,"Assess how point of view, perspective, and/or purpose shapes the content and style of a text.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3,,Integration of Knowledge and Ideas,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3.1,,Integrate and evaluate content presented in diverse media and formats.,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3.2,,"Analyze and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence .",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3.3,,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches of the author(s).,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.4,,Range of Reading and Level of Text Complexity,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.4.1,,Read and comprehend complex literary and informational texts independently and proficiently.,KG-12,2023-11-19T00:00:00+00:00
Strand,1.2,,Anchor Standards for Writing,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.1,,Text Types and Purposes,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.1.1,,"Write arguments to support claims when analyzing substantive topics or texts using valid reasoning and relevant, sufficient evidence.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.1.2,,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.1.3,,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.2,,Production and Distribution of Writing,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.2.1,,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.2.2,,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.2.3,,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.3,,Research to Build and Present Knowledge,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.3.1,,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.3.2,,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.3.3,,"Draw evidence from literary and/or informational texts to support analysis, reflection, research, and synthesis.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.4,,Range of Writing,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.4.1,,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",KG-12,2023-11-19T00:00:00+00:00
Strand,1.3,,Anchor Standards for Speaking and Listening,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.3.1,,Comprehension and Collaboration,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.1.1,,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.1.2,,"Integrate and evaluate information presented in diverse media such as visual, quantitative, and oral.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.1.3,,"Evaluate a speaker's perspective, reasoning, and use of evidence and rhetoric.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.3.2,,Presentation of Knowledge and Ideas,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.2.1,,"Present information, findings, and supporting evidence with organization, development, and style appropriate to task, purpose, and audience so that listeners can follow the line of reasoning.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.2.2,,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.2.3,,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",KG-12,2023-11-19T00:00:00+00:00
Strand,1.4,,Anchor Standards for Language,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.4.1,,Conventions of Standard English,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.1.1,,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.1.2,,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.4.2,,Knowledge of Language,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.2.1,,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.4.3,,Vocabulary Acquisition and Use,KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.3.1,,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.3.2,,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",KG-12,2023-11-19T00:00:00+00:00
Anchor Standard,1.4.3.3,,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking and listening; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",KG-12,2023-11-19T00:00:00+00:00
Grade Level,2,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Strand,2.1,,Reading Standards for Literature,KG,2023-11-19T00:00:00+00:00
Cluster,2.1.1,,Key Ideas and Details,KG,2023-11-19T00:00:00+00:00
Standard,2.1.1.1,RL.K.1,"With prompting and support, ask and answer questions about key details in a text.",KG,2023-11-19T00:00:00+00:00
Standard,2.1.1.2,RL.K.2,"With prompting and support, *retell* familiar stories, including key details.",KG,2023-11-19T00:00:00+00:00
Standard,2.1.1.3,RL.K.3,"With prompting and support, identify characters, settings, and major events in a story.",KG,2023-11-19T00:00:00+00:00
Cluster,2.1.2,,Craft and Structure,KG,2023-11-19T00:00:00+00:00
Standard,2.1.2.1,RL.K.4,Ask and answer questions about unknown words in a text.,KG,2023-11-19T00:00:00+00:00
Standard,2.1.2.2,RL.K.5,"Recognize common types of text (e.g., storybooks, poems).",KG,2023-11-19T00:00:00+00:00
Standard,2.1.2.3,RL.K.6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",KG,2023-11-19T00:00:00+00:00
Cluster,2.1.3,,Integration of Knowledge and Ideas,KG,2023-11-19T00:00:00+00:00
Standard,2.1.3.1,RL.K.7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., based on this picture, what is happening?).",KG,2023-11-19T00:00:00+00:00
Standard,2.1.3.2,RL.K.9,"With prompting and support, compare and contrast the characters (e.g., adventures and experiences) in familiar stories.",KG,2023-11-19T00:00:00+00:00
Cluster,2.1.4,,Range of Reading and Level of Text Complexity,KG,2023-11-19T00:00:00+00:00
Standard,2.1.4.1,RL.K.10,Actively engage in teacher-led reading activities with purpose and understanding.,KG,2023-11-19T00:00:00+00:00
Strand,2.2,,Reading Standards for Informational Text,KG,2023-11-19T00:00:00+00:00
Cluster,2.2.1,,Key Ideas and Details,KG,2023-11-19T00:00:00+00:00
Standard,2.2.1.1,RI.K.1,"With prompting and support, ask and answer questions about key details in a text.",KG,2023-11-19T00:00:00+00:00
Standard,2.2.1.2,RI.K.2,"With prompting and support, identify the main topic and retell key details of a text.",KG,2023-11-19T00:00:00+00:00
