Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Grades K-2,KG-02,2023-11-19T00:00:00+00:00
,1.1,,Health and Safety Standards,KG-02,2023-11-19T00:00:00+00:00
Domain,1.1.1,,Human Growth and Development,KG-02,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,,"Students will demonstrate the ability to apply their understanding of human growth and development, including awareness of their own and others’, related to body systems.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.1,,I can name different parts of the body and describe physical characteristics that make us unique.,KG-02,2023-11-19T00:00:00+00:00
Level,1.1.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1,,"I can distinguish different body parts, including main organs of the body, and tell what those parts do.",KG-02,2023-11-19T00:00:00+00:00
Domain,1.1.2,,Healthy Skills and Relationships,KG-02,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,,"Students will demonstrate healthy relationships and interaction with others, utilize effective communication skills (verbal, non-verbal, and online), and differentiate between healthy and unhealthy behaviors, and how those behaviors impact relationships with peers and adults.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.1,,I can demonstrate a respect of personal space for myself and others.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.2,,I can recognize different emotions and respond to others as needed.,KG-02,2023-11-19T00:00:00+00:00
Level,1.1.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.1,,I can demonstrate respect for peers and adults through appropriate communication.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.2,,I can identify different emotions and illustrate how to interact with others in different settings.,KG-02,2023-11-19T00:00:00+00:00
Domain,1.1.3,,Nutrition,KG-02,2023-11-19T00:00:00+00:00
Standard,1.1.3.1,,"Students will apply concepts of how food choices impact the overall health of self and others, and investigate how different types of eating disorders damage body systems.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.3.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.1.1,,I can identify and choose healthy snacks.,KG-02,2023-11-19T00:00:00+00:00
Level,1.1.3.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.2.1,,I can identify the food groups and discuss the importance of choosing foods from each group.,KG-02,2023-11-19T00:00:00+00:00
Domain,1.1.4,,"Alcohol, Tobacco, and Other Drugs",KG-02,2023-11-19T00:00:00+00:00
Standard,1.1.4.1,,"Students will investigate healthy and unhealthy behaviors related to alcohol, tobacco, and other drugs, while understanding the physical, psychological, and legal consequences for self and others.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.4.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.4.1.1.1,,"I can discuss appropriate use of medications, including taking medicine from reliable adults and following directions.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.4.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.4.1.2.1,,I can identify the effects of alcohol and tobacco use that make them harmful to self and others.,KG-02,2023-11-19T00:00:00+00:00
Domain,1.1.5,,Personal Health and Safety,KG-02,2023-11-19T00:00:00+00:00
Standard,1.1.5.1,,"Students will promote physical, social, and emotional health for self and others.",KG-02,2023-11-19T00:00:00+00:00
Level,1.1.5.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.1.1,,I can identify the role of germs in causing disease and demonstrate ways to prevent spreading them.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.1.2,,I can identify safety hazards and demonstrate ways to prevent harm to self and others.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.1.3,,I can identify various emotions and how they impact me.,KG-02,2023-11-19T00:00:00+00:00
Level,1.1.5.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.2.1,,"I can discuss the relationship between personal hygiene, wellness, and disease prevention.",KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.2.2,,I can demonstrate safety procedures for emergencies at home or at school.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.5.1.2.3,,I can recognize the relationship between my emotions and the emotions of others.,KG-02,2023-11-19T00:00:00+00:00
,1.2,,Physical Education Standards,KG-02,2023-11-19T00:00:00+00:00
Domain,1.2.1,,Physical Competence,KG-02,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,,Students will demonstrate proficiency in motor skills and movement patterns needed to perform a variety of activities.,KG-02,2023-11-19T00:00:00+00:00
Level,1.2.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
