Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Dance K-8,KG-08,2023-11-19T00:00:00+00:00
Artistic Process,1.1,,Creating,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1,CR.1,Improvise: Students will generate and conceptualize artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.1,,"I can respond to movement cues from different sources, such as music, nature, feelings, objects, and ideas.",KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1,,"I can independently explore movement inspired by different sources, such as music, nature, feelings, objects, and ideas.",KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.1,,I can explore movement choices inspired by different sources.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.1,,I can invent movement inspired by different sources.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.1,,I can improvise a movement phrase inspired by a variety of stimuli with cues to create structure.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.1,,"I can improvise a movement phrase inspired by a variety of stimuli that includes a clear beginning, middle, and end.",06-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2,CR.2,Compose: Students will organize and develop artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.1,,I can use different body parts to make shapes and movements with guidance.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.1,,I can explore shapes and movements using parts of the body.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.1.1,,"I can explore space, time, and dynamics as the elements of dance.",03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.2.1,,I can assemble movements to explore the elements of dance.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.3.1.1,,I can organize movements to explore the elements of dance.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.3.2.1,,I can compose a movement study that uses elements of dance and other stimuli.,06-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3,CR.3,Refine: Students will refine and complete artistic work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.1.1,,I can follow guided instructions to explore movement through improvisation.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.2.1,,I can explore making decisions about movement through improvisation and/or short remembered sequences.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.2.1.1,,I can work with small peer groups using movement inspired by a variety of stimuli to explore an intended outcome with guidance.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.2.2.1,,I can cooperate with small peer groups using movement inspired by a variety of stimuli to achieve a desired outcome.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.3.1.1,,I can apply group collaborative strategies to achieve an artistic outcome.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.3.2.1,,I can determine and apply group collaborative strategies to achieve an artistic outcome.,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.3.2.2,,I can document my process of creating choreography.,06-08,2023-11-19T00:00:00+00:00
Artistic Process,1.2,,Performing,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.1,PR.4,"Express: Students will analyze, interpret, and select artistic work for presentation.",KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.2.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.2.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.2.1.1.1.1,,I can explore the use of whole or isolated body movements to reflect changes in stimuli.,KG-02,2023-11-19T00:00:00+00:00
