Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Grades K-2,KG-02,2023-11-19T00:00:00+00:00
Standard,1.1,Standard 1.,"Inquire: Learners will build new knowledge by inquiring, thinking critically, identifying problems, and developing strategies for solving problems.",KG-02,2023-11-19T00:00:00+00:00
Competency,1.1.1,,I can think by displaying curiosity and initiative:,KG-02,2023-11-19T00:00:00+00:00
Learning Priority,1.1.1.1,1.I.T.1,"Formulate questions about a personal interest or a curricular topic.

What it looks like by the end of Grade 2:",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.1.1.1,,"Form simple, factual level questions and begin to explore ways to answer them.",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.1.1.2,,"Ask “I wonder” questions about topic, question, or problem.",KG-02,2023-11-19T00:00:00+00:00
Learning Priority,1.1.1.2,1.I.T.2,"Recall prior and background knowledge as a context for new meaning.

What it looks like by the end of Grade 2:",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.1.2.1,,Connect ideas to one’s own interests.,KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.1.2.2,,Add details from personal experience and research to support new ideas.,KG-02,2023-11-19T00:00:00+00:00
Competency,1.1.2,,I can create by engaging with new knowledge by following a process:,KG-02,2023-11-19T00:00:00+00:00
Learning Priority,1.1.2.1,1.I.C.1,"Use evidence to investigate questions.

What it looks like by the end of Grade 2:",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.2.1.1,,Explore ways to answer questions.,KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.2.1.2,,"With guidance, find facts to answer questions from more than one source.",KG-02,2023-11-19T00:00:00+00:00
Learning Priority,1.1.2.2,1.I.C.2,"Devise and implement a plan to fill knowledge gaps.

What it looks like by the end of Grade 2:",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.2.2.1,,"With guidance, preview resources to decide which best meet information needs.",KG-02,2023-11-19T00:00:00+00:00
Performance Indicator,1.1.2.2.2,,"With guidance, note similarities and differences in information from different sources.",KG-02,2023-11-19T00:00:00+00:00
Learning Priority,1.1.2.3,1.I.C.3,"Generate products that illustrate learning.

What it looks like by the end of Grade 2:",KG-02,2023-11-19T00:00:00+00:00
