Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,General Music K-8,KG-08,2023-11-19T00:00:00+00:00
Artistic Process,1.1,,Creating,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1,CR.1,Students will generate and conceptualize artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.1,,I can explore and create short melodic and rhythmic patterns by sight and sound.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.2,,I can experiment vocally and instrumentally with expression and elements of music.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1,,I can improvise a musical idea using melodic and rhythmic patterns.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.2,,"I can use rhythm patterns, songs, or words to create a musical idea.",KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.1,,I can improvise through collaboration to arrange rhythmic and melodic ideas.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.2,,I can create musical ideas within given guidelines.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.1,,"I can improvise rhythmic, melodic, and harmonic ideas.",03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.2,,I can use ostinato to arrange rhythmic and melodic ideas.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.1,,I can improvise through collaboration to arrange a variety of musical styles.,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.2,,I can integrate musical ideas within guidelines.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.1,,"I can improvise and explain intent using melody, rhythm, and harmony.",06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.2,,I can integrate more complex musical ideas within guidelines.,KG-02,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2,CR.2,Students will organize and develop artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.1,,"I can explore found sounds, body percussion, and instruments.",KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.2,,"I can identify high and low sounds, as well as silence.",KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.3,,I can understand steady beat and identify quarter notes and quarter rests.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
