Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Theatre K-8,KG-08,2023-11-19T00:00:00+00:00
Artistic Process,1.1,,Creating,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1,CR.1,Students will generate and conceptualize artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.1.1,CR.1.1,"Imagine: Students will conceive plot, characters, dialogue, and stage movement through exploration.",KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.1.1,,I can imitate the actions of the characters in a familiar story.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.2.1,,I can adapt the behavior of a character in a familiar story.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.2.2,,I can imagine how changing the plot of a story will lead to a different ending.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1.1,,I can collaborate with others to improvise dialogue for a scene.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1.2,,"I can collaborate with others to plan and improvise the plot, characters, and dialogue for a scene.",03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.2.1,,"I can collaborate with others to plan and improvise the plot, characters, dialogue, and basic stage movement for a scene.",03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.3.1.1,,"I can identify how characters, dialogue, and stage movement communicate characters and relationships and support the story as a whole.",06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.3.2.1,,"I can plan intentional choices for characters, dialogue, and stage movement that support the characters’ relationships and the story as a whole.",06-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.1.2,CR.1.2,Design: Students will design and create technical elements for a drama/theatre work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.1.1,,"I can create props, puppets, or costume pieces alone or with others.",KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.2.1,,"I can describe how props, costumes, or puppets demonstrate character traits.",KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.1.1,,"I can explore how a story’s mood and setting can be shown in props, costumes, and scenery.",03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.2.1,,"I can work with others to design a costume, prop, or scenery for a story and explain how my choices are appropriate to the story.",03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.3.1.1,,I can collaborate with others to identify and analyze design and technical challenges.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.3.2.1,,I can collaborate with others and use available technology to design one or more technical elements.,06-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.1.3,CR.1.3,"Characterize: Students will explore characters and describe vocal qualities, physical qualities, and movement that reveal the character’s traits.",KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.1.1,,I can identify the five senses and the actor’s tools.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.1.2,,"I can imitate people, creatures, or things using body and facial expression.",KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.2.1,,I can suggest ways to use my voice and body when telling a familiar story or being a familiar character.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.1.1,,I can work with others and use details from a story to plan how a character should move and talk.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.2.1,,I can use dialogue and stage directions to make decisions about how characters should move and speak in a scene.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.2.2,,I can describe how a movement or vocal quality can reflect a character’s traits and personality.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.3.1.1,,"I can explore multiple characters’ movements, speech, and inner thoughts.",06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.3.1.2,,"I can analyze how a character’s background affects movement, speech, and inner thoughts.",KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.3.2.1,,"I can analyze a character’s inner thoughts, objectives, and motivation and suggest vocal and physical qualities that reveal those character traits.",06-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2,CR.2,Students will organize and develop artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.2.1,CR.2.1,Develop: Students will explore story elements to develop and write original material.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.1.1,,I can work with others to retell a familiar story.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.2.1,,I can add details and new ideas when retelling a familiar story.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.2.2,,"I can work with others to create a new story that has a beginning, middle, and end.",KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.1.1,,I can identify the story elements in a given story.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.2.1,,I can work with others and use the story elements to plan a scene and write it in script format.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.2.2,,I can work with others to develop a new or dramatized version of a familiar story using dialogue.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.3.1.1,,"I can develop a dramatic piece of a familiar story, personal experience, or a historical or cultural event using dialogue.",06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.3.1.2,,I can develop a dramatic piece based on familiar stories that includes monologue or dialogue and action.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.3.2.1,,"I can develop an original dramatic piece that includes monologue or dialogue, action, and setting.",06-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.2.2,CR.2.2,Collaborate: Students will collaborate with a creative team to prepare for a drama/theatre work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.2.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.1.1.1,,I can cooperate with others and share my ideas when acting out a story.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.1.2.1,,I can cooperate with others to make decisions when acting out a story.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.2.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.2.1.1,,I can collaborate with others to make decisions when creating a story or scene.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.2.2.1,,I can identify the team members and their respective responsibilities needed to present a theatrical work.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.2.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.3.1.1,,I can contribute to the production of a drama/theatre work and demonstrate my relationship to other team members.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.3.2.1,,I can collaborate with a creative team to share leadership roles and responsibilities and demonstrate respect for self and others to prepare for a drama/ theatre work.,06-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3,CR.3,Students will refine and complete artistic work.,KG-08,2023-11-19T00:00:00+00:00
Supporting Standard,1.1.3.1,CR.3.1,Refine: Students will apply self-reflection and peer feedback to refine artistic work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.1.1.1,,I can ask and answer questions about a story.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.1.1.2,,I can work with others to change a familiar story.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.1.2.1,,I can work with others to change an original story.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.2.1.1,,I can collaborate with others to adapt dialogue.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.2.1.2,,I can collaborate with others to revise an improvised or scripted story.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.2.2.1,,I can self-reflect and collaborate with others to revise an improvised or scripted story.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.3.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.3.1.1,,I can use repetition to refine an improvised or scripted story.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.3.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.3.1.3.2.1,,"I can refine an improvised or scripted story through repetition, reflection, and feedback.",06-08,2023-11-19T00:00:00+00:00
