Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Visual Arts K-8,KG-08,2023-11-19T00:00:00+00:00
Artistic Process,1.1,,Creating,KG-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1,CR.1,Students will generate and conceptualize artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.1,,I can use my imagination to play with materials.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.1.2,,I can use observation to plan my work.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.1,,I can share my ideas and materials with others to reach an artistic solution.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.1.2.2,,I can plan and create art that is interesting to me.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.1,,I can add details to an imaginative idea.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.1.2,,I can use what I know and what I have to create art.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.1,,I can combine ideas to create an original idea for art making.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.2.2.2,,I can identify and demonstrate different ways to plan and begin a work of art.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.1.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.1,,Level E,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.1,,I can work with others to produce ideas for creating art.,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.1.2,,I can develop and plan a work of art that relates to me personally or meets a specific goal.,06-08,2023-11-19T00:00:00+00:00
Level of Learning,1.1.1.3.2,,Level F,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.1,,I can persevere to solve creative problems and document my creative process.,06-08,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.1.3.2.2,,I can gather information from a variety of sources to create artworks and develop a personal portfolio.,06-08,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2,CR.2,Students will organize and develop artistic ideas and work.,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.1,,K-2: Beginner,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.1,,Level A,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.1,,I can safely experiment with materials and tools.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.1.2,,I can make art by looking at the world around me.,KG-02,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.1.2,,Level B,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.1,,I can improve my art skills by safely using materials and tools.,KG-02,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.1.2.2,,I can reuse objects to make something new.,KG-02,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.2,,3-5: Emerging,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.1,,Level C,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.1.1,,"I can create meaningful art, using many techniques and materials responsibly.",03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.1.2,,I can create an artwork of a place I know by myself or with others.,03-05,2023-11-19T00:00:00+00:00
Level of Learning,1.1.2.2.2,,Level D,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.2.1,,I can develop my craftsmanship by experimenting and practicing different techniques.,03-05,2023-11-19T00:00:00+00:00
Student Learning Objective,1.1.2.2.2.2,,I can make an art piece that shows an important place.,03-05,2023-11-19T00:00:00+00:00
Grade Level,1.1.2.3,,6-8: Intermediate,06-08,2023-11-19T00:00:00+00:00
