Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards for Math Content,KG-08,2023-11-19T00:00:00+00:00
Grade Level,1.1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Domain,1.1.1,,Counting and Cardinality,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.1,,Know number names and the count sequence,KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.1,AR.Math.Content.K.CC.A.1,"Count to 100 by ones, fives, and tens",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.2,AR.Math.Content.K.CC.A.2,"Count forward, by ones, from any given number up to 100",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.3,AR.Math.Content.K.CC.A.3,"Read, write, and represent numerals from 0 to 20",KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.2,,Count to tell the number of objects,KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.1,AR.Math.Content.K.CC.B.4,"Understand the relationship between numbers and quantities; connect counting to cardinality

When counting objects:<ul><li>Say the numbers in order, pairing each object with only one number and each number with only one object (one to one correspondence)</li><li>Understand that the last number said tells the number of objects counted</li><li>Understand that each successive number refers to a quantity that is one larger</li></ul>",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.2,AR.Math.Content.K.CC.B.5,"Count to answer “how many?”:<ul><li>Count up to 20 objects in any arrangement</li><li>Count up to 10 objects in a scattered configuration</li><li>Given a number from 1-20, count out that many objects</li></ul>",KG,2023-11-19T00:00:00+00:00
Cluster,1.1.1.3,,Compare numbers,KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.1,AR.Math.Content.K.CC.C.6,"Identify whether the number of objects in one group from 0-10 is greater than (more, most), less than (less, fewer, least), or equal to (same as) the number of objects in another group of 0-10

For example: Use matching and counting strategies to compare values.",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.2,AR.Math.Content.K.CC.C.7,Compare two numbers between 0 and 20 presented as written numerals,KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.3,AR.Math.Content.K.CC.C.8,"Quickly identify a number of items in a set from 0-10 without counting (e.g., dominoes, dot cubes, tally marks, ten-frames)",KG,2023-11-19T00:00:00+00:00
Domain,1.1.2,,Operations and Algebraic Thinking,KG,2023-11-19T00:00:00+00:00
Cluster,1.1.2.1,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from",KG,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.1,AR.Math.Content.K.OA.A.1,"Represent addition and subtraction using objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions (e.g., 2+3), or equations (e.g., 2+3 =  )",KG,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.2,AR.Math.Content.K.OA.A.2,"Solve real-world problems that involve addition and subtraction within 10 (e.g., by using objects or drawings to represent the problem)",KG,2023-11-19T00:00:00+00:00
