Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,"2023 K-8, Algebra I, and Geometry Mathematics Standards",,2024-08-07T23:52:56+00:00
Grade,1.1,,Kindergarten,KG,2024-08-08T22:14:30+00:00
Domain,1.1.1,,Number & Place Value,KG,2024-08-08T23:46:43+00:00
Cluster,1.1.1.1,Counting & Number,Foundations Students know the number names and count sequence while exploring the relationships between numbers.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.1.1,K.NPV.1,Count to 100 by ones and tens; count forward by ones from any given number up to 100.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.1.2,K.NPV.2,"Count a set of objects up to 20 using one-to-one correspondence, demonstrating that the last number stated indicates the number of objects in the set regardless of the arrangement.",KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.1.3,K.NPV.3,"Identify the position of objects in a set using ordinal numbers (first, second, third, etc.).",KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.1.4,K.NPV.4,Identify quickly a number of items in a set from 0 to 10 without counting.,KG,2024-08-08T22:14:30+00:00
Cluster,1.1.1.2,Place Value,Students understand the base ten place value system.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.2.1,K.NPV.5,"Read, write, and represent whole numbers from 0 to 20.",KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.2.2,K.NPV.6,"Show equivalent forms of whole numbers up to 20 as groups of tens and ones, using manipulatives and drawings.",KG,2024-08-08T22:14:30+00:00
Cluster,1.1.1.3,Comparison,Students use place value understanding to compare numbers.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.3.1,K.NPV.7,"Use matching and counting strategies to compare the number of objects in one group to the number of objects in another group (0 to 10) using the terms greater than, less than, or equal.",KG,2024-08-08T22:14:30+00:00
Standard,1.1.1.3.2,K.NPV.8,"Compare two whole numbers, using the terms greater than, less than, or equal.",KG,2024-08-08T22:14:30+00:00
Domain,1.1.2,,Computation & Algebraic Reasoning,KG,2024-08-08T23:46:43+00:00
Cluster,1.1.2.1,Operations & Properties,Reasoning Students perform operations using place value understanding and properties of operations.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.2.1.1,K.CAR.1.,"Use objects, fingers, mental images, drawings, sounds, acting out situations, or verbal explanations to represent addition and subtraction from 0 to 10.",KG,2024-08-08T22:14:30+00:00
Standard,1.1.2.1.2,K.CAR.2,"Use objects or drawings to decompose numbers less than or equal to 10 into pairs in more than one way, recording each decomposition.",KG,2024-08-08T22:14:30+00:00
Standard,1.1.2.1.3,K.CAR.3,Use a drawing or equation to find the number that makes 10 when added to a given number.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.2.1.4,K.CAR.4,Use manipulatives and various strategies to fluently add and subtract within 10.,KG,2024-08-08T22:14:30+00:00
Cluster,1.1.2.2,Problem Solving,Students solve real-world problems.,KG,2024-08-09T21:12:38+00:00
Standard,1.1.2.2.1,K.CAR.5,"Solve real-world problems involving addition and subtraction within 10, using objects, drawings, or equations to represent the problem.",KG,2024-08-08T22:14:30+00:00
Domain,1.1.3,,Geometry & Measurement,KG,2024-08-08T23:46:43+00:00
Cluster,1.1.3.1,Shapes,Students analyze attributes of shapes to develop generalizations about their properties.,KG,2024-08-08T22:14:30+00:00
Standard,1.1.3.1.1,K.GM.1,"Describe the positions of objects and geometric shapes in the environment.
* Terms include: inside, outside, between, above, below, near, far, under, over, up, down, behind, in front of, next to, to the left of, and to the right of",KG,2024-08-08T22:14:30+00:00
