Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Component,,H.6.AAH.1,"Analyze ancient West African civilizations and leaders through culture, politics, economics, and trade, including the Ghana Empire, Mali Empire (Mansa Musa), Kingdom of Benin (King Ewuare), and Songhai Empire (Askia the Great).",09-12,2024-11-04T20:42:32+00:00
Component,,H.6.AAH.2,"Analyze social, economic, and political effects of the transition from indentured servitude to enslaved labor on African Americans.",09-12,2024-11-04T20:42:32+00:00
Component,,H.6.AAH.3,"Analyze the process, course, and conditions of involuntary migration patterns from Africa to the Americas, including internal African and American trafficking, and its impact on African Americans.",09-12,2024-11-04T20:42:32+00:00
Component,,H.6.AAH.4,"Compare the influence of ancient West African cultures to African American culture, including language, religion, music, art, and food.",09-12,2024-11-04T20:42:32+00:00
Disciplinary Strand,,,History - United States Beginnings through the 1820s (Era 1 through Era 3),09-12,2024-11-04T20:42:32+00:00
Disciplinary Standard,,H.3,"Students will understand key historical periods from the United States' Beginnings (Era 1) through 1850 (Era 4). This includes the patterns of social, economic, and political change over time and the ways people view, construct, and interpret the history of the United States.",09-12,2024-11-04T20:42:32+00:00
Disciplinary Component,,,"Era 3: 1754 through the 1820s, Revolutionary Era - Roles and contributions made by people of African descent (1775-1820)",09-12,2024-11-04T20:42:32+00:00
Component,,H.3.AAH.1,"Analyze social, economic, and political involvement of African American men and women in the Revolutionary Era. This may include:
*	Crispus Attucks
*	Benjamin Banneker
*	Phyllis Wheatley
*	Elizabeth “Mum Bett” Freeman
*	Samuel Poor
*	Peter Salem
*	James Armistead
*	First Rhode Island Regiment
*	Lord Dunmore's 1775 Proclamation
*	John Laurens advocating for black soldiers",09-12,2024-11-04T20:42:32+00:00
Component,,H.3.AAH.2,"Investigate the effects of revolutionary ideologies, including Enlightenment thinking and Great Awakening theology, on social and political perspectives of African Americans, including natural law, natural rights, and equality.",09-12,2024-11-04T20:42:32+00:00
Component,,H.3.AAH.3,"Evaluate social, economic, and political roles of African American men and women during the expansion of the early United States. This may include:
*	Benjamin Banneker, District of Columbia surveyor, planner, astronomer, and naturalist
*	James Derham, first to practice medicine formerly
*	Jupiter Hamon, considered the founder of African-American literature
*	Absalom Jones, early abolitionist and first ordained priest in Episcopal Church
*	Alexander Twilight, first to earn bachelor's degree and first state-elected official in Vermont",09-12,2024-11-04T20:42:32+00:00
Disciplinary Strand,,,History - United States History 1800-1900 (Era 4 through Era 6),09-12,2024-11-04T20:42:32+00:00
Disciplinary Standard,,H.4,"Students will understand key historical periods from Expansion and Reform, 1801-1861 (Era 4), to the Development of the Industrial United States,
1870-1900 (Era 6). This includes the patterns of social, economic, and political change over time and the ways people view, construct, and interpret the history of the United States.",09-12,2024-11-04T20:42:32+00:00
Disciplinary Component,,,"Era 4: 180-1861, Expansion and Reform - The growth and expansion of the United States and its impact on the African American experience in northern, southern, and western regions. Era 5: 1850-1877, A Country Divided - Development of the northern, western, and southern regions of the United States and the effects on African American men and women (1820-1877)",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.1,"Compare the effects of economic developments in multiple regions of the United States on African American men and women between 1820 and 1877:
*	Invention of cotton gin
*	Use of steamboat for transportation
*	“King Cotton” economy of southern states",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.2,"Examine various perspectives toward the political rights of African American men and women between 1820 and 1877 throughout different regions of the United States, including discrimination and segregation, “separate but equal,” the Back-to-Africa movement, and full equality.",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.3,"Analyze the responses of free and enslaved African American men and women to social, economic, and political conditions in different regions between 1820 and 1877. Responses may include:
*	Resistance and escape: (e.g., Underground Railroad, Harriet Tubman, Robert Smalls, West Bogan)
*	Rebellions and uprisings: (e.g., Nat Turner, Gabriel Prosser)
*	Calls for abolition and equality: (e.g., Frederick Douglass, Frances Harper, Ida B. Wells)
*	Court cases: (e.g., Dred Scott, Homer Plessy)
*	Back-to-Africa movement (e.g., Paul Cuffe, Martin Delany)
*	Political involvement and representation (e.g., Alexander Twilight, Hiram Rhodes Revels, Joseph Rainey)",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.4,"Identify the contributions and changing roles of African Americans during the Civil War as soldiers, spies, and regiments, and the impact of the Emancipation Proclamation.",09-12,2024-11-04T20:42:32+00:00
Disciplinary Component,,,"Era 6: 1870-1900, Hardening of Jim Crow - the African American experience in the post-Reconstruction Era (1877-1920)",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.5,"Analyze various experiences and responses to challenges of African American men and women from post-Reconstruction through the Jim Crow time period and early 20th century:
*	Art and entertainment: (e.g., Harlem Renaissance)
*	Education: (e.g., rising literacy rates, establishment of historically black colleges and universities, Booker T. Washington, W.E.B. Du Bois, Joseph Albert Booker)
*	Entrepreneurship: (e.g., Samuel T. Wilcox, Robert Gordon, Annie Malone, Frederick and Charles Patterson, Maggie Lena Walker, Madam C. J. Walker) 
*	Religion: (e.g., growth of African Methodist Episcopal denomination [AME] and establishment of National Baptist Convention) 
*	Political organizations and affiliations
*	Segregation and discrimination: (e.g., Jim Crow laws, Plessy vs. Ferguson, “sundown towns,” lynchings)",09-12,2024-11-04T20:42:32+00:00
Component,,H.4.AAH.6,"Analyze the 13th, 14th, and 15th Amendments to the U.S. Constitution and the effects on African American men and women between 1877 and 1920",09-12,2024-11-04T20:42:32+00:00
Disciplinary Strand,,,History - U.S. History Since 1890 (Era 7 through Era 10),09-12,2024-11-04T20:42:32+00:00
Disciplinary Standard,,H.5,"Students will understand key historical periods from the Emergence of Modern America, 1890-1930 (Era 7), to the Contemporary United States, 1968 to Present (Era 10). This includes the patterns of social, economic, and political change over time and the ways people view, construct, and interpret the history of the United States.",09-12,2024-11-04T20:42:32+00:00
Disciplinary Component,,,"Era 8: 1929-1945, Seeds of Change - African American experience (1920-1950)",09-12,2024-11-04T20:42:32+00:00
Component,,H.5.AAH.1,"Analyze change and continuity in the African American cultural identity, including the role of the Harlem Renaissance, in the area of art, music, film, literature, and dance.",09-12,2024-11-04T20:42:32+00:00
Component,,H.5.AAH.2,Analyze the effects of the Great Depression and New Deal on the social and economic status of African American men and women in various geographic regions.,09-12,2024-11-04T20:42:32+00:00
Component,,H.5.AAH.3,"Analyze social, economic, and political actions and achievements of African Americans in the early 20th century:
*	Great Migration
*	Military desegregation
*	Growth of civil rights organizations (e.g., National Association for the Advancement of Colored People [NAACP]) 
*	Other social, political, and labor organizations (e.g., Southern Tenant Farmers Union)",09-12,2024-11-04T20:42:32+00:00
Disciplinary Component,,,"Era 9: 1945 to Early 1970s, Illusion of Equality - African American experience (1950-1970)",09-12,2024-11-04T20:42:32+00:00
Component,,H.5.AAH.4,"Analyze the influence of key African Americans on political and social change since 1950 using primary and secondary sources:
*	Civil rights leaders: (e.g., Malcolm X, Martin Luther King, Jr., Coretta Scott King, A. Philip Randolph, Rosa Parks, Daisy Bates, John Lewis)
*	Political leaders: (e.g., Thurgood Marshall, Shirley Chisholm, Patricia Harris, Condelezza Rice, Barack Obama, Kamala Harris, Clarence Thomas, Ketanji Brown Jackson)
*	Military and science leaders: (e.g., Marcelite Harris, Katherine Johnson, Colin Powell, William E. Ward, Lloyd Austin) Education and thought leaders: (e.g., Langston Hughes, Thomas Sowell, Zora Neale Hurston)",09-12,2024-11-04T20:42:32+00:00
