Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Arkansas World Languages Standards K-12,KG-12,2023-11-19T00:00:00+00:00
Goal Area,1.1,,Communication,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.1,CMC.1,"Interpretive Communication: Learners understand, interpret, and analyze what is heard, read, or viewed on a variety of topics.",KG-12,2023-11-19T00:00:00+00:00
Benchmark,1.1.1.1,CMC.1.1,"What can I understand, interpret, or analyze in authentic informational texts?",KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.1.1,,Novice,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.1.1,,**Novice Low**: I can identify memorized or familiar words when they are supported by gestures or visuals in informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.1.2,,**Novice Mid**: I can identify some basic facts from memorized words and phrases when they are supported by gestures or visuals in informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.1.3,,**Novice High**: I can identify the topic and some isolated facts from simple sentences in informational texts.,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.1.2,,Intermediate,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.2.1,,**Intermediate Low**: I can identify the topic and related information from simple sentences in short informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.2.2,,**Intermediate Mid**: I can understand the main idea and key information in short straightforward informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.2.3,,"**Intermediate High**: I can usually follow the main message in various time frames in straightforward, and sometimes descriptive, paragraph-length informational texts.",KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.1.3,,Advanced,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.3.1,,**Advanced Low**: I can identify the underlying message and some supporting details across major time frames in descriptive informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.3.2,,**Advanced Mid**: I can understand the underlying message and most supporting details across major time frames in descriptive informational texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.3.3,,"**Advanced High**: I can follow the flow of ideas and infer meaning from complex language on unfamiliar, abstract topics within informational texts.",KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.1.3.4,,"**Superior**: I can follow the flow of ideas and infer meaning from unfamiliar, abstract topics in complex language in informational texts.",KG-12,2023-11-19T00:00:00+00:00
Benchmark,1.1.1.2,CMC.1.2,"What can I understand, interpret, or analyze in authentic fictional texts?",KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.2.1,,Novice,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.1.1,,**Novice Low**: I can identify memorized or familiar words when they are supported by gestures or visuals in fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.1.2,,**Novice Mid**: I can identify some basic facts from memorized words and phrases when they are supported by gestures or visuals in fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.1.3,,**Novice High**: I can identify the topic and some isolated elements from simple sentences in short fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.2.2,,Intermediate,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.2.1,,**Intermediate Low**: I can identify the topic and related information from simple sentences in short fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.2.2,,**Intermediate Mid**: I can understand the main idea and key information in short straightforward fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.2.3,,**Intermediate High**: I can usually follow the main story and actions expressed in various time frames in paragraph-length fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.2.3,,Advanced,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.3.1,,**Advanced Low**: I can follow the main story and some supporting details across major time frames in fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.3.2,,**Advanced Mid**: I can follow the main story and most supporting details across major time frames in fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.3.3,,**Advanced High**: I can follow the flow of ideas and some nuances from different viewpoints in most fictional texts.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.2.3.4,,"**Superior**: I can follow the flow of ideas and infer meaning on unfamiliar, abstract topics in complex language from fictional texts.",KG-12,2023-11-19T00:00:00+00:00
Benchmark,1.1.1.3,CMC.1.3,"What can I understand, interpret, or analyze in conversations, discussions, and presentations?",KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.3.1,,Novice,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.1.1,,**Novice Low**: I can understand memorized or familiar words when they are supported by gestures or visuals in conversations.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.1.2,,**Novice Mid**: I can identify some basic facts from memorized words and phrases when they are supported by gestures or visuals in conversations.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.1.3,,**Novice High**: I can understand familiar questions and statements from simple sentences in conversations.,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.3.2,,Intermediate,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.2.1,,**Intermediate Low**: I can identify the main idea in short conversations.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.2.2,,**Intermediate Mid**: I can identify the main idea and key information in short straightforward conversations.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.2.3,,**Intermediate High**: I can usually understand the main idea and flow of events expressed in various time frames in conversations and discussions.,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.1.3.3,,Advanced,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.3.1,,**Advanced Low**: I can understand the main message and some supporting details across major time frames in conversations and discussions.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.3.2,,**Advanced Mid**: I can understand the main message and most supporting details across major time frames in conversations and discussions.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.3.3,,**Advanced High**: I can follow the flow of ideas and some nuances from different viewpoints in conversations and discussions.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.1.3.3.4,,"**Superior**: I can follow abstract, complex, and unfamiliar topics in extended conversations and discussions involving multiple speakers.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.2,CMC.2,"Interpersonal Communication: Learners interact and negotiate meaning in spoken, signed, or written conversations to share information, reactions, feelings, and opinions.",KG-12,2023-11-19T00:00:00+00:00
Benchmark,1.1.2.1,CMC.2.1,How can I exchange information and ideas in conversations?,KG-12,2023-11-19T00:00:00+00:00
Level,1.1.2.1.1,,Novice,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.2.1.1.1,,"**Novice Low**: I can provide information by answering a few simple questions on very familiar topics, using practiced or memorized words and phrases, with the help of gestures or visuals.",KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.2.1.1.2,,"**Novice Mid**: I can request and provide information by asking and answering a few simple questions on very familiar and everyday topics, using a mixture of practiced or memorized words, phrases, and simple sentences.",KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.2.1.1.3,,"**Novice High**: I can request and provide information by asking and answering practiced and some original questions on familiar and everyday topics, using simple sentences most of the time.",KG-12,2023-11-19T00:00:00+00:00
Level,1.1.2.1.2,,Intermediate,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.2.1.2.1,,**Intermediate Low**: I can request and provide information in conversations on familiar topics by creating simple sentences and asking appropriate follow-up questions.,KG-12,2023-11-19T00:00:00+00:00
Indicator,1.1.2.1.2.2,,"**Intermediate Mid**: I can exchange information in conversations on familiar topics and some researched topics, creating sentences and series of sentences and asking a variety of follow-up questions.",KG-12,2023-11-19T00:00:00+00:00
