Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Anchor Standards,,2022-10-31T23:14:31+00:00
,1.1,,Creating,,2022-10-29T23:29:27+00:00
Anchor Standard,1.1.1,Anchor Standard 1,Generate and conceptualize artistic ideas and work.,,2022-11-02T00:48:20+00:00
Understanding,1.1.1.1,1.1,"**Enduring Understanding**: Media arts ideas, works, and processes are shaped by the imagination, creative processes, and by experiences, both within and outside of the arts.",,2022-11-02T00:48:20+00:00
Cluster,1.1.1.1.1,,Cr1.1.a,,2022-11-02T00:48:20+00:00
Standard,1.1.1.1.1.1,MA:Cr1.1.PK.a,"**Conceive** Share ideas for media artworks through guided exploration of tools, methods, and imagining.",PK,2023-09-25T16:37:11+00:00
Standard,1.1.1.1.1.2,MA:Cr1.1.K.a,"**Conceive** Discover and share ideas for media artworks through brainstorming, creative play, and experimentation.",KG,2023-09-25T16:37:19+00:00
Standard,1.1.1.1.1.3,MA:Cr1.1.1.a,"**Conceive** Express and share ideas for media artworks through brainstorming, sketching, and modeling.",01,2023-09-25T16:37:27+00:00
Standard,1.1.1.1.1.4,MA:Cr1.1.2.a,**Conceive** Discover multiple ideas for media artworks through brainstorming and improvising.,02,2023-09-25T16:37:36+00:00
Standard,1.1.1.1.1.5,MA:Cr1.1.3.a,"**Conceive** Conceive of original artistic goals for media artworks using a variety of creative methods (for example, brainstorming and modeling).",03,2023-09-25T16:37:43+00:00
Standard,1.1.1.1.1.6,MA:Cr1.1.4.a,"**Conceive** Develop multiple ideas for media artworks using a variety of tools, methods, and/or materials.",04,2023-09-25T16:37:55+00:00
Standard,1.1.1.1.1.7,MA:Cr1.1.5.a,**Conceive** Envision original ideas and innovations for media artworks using personal experiences and/or the work of others.,05,2023-09-25T16:38:11+00:00
Standard,1.1.1.1.1.8,MA:Cr1.1.6.a,"**Conceive** Formulate variations of goals and solutions for media artworks by practicing chosen creative generative methods (for example, sketching, improvising, brainstorming).",06,2023-09-25T16:38:20+00:00
Standard,1.1.1.1.1.9,MA:Cr1.1.7.a,"**Conceive** Generate ideas, goals, and solutions for original media artworks through application of focused creative processes and generative methods (for example, divergent thinking, experimenting).",07,2023-09-25T16:38:28+00:00
Standard,1.1.1.1.1.10,MA:Cr1.1.8.a,"**Conceive** Produce a variety of ideas and solutions for media artworks through application of chosen inventive generative methods (for example, concept modeling, prototyping).",08,2023-09-25T16:38:36+00:00
Standard,1.1.1.1.1.11,MA:Cr1.1.I.a,"**Conceive** Use identified generative methods to formulate multiple ideas, develop artistic goals, and problem solve in media arts creation processes.",09-10,2023-09-25T16:50:07+00:00
Standard,1.1.1.1.1.12,MA:Cr1.1.II.a,"**Conceive** Strategically utilize generative methods to formulate multiple ideas, refine artistic goals, and increase the originality of approaches in media arts creation processes.",10-11,2023-09-25T16:50:17+00:00
Standard,1.1.1.1.1.13,MA:Cr1.1.III.a,"**Conceive** Integrate aesthetic principles with a variety of generative methods to fluently form original ideas, solutions, and innovations in media arts creation processes.",11-12,2023-09-25T16:50:37+00:00
Anchor Standard,1.1.2,Anchor Standard 2,Organize and develop artistic ideas and work.,,2022-11-02T00:48:20+00:00
Understanding,1.1.2.1,2.1,"**Enduring Understanding**: Media artists plan, organize, and develop creative ideas, plans, and models into process structures that can effectively realize the artistic idea.",,2022-11-02T00:48:20+00:00
Cluster,1.1.2.1.1,,Cr2.1.a,,2022-11-02T00:48:20+00:00
Standard,1.1.2.1.1.1,MA:Cr2.1.PK.a,"**Develop** With guidance, form ideas into plans or models for media arts productions.",PK,2023-09-25T16:37:11+00:00
Standard,1.1.2.1.1.2,MA:Cr2.1.K.a,"**Develop** With guidance, use ideas to form plans or models for media arts productions.",KG,2023-09-25T16:37:19+00:00
Standard,1.1.2.1.1.3,MA:Cr2.1.1.a,"**Develop** With guidance, use identified ideas to form plans and models for media arts productions.",01,2023-09-25T16:37:27+00:00
Standard,1.1.2.1.1.4,MA:Cr2.1.2.a,**Develop** Choose ideas to create plans and models for media arts productions.,02,2023-09-25T16:37:36+00:00
Standard,1.1.2.1.1.5,MA:Cr2.1.3.a,"**Develop** Form, share, and experiment with ideas, plans, and models to prepare for media arts productions.",03,2023-09-25T16:37:43+00:00
Standard,1.1.2.1.1.6,MA:Cr2.1.4.a,"**Develop** Discuss, assemble, and experiment, with ideas, plans, and models for media arts productions, considering the artistic goals and the presentation.",04,2023-09-25T16:37:55+00:00
Standard,1.1.2.1.1.7,MA:Cr2.1.5.a,"**Develop** Develop, present, and experiment with ideas, plans, models, and proposals for media arts productions, considering the artistic goals and audience.",05,2023-09-25T16:38:11+00:00
Standard,1.1.2.1.1.8,MA:Cr2.1.6.a,"**Develop** Organize, propose, and evaluate artistic ideas, plans, prototypes, and production processes for media arts productions, considering purposeful intent.",06,2023-09-25T16:38:20+00:00
Standard,1.1.2.1.1.9,MA:Cr2.1.7.a,"**Develop** Design, propose, and evaluate artistic ideas, plans, prototypes, and production processes for media arts productions, considering expressive intent and resources.",07,2023-09-25T16:38:28+00:00
Standard,1.1.2.1.1.10,MA:Cr2.1.8.a,"**Develop** Structure and critique ideas, plans, prototypes, and production processes for media arts productions, considering intent, resources, and the presentation context.",08,2023-09-25T16:38:36+00:00
Standard,1.1.2.1.1.11,MA:Cr2.1.I.a,"**Develop** Research and apply aesthetic criteria in developing, proposing, and refining artistic ideas, plans, prototypes, and production processes for media arts productions, considering original inspirations, goals, and presentation context.",09-10,2023-09-25T16:50:07+00:00
Standard,1.1.2.1.1.12,MA:Cr2.1.II.a,"**Develop** Apply a personal aesthetic in designing, experimenting, and refining original artistic ideas, prototypes, and production strategies for media arts productions, considering artistic intentions, constraints of resources, and presentation context.",10-11,2023-09-25T16:50:17+00:00
Standard,1.1.2.1.1.13,MA:Cr2.1.III.a,"**Develop** Integrate a complex personal aesthetic and knowledge of systems processes in forming, experimenting, and proposing original artistic ideas, prototypes, and production frameworks, considering complex constraints of goals, time, resources, and personal limitations.",11-12,2023-09-25T16:50:37+00:00
Anchor Standard,1.1.3,Anchor Standard 3,"Revise, refine, and complete artistic work.",,2022-11-02T00:48:20+00:00
Understanding,1.1.3.1,3.1,"**Enduring Understanding**: Media artists develop excellence through practice and constructive critique – reflecting on, revising, and refining work over time.",,2022-11-02T00:48:20+00:00
Cluster,1.1.3.1.1,,Cr3.1.a,,2022-11-02T00:48:20+00:00
Standard,1.1.3.1.1.1,MA:Cr3.1.PK.a,"**Construct** Make and capture media arts content, freely and in guided practice, in media arts productions.",PK,2023-09-25T16:37:11+00:00
Standard,1.1.3.1.1.2,MA:Cr3.1.K.a,**Construct** Form and capture media arts content for expression and meaning in media arts productions.,KG,2023-09-25T16:37:19+00:00
Standard,1.1.3.1.1.3,MA:Cr3.1.1.a,"**Construct** Create, capture, and assemble media arts content for media arts productions, identifying basic principles (for example, pattern, repetition).",01,2023-09-25T16:37:27+00:00
Standard,1.1.3.1.1.4,MA:Cr3.1.2.a,"**Construct** Construct and assemble content for unified media arts productions, identifying and applying basic principles (for example, positioning, attention).",02,2023-09-25T16:37:36+00:00
Standard,1.1.3.1.1.5,MA:Cr3.1.3.a,"**Construct** Construct and order various content into unified, purposeful media arts productions, describing and applying a defined set of principles (for example, movement).",03,2023-09-25T16:37:43+00:00
Standard,1.1.3.1.1.6,MA:Cr3.1.4.a,"**Construct** Structure and arrange various content and components to convey purpose and meaning in different media arts productions, applying sets of associated principles (for example, balance, contrast).",04,2023-09-25T16:37:55+00:00
Standard,1.1.3.1.1.7,MA:Cr3.1.5.a,"**Construct** Create content and combine components to convey expression, purpose, and meaning in a variety of media arts productions, utilizing sets of associated principles (for example, emphasis, exaggeration).",05,2023-09-25T16:38:11+00:00
Standard,1.1.3.1.1.8,MA:Cr3.1.6.a,"**Construct** Experiment with multiple approaches to produce content and components for determined purpose and meaning in media arts productions, utilizing a range of associated principles (for example, point of view, perspective).",06,2023-09-25T16:38:20+00:00
Standard,1.1.3.1.1.9,MA:Cr3.1.7.a,"**Construct** Coordinate production processes to integrate content and components for determined purpose and meaning in media arts productions, demonstrating understanding of associated principles (for example, narrative structures, composition).",07,2023-09-25T16:38:28+00:00
Standard,1.1.3.1.1.10,MA:Cr3.1.8.a,"**Construct** Implement production processes to integrate content and stylistic conventions for determined meaning in media arts productions, demonstrating understanding of associated principles (for example, theme, unity).",08,2023-09-25T16:38:36+00:00
Standard,1.1.3.1.1.11,MA:Cr3.1.I.a,"**Construct** Consolidate production processes to demonstrate deliberate choices in organizing and integrating content and stylistic conventions in media arts productions, demonstrating understanding of associated principles (for example, emphasis, tone).",09-10,2023-09-25T16:50:07+00:00
Standard,1.1.3.1.1.12,MA:Cr3.1.II.a,"**Construct** Consolidate production processes to demonstrate deliberate choices in organizing and integrating content and stylistic conventions in media arts production, demonstrating understanding of associated principles (for example, continuity, juxtaposition).",10-11,2023-09-25T16:50:17+00:00
Standard,1.1.3.1.1.13,MA:Cr3.1.III.a,"**Construct** Analyze, refine, and elaborate elements and components to express compelling purpose, story, emotion, or ideas in complex media arts productions, demonstrating mastery of associated principles (for example, hybridization).",11-12,2023-09-25T16:50:37+00:00
Cluster,1.1.3.1.2,,Cr3.1.b,,2022-11-02T00:48:20+00:00
Standard,1.1.3.1.2.1,MA:Cr3.1.PK.b,"**Construct** Attempt and share expressive effects, freely and in guided practice, in creating media artworks.",PK,2023-09-25T16:37:11+00:00
Standard,1.1.3.1.2.2,MA:Cr3.1.K.b,"**Construct** Make guided changes to the content, form, or presentation of media artworks and share results.",KG,2023-09-25T16:37:19+00:00
Standard,1.1.3.1.2.3,MA:Cr3.1.1.b,"**Construct** Make guided changes and Identify the effects of making changes to the content, form, or presentation, in order to refine and finish media artworks.",01,2023-09-25T16:37:27+00:00
Standard,1.1.3.1.2.4,MA:Cr3.1.2.b,"**Construct** Practice and describe expressive effects in altering, refining, and completing media artworks.",02,2023-09-25T16:37:36+00:00
Standard,1.1.3.1.2.5,MA:Cr3.1.3.b,**Construct** Practice and analyze how the emphasis of elements alters effect and purpose in refining and completing media artworks.,03,2023-09-25T16:37:43+00:00
Standard,1.1.3.1.2.6,MA:Cr3.1.4.b,**Construct** Demonstrate the intentional use of elements in a media artwork.,04,2023-09-25T16:37:55+00:00
Standard,1.1.3.1.2.7,MA:Cr3.1.5.b,**Construct** Determine how elements and components can be altered for clear communication and refine media artworks to improve clarity and purpose.,05,2023-09-25T16:38:11+00:00
Standard,1.1.3.1.2.8,MA:Cr3.1.6.b,**Construct** Explain and demonstrate how elements and components can be altered for intentional effects and different audiences.,06,2023-09-25T16:38:20+00:00
Standard,1.1.3.1.2.9,MA:Cr3.1.7.b,"**Construct** Analyze, Improve and refine media artworks by emphasizing particular expressive elements to reflect an understanding of purpose, audience, or place.",07,2023-09-25T16:38:28+00:00
Standard,1.1.3.1.2.10,MA:Cr3.1.8.b,"**Construct** Analyze, refine, and modify media artworks, improving technical quality and accentuating selected expressive and stylistic elements, to reflect an understanding of purpose, audience, and place.",08,2023-09-25T16:38:36+00:00
Standard,1.1.3.1.2.11,MA:Cr3.1.I.b,"**Construct** Analyze, refine, and modify media artworks, honing aesthetic quality and accentuating stylistic elements, to reflect an understanding of personal goals and preferences.",09-10,2023-09-25T16:50:07+00:00
Standard,1.1.3.1.2.12,MA:Cr3.1.II.b,"**Construct** Analyze, refine, and elaborate aesthetic elements and technical components to form impactful expressions in media artworks for specific purposes, intentions, audiences, and contexts.",10-11,2023-09-25T16:50:17+00:00
Standard,1.1.3.1.2.13,MA:Cr3.1.III.b,"**Construct** Analyze, refine, and elaborate elements and components to create media artworks that have an impact on specific purposes, audiences, and contexts.",11-12,2023-09-25T16:50:37+00:00
,1.2,,Producing,,2022-10-29T23:30:33+00:00
Anchor Standard,1.2.1,Anchor Standard 4,"Select, analyze, and interpret artistic work for presentation.",,2022-11-02T00:56:03+00:00
Understanding,1.2.1.1,4.1,**Enduring Understanding**: Media artists make choices about how and to whom their work is presented.,,2022-11-02T00:56:03+00:00
Cluster,1.2.1.1.1,,Pr5.1.a,,2022-11-02T00:56:03+00:00
