Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Anchor Standards,,2022-11-02T03:03:07+00:00
,1.1,,Creating,,2022-11-02T06:28:37+00:00
Anchor Standard,1.1.1,Anchor Standard 1,Generate and conceptualize artistic ideas and work.,,2022-11-02T01:19:31+00:00
Understanding,1.1.1.1,1.1,"**Enduring Understanding:** The creative ideas, concepts, and feelings that influence musicians’ work emerge from a variety of sources.",,2022-11-02T01:19:31+00:00
Cluster,1.1.1.1.1,,Cr1.1.a,,2022-11-02T01:19:31+00:00
Standard,1.1.1.1.1.1,MU:Cr1.1.PK.a,"With guidance, explore and experience music concepts (for example, beat, melodic contour).",PK,2023-09-27T23:42:28+00:00
Standard,1.1.1.1.1.2,MU:Cr1.1.K.a,"With limited guidance, create musical ideas (for example, answering a musical question) for a specific purpose.",KG,2023-09-27T23:42:37+00:00
Standard,1.1.1.1.1.3,MU:Cr1.1.1.a,Improvise rhythmic and melodic patterns and musical ideas for a specific purpose.,01,2023-09-27T23:42:45+00:00
Standard,1.1.1.1.1.4,MU:Cr1.1.2.a,"Improvise rhythmic and melodic ideas and describe connection to specific purpose and context (for example, personal, social).",02,2023-09-27T23:42:52+00:00
Standard,1.1.1.1.1.5,MU:Cr1.1.3.a,"Improvise rhythmic, melodic, and harmonic ideas and explain connection to specific purpose and context (for example, social, cultural).",03,2023-09-27T23:42:59+00:00
Standard,1.1.1.1.1.6,MU:Cr1.1.4.a,"Improvise rhythmic, melodic, and harmonic ideas, and explain connection to specific purpose and context (for example, social, cultural, historical).",04,2023-09-27T23:43:05+00:00
Standard,1.1.1.1.1.7,MU:Cr1.1.5.a,"Compose simple rhythmic, melodic, and harmonic phrases within a given form that convey expressive intent.",05,2023-09-27T23:43:14+00:00
Standard,1.1.1.1.1.8,MU:Cr1.1.6.a,"Compose rhythmic, melodic, and harmonic phrases over harmonic accompaniments within a given form(s) that convey expressive intent.",06,2023-09-27T23:43:20+00:00
Standard,1.1.1.1.1.9,MU:Cr1.1.7.a,"Compose rhythmic, melodic, and harmonic phrases over harmonic accompaniments within a given form(s) that convey expressive intent.",07,2023-09-27T23:43:27+00:00
Standard,1.1.1.1.1.10,MU:Cr1.1.8.a,"Compose increasingly complex rhythmic, melodic, and harmonic phrases over harmonic accompaniments within a given form(s) that convey expressive intent.",08,2023-09-27T23:43:35+00:00
Standard,1.1.1.1.1.11,MU:Cr1.1.I.a,"Compose and/or improvise melodic, rhythmic, and harmonic ideas for simple melodies and accompaniments for given melodies.",09-10,2023-09-27T23:43:45+00:00
Standard,1.1.1.1.1.12,MU:Cr1.1.II.a,"Compose and/or improvise melodic, rhythmic, and harmonic ideas and chordal accompaniments in a variety of patterns and styles.",10-11,2023-09-27T23:43:54+00:00
Standard,1.1.1.1.1.13,MU:Cr1.1.III.a,"Compose and/or improvise melodic, rhythmic, and harmonic ideas for compositions of increasing complexity and accompaniment patterns in a variety of styles.",11-12,2023-09-27T23:44:03+00:00
Anchor Standard,1.1.2,Anchor Standard 2,Organize and develop artistic ideas and work.,,2022-11-02T01:19:31+00:00
Understanding,1.1.2.1,2.1,"**Enduring Understanding:** Musicians’ creative choices are influenced by their expertise, context, and expressive intent.",,2022-11-02T01:19:31+00:00
Cluster,1.1.2.1.1,,Cr2.1.a,,2022-11-02T01:19:31+00:00
Standard,1.1.2.1.1.1,MU:Cr2.1.PK.a,"With substantial guidance, explore favorite musical ideas (for example, movements, vocalizations, instrumental accompaniments).",PK,2023-09-27T23:42:28+00:00
Standard,1.1.2.1.1.2,MU:Cr2.1.K.a,"With guidance, demonstrate and choose favorite musical ideas.",KG,2023-09-27T23:42:37+00:00
Standard,1.1.2.1.1.3,MU:Cr2.1.1.a,"With limited guidance, demonstrate and discuss personal reasons for selecting musical ideas that represent expressive intent.",01,2023-09-27T23:42:45+00:00
Standard,1.1.2.1.1.4,MU:Cr2.1.2.a,Demonstrate and explain personal reasons for selecting patterns and ideas for music that represent expressive intent.,02,2023-09-27T23:42:52+00:00
Standard,1.1.2.1.1.5,MU:Cr2.1.3.a,Demonstrate selected musical ideas for a simple improvisation or composition to express intent and describe connection to a specific purpose and context.,03,2023-09-27T23:42:59+00:00
Standard,1.1.2.1.1.6,MU:Cr2.1.4.a,"Demonstrate selected and organized musical ideas for an improvisation, arrangement, or composition to express intent, and explain connection to purpose and context.",04,2023-09-27T23:43:05+00:00
Standard,1.1.2.1.1.7,MU:Cr2.1.5.a,"Demonstrate selected and developed musical ideas for improvisations, arrangement, or compositions to express intent, and explain connection to purpose and context.",05,2023-09-27T23:43:14+00:00
Standard,1.1.2.1.1.8,MU:Cr2.1.6.a,"Select, organize, construct, and document personal musical ideas for arrangements and compositions within given form(s) that demonstrate effective beginning, middle, and ending, and convey expressive intent.",06,2023-09-27T23:43:20+00:00
Standard,1.1.2.1.1.9,MU:Cr2.1.7.a,"Select, organize, develop, and document personal musical ideas for arrangements, song, and compositions within a given form(s) that utilize compositional techniques and convey expressive intent.",07,2023-09-27T23:43:27+00:00
Standard,1.1.2.1.1.10,MU:Cr2.1.8.a,"Select, organize, and document musical ideas for arrangements, song, and compositions within expanded forms that utilize various compositional techniques and convey expressive intent.",08,2023-09-27T23:43:35+00:00
Standard,1.1.2.1.1.11,MU:Cr2.1.I.a,"Select, develop, and use notation and/or audio/video recording to document melodic, rhythmic, and harmonic ideas for drafts of simple melodies.",09-10,2023-09-27T23:43:45+00:00
Standard,1.1.2.1.1.12,MU:Cr2.1.II.a,"Select, develop, and use notation and/or audio/video recording to document draft melodies, harmonies, and rhythmic passages and accompaniments for given melodies.",10-11,2023-09-27T23:43:54+00:00
Standard,1.1.2.1.1.13,MU:Cr2.1.III.a,"Select, develop, and use notation and/or audio/video recording to document arrangements, sections, and short compositions, improvisations, and accompaniment patterns in a variety of styles and harmonizations for given melodies.",11-12,2023-09-27T23:44:03+00:00
Cluster,1.1.2.1.2,,Cr2.1.b,,2022-11-02T01:19:31+00:00
Standard,1.1.2.1.2.1,MU:Cr2.1.1.b,"With limited guidance, use iconic or standard notation and/or recording technology to document and organize personal musical ideas.",01,2023-09-27T23:42:45+00:00
Standard,1.1.2.1.2.2,MU:Cr2.1.2.b,"Use iconic or standard notation and/ or recording technology to combine, sequence, and document personal musical ideas.",02,2023-09-27T23:42:52+00:00
Standard,1.1.2.1.2.3,MU:Cr2.1.3.b,Use standard and/ or iconic notation and/ or recording technology to document personal rhythmic and melodic musical ideas.,03,2023-09-27T23:42:59+00:00
