Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Anchor Standards,,2022-11-02T03:32:50+00:00
,1.1,,Creating,,2022-10-29T22:22:33+00:00
Anchor Standard,1.1.1,Anchor Standard 1,Generate and conceptualize artistic ideas and work.,,2022-11-02T01:26:08+00:00
Understanding,1.1.1.1,1.1,"**Enduring Understanding:** Theatre artists rely on intuition, curiosity, and critical inquiry.",,2022-11-02T01:26:08+00:00
Cluster,1.1.1.1.1,Cr1.a,Conceptualize a unified piece of theatre.,,2022-11-02T03:35:08+00:00
Standard,1.1.1.1.1.1,TH:Cr1.1.PK.a,"**Envision, Conceptualize** With prompting and support, transition between imagination and reality in dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",PK,2023-09-29T17:10:55+00:00
Standard,1.1.1.1.1.2,TH:Cr1.1.K.a,"**Envision, Conceptualize** With prompting and support, invent and inhabit an imaginary elsewhere in dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",KG,2023-09-29T17:11:04+00:00
Standard,1.1.1.1.1.3,TH:Cr1.1.1.a,"**Envision, Conceptualize** Propose potential choices characters could make in a guided drama experience (for example, process drama, story drama, creative drama).",01,2023-09-29T17:11:10+00:00
Standard,1.1.1.1.1.4,TH:Cr1.1.2.a,"**Envision, Conceptualize** Propose potential new details to plot and story in a guided drama experience (for example, process drama, story drama, creative drama).",02,2023-09-29T17:11:18+00:00
Standard,1.1.1.1.1.5,TH:Cr1.1.3.a,"**Envision, Conceptualize** Create roles, imagined worlds, and improvised stories in a drama/theatre work.",03,2023-09-29T17:11:25+00:00
Standard,1.1.1.1.1.6,TH:Cr1.1.4.a,"**Envision, Conceptualize** Articulate the visual details of imagined worlds and improvised stories that support the given circumstances in a drama/theatre work.",04,2023-09-29T17:11:34+00:00
Standard,1.1.1.1.1.7,TH:Cr1.1.5.a,"**Envision, Conceptualize** Identify physical qualities that might reveal a character’s inner traits in the imagined world of a drama/theatre work.",05,2023-09-29T17:11:43+00:00
Standard,1.1.1.1.1.8,TH:Cr1.1.6.a,"**Envision, Conceptualize** Identify possible solutions to performance challenges in a drama/ theatre work.",06,2023-09-29T17:12:02+00:00
Standard,1.1.1.1.1.9,TH:Cr1.1.7.a,"**Envision, Conceptualize** Investigate multiple perspectives and solutions to performance challenges in a drama/ theatre work.",07,2023-09-29T17:12:09+00:00
Standard,1.1.1.1.1.10,TH:Cr1.1.8.a,"**Envision, Conceptualize** Imagine and explore multiple perspectives and solutions to performance problems in a drama/theatre work.",08,2023-09-29T17:12:18+00:00
Standard,1.1.1.1.1.11,TH:Cr1.1.I.a,"**Envision, Conceptualize** Create a symbol or metaphor to unify the concept of a drama/ theatre work.",09-10,2023-09-29T17:12:32+00:00
Standard,1.1.1.1.1.12,TH:Cr1.1.II.a,"**Envision, Conceptualize** Apply research to construct ideas about the unified concept of a drama/theatre work.",10-11,2023-09-29T17:12:42+00:00
Standard,1.1.1.1.1.13,TH:Cr1.1.III.a,"**Envision, Conceptualize** Synthesize knowledge from a variety of dramatic forms, drama/ theatre conventions, and technologies to create the unified concept of a drama/ theatre work.",11-12,2023-09-29T17:12:52+00:00
Cluster,1.1.1.1.2,Cr1.b,Imagine technical elements for a unified drama/ theatre concept.,,2022-11-02T03:35:11+00:00
Standard,1.1.1.1.2.1,TH:Cr1.1.PK.b,"**Envision, Conceptualize** With prompting and support, use nonrepresentational materials to create props, puppets, and costume pieces for dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",PK,2023-09-29T17:10:55+00:00
Standard,1.1.1.1.2.2,TH:Cr1.1.K.b,"**Envision, Conceptualize** With prompting and support, use nonrepresentational materials to create props, puppets, and costume pieces for dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",KG,2023-09-29T17:11:04+00:00
Standard,1.1.1.1.2.3,TH:Cr1.1.1.b,"**Envision, Conceptualize** Collaborate with peers to conceptualize costumes and props in a guided drama experience (for example, process drama, story drama, creative drama).",01,2023-09-29T17:11:10+00:00
Standard,1.1.1.1.2.4,TH:Cr1.1.2.b,"**Envision, Conceptualize** Collaborate with peers to conceptualize scenery in a guided drama experience (for example, process drama, story drama, creative drama).",02,2023-09-29T17:11:18+00:00
Standard,1.1.1.1.2.5,TH:Cr1.1.3.b,"**Envision, Conceptualize** Imagine and articulate ideas for costumes, props, and sets for the environment and characters in a drama/theatre work.",03,2023-09-29T17:11:25+00:00
Standard,1.1.1.1.2.6,TH:Cr1.1.4.b,"**Envision, Conceptualize** Propose design ideas that support the story and given circumstances in a drama/theatre work.",04,2023-09-29T17:11:34+00:00
Standard,1.1.1.1.2.7,TH:Cr1.1.5.b,"**Envision, Conceptualize** Visualize and design elements that support the story and given circumstances in a drama/theatre work.",05,2023-09-29T17:11:43+00:00
Standard,1.1.1.1.2.8,TH:Cr1.1.6.b,"**Envision, Conceptualize** Identify solutions to design challenges in a drama/theatre work.",06,2023-09-29T17:12:02+00:00
Standard,1.1.1.1.2.9,TH:Cr1.1.7.b,"**Envision, Conceptualize** Explain and present solutions to design challenges in a drama/ theatre work.",07,2023-09-29T17:12:09+00:00
Standard,1.1.1.1.2.10,TH:Cr1.1.8.b,"**Envision, Conceptualize** Imagine and explore solutions to design challenges for a specific performance space in a drama/theatre work.",08,2023-09-29T17:12:18+00:00
Standard,1.1.1.1.2.11,TH:Cr1.1.I.b,"**Envision, Conceptualize** Explore the impact of technology on design choices in a drama/ theatre work.",09-10,2023-09-29T17:12:32+00:00
Standard,1.1.1.1.2.12,TH:Cr1.1.II.b,"**Envision, Conceptualize** Understand and apply technology to design solutions for a drama/ theatre work.",10-11,2023-09-29T17:12:42+00:00
Standard,1.1.1.1.2.13,TH:Cr1.1.III.b,"**Envision, Conceptualize** Create a complete design for a drama/ theatre work that incorporates multiple elements of technology.",11-12,2023-09-29T17:12:52+00:00
Cluster,1.1.1.1.3,Cr1.c,Develop a character authentic to the work.,,2022-11-02T03:35:18+00:00
Standard,1.1.1.1.3.1,TH:Cr1.1.PK.c,"**Envision, Conceptualize** With prompting and support, students transition between imagination and reality in dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",PK,2023-09-29T17:10:55+00:00
Standard,1.1.1.1.3.2,TH:Cr1.1.K.c,"**Envision, Conceptualize** With prompting and support, students transition between imagination and reality in dramatic play or a guided drama experience (for example, process drama, story drama, creative drama).",KG,2023-09-29T17:11:04+00:00
