Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Anchor Standards,,2022-10-25T23:04:34+00:00
,1.1,,Creating,,2022-11-02T04:23:47+00:00
Anchor Standard,1.1.1,Anchor Standard 1,Generate and conceptualize artistic ideas and work.,,2022-11-02T04:32:31+00:00
Understanding,1.1.1.1,1.1,**Enduring Understanding:** Creativity and innovative thinking are essential life skills that can be developed.,,2022-11-02T19:33:41+00:00
Cluster,1.1.1.1.1,,Cr1.1.a,,2022-11-02T04:32:31+00:00
Standard,1.1.1.1.1.1,VA:Cr1.1.PK.a,"**Investigate, Plan, Make** Engage in self- directed play with materials.",PK,2023-09-15T21:52:45+00:00
Standard,1.1.1.1.1.2,VA:Cr1.1.K.a,"**Investigate, Plan, Make** Engage in exploration and imaginative play with materials.",KG,2023-09-15T21:53:34+00:00
Standard,1.1.1.1.1.3,VA:Cr1.1.1.a,"**Investigate, Plan, Make** Engage collaboratively in exploration and imaginative play with materials.",01,2023-09-15T21:53:44+00:00
Standard,1.1.1.1.1.4,VA:Cr1.1.2.a,"**Investigate, Plan, Make** Brainstorm collaboratively multiple approaches to an art or design problem.",02,2023-09-15T21:53:51+00:00
Standard,1.1.1.1.1.5,VA:Cr1.1.3.a,"**Investigate, Plan, Make** Elaborate on an imaginative ide",03,2023-09-15T21:54:02+00:00
Standard,1.1.1.1.1.6,VA:Cr1.1.4.a,"**Investigate, Plan, Make** Brainstorm multiple approaches to a creative art or design problem.",04,2023-09-15T21:54:11+00:00
Standard,1.1.1.1.1.7,VA:Cr1.1.5.a,"**Investigate, Plan, Make** Combine ideas to generate an innovative idea for art making.",05,2023-09-15T21:54:19+00:00
Standard,1.1.1.1.1.8,VA:Cr1.1.6.a,"**Investigate, Plan, Make** Combine concepts collaboratively to generate innovative ideas for creating art.",06,2023-09-15T21:54:29+00:00
Standard,1.1.1.1.1.9,VA:Cr1.1.7.a,"**Investigate, Plan, Make** Apply methods to overcome creative blocks.",07,2023-09-15T21:54:40+00:00
Standard,1.1.1.1.1.10,VA:Cr1.1.8.a,"**Investigate, Plan, Make** Document early stages of the creative process visually or verbally in traditional or new media.",08,2023-09-15T21:54:50+00:00
Standard,1.1.1.1.1.11,VA:Cr1.1.I.a,"**Investigate, Plan, Make** Use multiple approaches to begin creative endeavors.",09-10,2023-09-15T21:55:22+00:00
Standard,1.1.1.1.1.12,VA:Cr1.1.II.a,"**Investigate, Plan, Make** Individually or collaboratively formulate new creative problems based on student’s existing artwork.",10-11,2023-09-15T21:55:35+00:00
Standard,1.1.1.1.1.13,VA:Cr1.1.III.a,"**Investigate, Plan, Make** Visualize and hypothesize to generate plans for ideas and directions for creating art and design that can affect social change.",11-12,2023-09-15T21:55:45+00:00
Understanding,1.1.1.2,1.2,"**Enduring Understanding:** Artists and designers shape artistic investigations, following or breaking with traditions in pursuit of creative art-making goals.",,2022-11-02T19:35:50+00:00
Cluster,1.1.1.2.1,,Cr1.2.a,,2022-11-02T04:32:31+00:00
Standard,1.1.1.2.1.1,VA:Cr1.2.PK.a,"**Investigate, Plan, Make** Engage in self- directed creative art making.",PK,2023-09-15T21:52:45+00:00
