Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades K-2 Standards,KG-02,2023-09-29T18:20:04+00:00
Content Domain,1.1,,Computing Systems,KG-02,2023-09-29T18:20:04+00:00
Domain,1.1.1,,Devices,KG-02,2023-09-29T18:20:04+00:00
Standard,1.1.1.1,K-2.CS.1,Select and operate appropriate software to perform a variety of tasks and recognize that users have different needs and preferences for the technology they use.,KG-02,2023-09-29T18:20:04+00:00
Domain,1.1.2,,Hardware and Software,KG-02,2023-09-29T18:20:04+00:00
Standard,1.1.2.1,K-2.CS.02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,KG-02,2023-09-29T18:20:04+00:00
Domain,1.1.3,,Troubleshooting,KG-02,2023-09-29T18:20:04+00:00
Standard,1.1.3.1,K-2.CS.03,Describe basic hardware and software problems using accurate terminology.,KG-02,2023-09-29T18:20:04+00:00
Content Domain,1.2,,Networks and the Internet,KG-02,2023-09-29T18:20:04+00:00
Domain,1.2.1,,Cybersecurity,KG-02,2023-09-29T18:20:04+00:00
Standard,1.2.1.1,K-2.NI.04,Explain what passwords are and why we use them and use strong passwords to protect devices and information from unauthorized access.,KG-02,2023-09-29T18:20:04+00:00
Content Domain,1.3,,Data and Analysis,KG-02,2023-09-29T18:20:04+00:00
Domain,1.3.1,,Storage,KG-02,2023-09-29T18:20:04+00:00
Standard,1.3.1.1,K-2.DA.05,"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data.",KG-02,2023-09-29T18:20:04+00:00
Domain,1.3.2,,"Collection, Visualization, and Transformation",KG-02,2023-09-29T18:20:04+00:00
Standard,1.3.2.1,K-2.DA.06,Collect and present the same data in various visual formats.,KG-02,2023-09-29T18:20:04+00:00
Domain,1.3.3,,Interference and Models,KG-02,2023-09-29T18:20:04+00:00
Standard,1.3.3.1,K-2.DA.07,"Identify and describe patterns in data visualizations, such as charts or graphs, to make predictions.",KG-02,2023-09-29T18:20:04+00:00
Content Domain,1.4,,Algorithms and Programming,KG-02,2023-09-29T18:20:04+00:00
Domain,1.4.1,,Algorithms,KG-02,2023-09-29T18:20:04+00:00
Standard,1.4.1.1,K-2.AP.08,Model daily processes by creating and following algorithms (sets of step-by- step instructions) to complete tasks.,KG-02,2023-09-29T18:20:04+00:00
