Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,A,"**Self-Awareness and Relationships to Others** – Culturally responsive teachers and leaders are reflective and gain a deeper understanding of themselves and how they impact others, leading to more cohesive and productive student development as it relates to academic and social-emotional development for all students. The culturally responsive teacher and leader will:",,2024-03-28T16:28:49+00:00
Standard,1.1,A.1,"Understand and value the notion that multiple lived experiences exist, that there is often not one ""correct"" way of doing or understanding something, and that what is seen as ""correct"" is most often based on our lived experiences.",,2024-03-28T16:28:49+00:00
Standard,1.2,A.2,"Approach their work and students with an asset-based mindset, affirming the validity of the students’ backgrounds and identities.",,2024-03-28T16:28:49+00:00
Standard,1.3,A.3,"Know about their students and their lives outside of school, using this knowledge to build instruction that leverages prior knowledge and skills.",,2024-03-28T16:28:49+00:00
Standard,1.4,A.4,"Include representative, familiar content in the curriculum to legitimize students’ backgrounds, while also exposing them to new ideas and worldviews different from their own.",,2024-03-28T16:28:49+00:00
Standard,1.5,A.5,Engage in self-reflection about their own actions and interactions and what ideas and biases motivated those actions.,,2024-03-28T16:28:49+00:00
Standard,1.6,A.6,"Explore their own intersecting identities, how they were developed, and how they impact daily experience of the world.",,2024-03-28T16:28:49+00:00
Standard,1.7,A.7,"Recognize how their identity (race/ethnicity, national origin, language, sex and gender, gender identity, sexual orientation, physical/developmental/ emotional ability, socioeconomic class, religion, etc.) affects their perspectives and beliefs about pedagogy and students.",,2024-03-28T16:28:49+00:00
Standard,1.8,A.8,"Educate themselves about students’ communities, cultures, and histories.",,2024-03-28T16:28:49+00:00
Standard,1.9,A.9,Critically think about the institutions in which they find themselves working to reform these institutions whenever and wherever necessary.,,2024-03-28T16:28:49+00:00
Standard,1.10,A.10,"Assess how their biases and perceptions affect their teaching practice and how they access tools to mitigate their own behavior (racism, sexism, homophobia, unearned privilege, Eurocentrism, etc.).",,2024-03-28T16:28:49+00:00
,2,B,"**Systems of Oppression** – Systems of Oppression – Culturally responsive teachers and leaders understand that there are systems in our society especially, but not limited to, our school system, that create and reinforce inequities, thereby creating oppressive conditions. Educators work actively against these systems in their everyday roles in educational institutions. The culturally responsive teacher and leader will:",,2024-03-28T16:28:49+00:00
Standard,2.1,B.1,"Understand the difference between prejudice, discrimination, racism, and how to operate at the interpersonal, intergroup, and institutional levels.",,2024-03-28T16:28:49+00:00
Standard,2.2,B.2,"Collaborate with colleagues to determine how students from different backgrounds experience the classroom, school, and district.",,2024-03-28T16:28:49+00:00
Standard,2.3,B.3,Know and understand how the system of inequity has impacted them as an educator.,,2024-03-28T16:28:49+00:00
Standard,2.4,B.4,Understand how current curriculum and approaches to teaching impact students who are not a part of the dominant culture.,,2024-03-28T16:28:49+00:00
Standard,2.5,B.5,Be aware of the effects of power and privilege and the need for social advocacy and social action to better empower diverse students and communities.,,2024-03-28T16:28:49+00:00
Standard,2.6,B.6,Understand how a system of inequity creates rules regarding student punishment that negatively impact students of color.,,2024-03-28T16:28:49+00:00
Standard,2.7,B.7,Understand how a system of inequity reinforces certain suppositions as the norm.,,2024-03-28T16:28:49+00:00
