Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Áreas de Aprendizaje,1,,Artes Lingüísticas,PK,2024-04-16T22:53:41+00:00
Objetivo,1.1,Objetivo 1,Demostrar una aptitud creciente de comunicación oral (escuchar y hablar).,PK,2024-04-16T22:53:41+00:00
Pauta de Aprendizaje,1.1.1,Pauta de Aprendizaje 1.A,Demostrar la comprensión mediante respuestas apropiadas a la edad.,PK,2024-04-16T22:53:41+00:00
Parámetros,1.1.1.1,,Parámetros Preescolares,PK,2024-04-16T22:53:41+00:00
Parámetro,1.1.1.1.1,1.A.ECa,"Seguir instrucciones sencillas de uno, dos y tres pasos.",PK,2024-04-16T22:53:41+00:00
Parámetro,1.1.1.1.2,1.A.ECb,Responder apropiadamente a las preguntas de otros.,PK,2024-04-16T22:53:41+00:00
Parámetro,1.1.1.1.3,1.A.ECc,Hacer comentarios relevantes para el contexto.,PK,2024-04-16T22:53:41+00:00
Parámetro,1.1.1.1.4,1.A.ECd,Identificar los sentimientos expresados por la cara y el lenguaje corporal.,PK,2024-04-16T22:53:41+00:00
Descriptores,1.1.1.2,,Descriptores Ejemplares del Rendimiento,PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.1,,Exploración,PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.1.1,,"Seguir instrucciones de un paso que se le dan oralmente (por ej., “Tira tu toalla de papel en el basurero”).",PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.1.2,,"Contestar preguntas sencillas que se le hacen oralmente al dar una respuesta sencilla (por ej., “sí” o “no”).",PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.1.3,,"Hacer un comentario relacionado al tema de una conversación (por ej., “Yo también tengo un perro”).",PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.1.4,,"Mirar la cara o el lenguaje corporal de alguien y preguntar cómo se siente él o ella (por ej., “¿Qué le pasó a ella, maestra? ¿Se lastimó?”).",PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.2,,Desarrollo,PK,2024-04-16T22:53:41+00:00
Categoría de descriptor,1.1.1.2.2.1,,"Seguir instrucciones de dos pasos que se le dan oralmente (por ej., “Pónganse los abrigos y hagan cola para salir afuera”).",PK,2024-04-16T22:53:41+00:00
