Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Language Arts,PK,2023-10-25T17:31:09+00:00
Goal,1.1,Goal 1,Demonstrate increasing competence in oral communication (listening and speaking).,PK,2023-10-25T17:31:09+00:00
Learning Standard,1.1.1,Learning Standard 1.A,Demonstrate understanding through age-appropriate responses.,PK,2023-12-27T18:49:50+00:00
Benchmarks,1.1.1.1,,Preschool Benchmarks,PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.1.1.1,1.A.ECa,"Follow simple one-, two- and three-step directions.",PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.1.1.2,1.A.ECb,Respond appropriately to questions from others.,PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.1.1.3,1.A.ECc,Provide comments relevant to the context.,PK,2023-12-27T18:50:01+00:00
Benchmark,1.1.1.1.4,1.A.ECd,Identify emotions from facial expressions and body language.,PK,2023-12-27T18:50:08+00:00
Descriptors,1.1.1.2,,Example Performance Descriptors,PK,2023-10-25T17:31:09+00:00
Desc Category,1.1.1.2.1,,Exploring,PK,2023-10-25T17:31:09+00:00
Performance Descriptor,1.1.1.2.1.1,,"Perform one-step directions stated orally (e.g., “Throw your paper towel in the trash can.”).",PK,2023-12-27T18:50:18+00:00
Performance Descriptor,1.1.1.2.1.2,,"Answer simple questions stated orally with a simple reply (e.g., “yes,” “no”).",PK,2023-10-25T17:31:09+00:00
Performance Descriptor,1.1.1.2.1.3,,"Make one comment that is related to the topic of the conversation or discussion (e.g., “I have a dog, too.”).",PK,2023-12-27T18:50:27+00:00
Performance Descriptor,1.1.1.2.1.4,,"Look at a person’s face or body language and ask how s/he feels (e.g., “What’s wrong with her, teacher? Did she get hurt?”).",PK,2023-12-27T18:50:34+00:00
Desc Category,1.1.1.2.2,,Developing,PK,2023-10-25T17:31:09+00:00
Performance Descriptor,1.1.1.2.2.1,,"Perform two-step directions stated orally (e.g., “Get your coats on and line up to go outside.”).",PK,2023-12-27T19:12:40+00:00
Performance Descriptor,1.1.1.2.2.2,,"Respond to simple questions stated orally with appropriate actions (e.g., “Did you remember to wash your hands?” and the child goes to the sink and washes hands).",PK,2023-12-27T19:12:55+00:00
Performance Descriptor,1.1.1.2.2.3,,"Make more than one comment related to the topic of the conversation or discussion (e.g., “I have a dog, too. His name is Champ.”).",PK,2023-12-27T19:13:02+00:00
Performance Descriptor,1.1.1.2.2.4,,"Look at a person’s face to determine how they feel (e.g., “She looks mad.”).",PK,2023-12-27T19:13:26+00:00
Desc Category,1.1.1.2.3,,Building,PK,2023-10-25T17:31:09+00:00
Performance Descriptor,1.1.1.2.3.1,,"Perform three-step directions stated orally (e.g., “Put your paper in your cubby, wash your hands, and come sit on the rug.”).",PK,2023-12-27T19:13:44+00:00
Performance Descriptor,1.1.1.2.3.2,,"Respond to simple questions stated orally with appropriate actions and comments (e.g., “Did you remember to wash your hands?” and the child says “Oh, I forgot!” and goes to the sink and washes hands).",PK,2023-12-27T19:13:55+00:00
Performance Descriptor,1.1.1.2.3.3,,"Make comments and ask questions that are related to the topic of the conversation or discussion (e.g., “I have a dog, too. His name is Champ. What’s your dog’s name?”).",PK,2023-12-27T19:14:02+00:00
Performance Descriptor,1.1.1.2.3.4,,"Look at a person’s body language to determine how they are feeling (e.g., “He’s sitting there all by himself. I think he’s sad, teacher.”).",PK,2023-12-27T19:14:12+00:00
Learning Standard,1.1.2,Learning Standard 1.B,Communicate effectively using language appropriate to the situation and audience.,PK,2023-12-27T19:14:26+00:00
Benchmarks,1.1.2.1,,Preschool Benchmarks,PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.2.1.1,1.B.ECa,Use language for a variety of purposes.,PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.2.1.2,1.B.ECb,"With teacher assistance, participate in collaborative conversations with diverse partners (e.g., peers and adults in both small and large groups) about age-appropriate topics and texts.",PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.2.1.3,1.B.ECc,Continue a conversation through two or more exchanges.,PK,2023-10-25T17:31:09+00:00
Benchmark,1.1.2.1.4,1.B.ECd,"Engage in agreed-upon rules for discussions (e.g., listening, making eye contact, taking turns speaking).",PK,2023-12-27T21:43:35+00:00
Descriptors,1.1.2.2,,Example Performance Descriptors,PK,2023-10-25T17:31:09+00:00
Desc Category,1.1.2.2.1,,Exploring,PK,2023-10-25T17:31:09+00:00
