Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2024-03-28T16:34:18+00:00
Content Discipline,1.1,,Inquiry Skills,KG,2024-03-28T16:34:18+00:00
Inquiry Skill,1.1.1,,Developing Questions and Planning Inquiries,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.1.1,,Constructing Essential Questions,KG,2024-03-28T16:34:18+00:00
Standard,1.1.1.1.1,SS.K-2.IS.1,Create questions that are relevant to self as they relate to the content of the Social Science Standards.,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.1.2,,Determining Helpful Resources,KG,2024-03-28T16:34:18+00:00
Standard,1.1.1.2.1,SS.K-2.IS.2,"With guidance and support, students will use varied teacher-selected resources to learn procedures to locate evidence that assists with finding answers to their questions. Introduce the importance of informational resources that are reliable and determine fact from opinion.",KG,2024-03-28T16:34:18+00:00
Inquiry Skill,1.1.2,,Evaluating Sources and Using Evidence,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.2.1,,Gathering and Evaluating Sources,KG,2024-03-28T16:34:18+00:00
Standard,1.1.2.1.1,SS.K-2.IS.3,With guidance and support gather relevant information from multiple sources to analyze information.,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.2.2,,Developing Claims and Using Evidence,KG,2024-03-28T16:34:18+00:00
Standard,1.1.2.2.1,SS.K-2.IS.4,"With guidance and support, evaluate a source by distinguishing between fact and opinion.",KG,2024-03-28T16:34:18+00:00
Inquiry Skill,1.1.3,,Communicating Conclusions and Taking Informed Action,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.3.1,,Communicating Conclusions,KG,2024-03-28T16:34:18+00:00
Standard,1.1.3.1.1,SS.K-2.IS.5,"With guidance and support, students will share their findings on the asked and answered questions with peers.",KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.1.3.2,,Taking Informed Action,KG,2024-03-28T16:34:18+00:00
Standard,1.1.3.2.1,SS.K-2.IS.6,"With guidance and support, reflect on one’s inquiry process and findings.",KG,2024-04-10T20:25:18+00:00
Standard,1.1.3.2.2,SS.K-2.IS.7,"Using various viewpoints, students will engage in reflective conversations to draw conclusions on inquiry findings and create action steps.",KG,2024-03-28T16:34:18+00:00
Content Discipline,1.2,,Civics,KG,2024-03-29T20:37:55+00:00
Disciplinary Concept,1.2.1,,Civic and Political Institutions,KG,2024-03-28T16:34:18+00:00
Standard,1.2.1.1,SS.K.CV.1,"With guidance and support, identify the roles of individuals and leaders and their responsibility to meet the needs of different people and communities.",KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.2.2,,"Processes, Rules, and Laws",KG,2024-03-28T16:34:18+00:00
Standard,1.2.2.1,SS.K.CV.2,"With guidance and support, identify reasons for rules and explain how rules establish responsibilities and roles for various settings.",KG,2024-03-28T16:34:18+00:00
Content Discipline,1.3,,Economics and Financial Literacy,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.3.1,,Economic Decision Making,KG,2024-03-28T16:34:18+00:00
Standard,1.3.1.1,SS.K.EC.1,"Explain that choices are made because of scarcity (i.e., because individuals cannot have everything that they want).",KG,2024-03-28T16:34:18+00:00
Content Discipline,1.4,,Geography,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.4.1,,Human-Environment Interaction,KG,2024-04-03T16:05:44+00:00
Standard,1.4.1.1,SS.K.G.1,"With guidance and support, explain how weather, climate and other environmental factors affect people's lives and cultural identities in our region.",KG,2024-03-28T16:47:25+00:00
Disciplinary Concept,1.4.2,,Human Population,KG,2024-04-03T16:06:20+00:00
Standard,1.4.2.1,SS.K.G.2,"With guidance and support, explain how people and goods move from place to place.",KG,2024-03-28T16:34:18+00:00
Standard,1.4.2.2,SS.K.G.3,"With guidance and support, identify characteristics of print and digital maps, graphs, and other cultural representations of familiar places.",KG,2024-03-28T16:34:18+00:00
Content Discipline,1.5,,History,KG,2024-03-28T16:34:18+00:00
Disciplinary Concept,1.5.1,,"Change, Continuity, and Context",KG,2024-03-28T16:34:18+00:00
Standard,1.5.1.1,SS.K.H.1,"With guidance and support, compare life in the past to life today, including the points of view of diverse groups of people.",KG,2024-03-28T16:34:18+00:00
Standard,1.5.1.2,SS.K.H.2,"Identify and describe the purpose of the national holidays of the United States, the major holidays of diverse groups, and the bravery or achievements of the diverse people that make these days special holidays.",KG,2024-03-28T16:34:18+00:00
Grade Level,2,,Grade 1,01,2024-03-28T16:34:28+00:00
Content Discipline,2.1,,Inquiry Skills,01,2024-03-28T16:34:28+00:00
Inquiry Skill,2.1.1,,Developing Questions and Planning Inquiries,01,2024-03-28T16:34:28+00:00
Disciplinary Concept,2.1.1.1,,Constructing Essential Questions,01,2024-03-28T16:34:28+00:00
Standard,2.1.1.1.1,SS.K-2.IS.1,Create questions that are relevant to self as they relate to the content of the Social Science Standards.,01,2024-03-28T16:34:28+00:00
Disciplinary Concept,2.1.1.2,,Determining Helpful Resources,01,2024-03-28T16:34:28+00:00
