Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,State Goals,,2022-09-11T22:25:02+00:00
State Goal,1.1,19,Acquire movement and motor skills and understand concepts necessary to engage in moderate to vigorous physical activity.,,2022-09-09T14:22:28+00:00
Standard,1.1.1,19.A,Demonstrate physical competency in a variety of motor skills and movement patterns.,,2022-09-09T14:22:28+00:00
Grade Band,1.1.1.1,,Early Elementary,KG-02,2022-09-27T20:26:04+00:00
Element,1.1.1.1.1,19.A.1a,"Demonstrate control when performing fundamental locomotor, nonlocomotor, and manipulative skills.",KG-02,2022-09-27T20:26:04+00:00
Element,1.1.1.1.2,19.A.1b,Participate daily in moderate to vigorous physical activity while performing basic movement patterns.,KG-02,2022-09-27T20:26:04+00:00
Grade Band,1.1.1.2,,Late Elementary,03-05,2022-09-27T20:27:14+00:00
Element,1.1.1.2.1,19.A.2a,"Demonstrate control when performing combinations and sequences in locomotor, nonlocomotor, and manipulative motor patterns.",03-05,2022-09-27T20:27:14+00:00
Element,1.1.1.2.2,19.A.2b,Participate daily in moderate to vigorous physical activity while performing multiple basic movement patterns with additional combination movement patterns.,03-05,2022-09-27T20:27:14+00:00
Grade Band,1.1.1.3,,Middle/Junior High School,06-08,2022-09-27T23:46:41+00:00
Element,1.1.1.3.1,19.A.3a,"Demonstrate control when performing combinations and sequences of locomotor, nonlocomotor, and manipulative motor patterns in selected activities, games, and sports.",06-08,2022-09-27T23:46:41+00:00
Element,1.1.1.3.2,19.A.3b,Participate daily in moderate to vigorous physical activity while performing multiple movement patterns consistently with additional combination movement patterns.,06-08,2022-09-27T23:46:41+00:00
Grade Band,1.1.1.4,,Early High School,09-10,2022-09-27T23:49:44+00:00
Element,1.1.1.4.1,19.A.4a,"Perform skills efficiently in a variety of leisure activities, sports, creative movement, and workrelated activities.",09-10,2022-09-27T23:49:44+00:00
Element,1.1.1.4.2,19.A.4b,Participate daily in moderate to vigorous physical activity while performing movement patterns in a variety of activities.,09-10,2022-09-27T23:49:44+00:00
Grade Band,1.1.1.5,,Late High School,10-12,2022-09-27T23:52:06+00:00
Element,1.1.1.5.1,19.A.5a,"Demonstrate knowledge and skills in a self-selected individual sport, a team sport, creative movement, and workrelated activities.",10-12,2022-09-27T23:52:06+00:00
Element,1.1.1.5.2,19.A.5b,Participate daily in moderate to vigorous physical activity while performing movement patterns in a variety of activities.,10-12,2022-09-27T23:52:06+00:00
Standard,1.1.2,19.B,Analyze various movement concepts and applications.,,2022-09-09T14:22:28+00:00
Grade Band,1.1.2.1,,Early Elementary,KG-02,2022-09-27T20:26:04+00:00
Element,1.1.2.1.1,19.B.1a,Understand spatial awareness and relationships to objects and people.,KG-02,2022-09-27T20:26:04+00:00
Element,1.1.2.1.2,19.B.1b,Understand how to execute basic movement patterns.,KG-02,2022-09-27T20:26:04+00:00
Grade Band,1.1.2.2,,Late Elementary,03-05,2022-09-27T20:27:14+00:00
Element,1.1.2.2.1,19.B.2a,"Identify the principles of movement (e.g., absorption and application of force, equilibrium).",03-05,2022-09-27T20:27:14+00:00
Element,1.1.2.2.2,19.B.2b,Develop a basic understanding of multiple basic movement patterns with additional combination movement patterns.,03-05,2022-09-27T20:27:14+00:00
Grade Band,1.1.2.3,,Middle/Junior High School,06-08,2022-09-27T23:46:41+00:00
Element,1.1.2.3.1,19.B.3a,Compare and contrast efficient and inefficient movement patterns.,06-08,2022-09-27T23:46:41+00:00
Element,1.1.2.3.2,19.B.3b,Understand multiple movement patterns and their effects on the brain.,06-08,2022-09-27T23:46:41+00:00
Grade Band,1.1.2.4,,Early High School,09-10,2022-09-27T23:49:44+00:00
Element,1.1.2.4.1,19.B.4a,Analyze various movement patterns for efficiency and effectiveness.,09-10,2022-09-27T23:49:44+00:00
Element,1.1.2.4.2,19.B.4b,Analyze multiple movement patterns with additional combination movement patterns and their effects on the brain.,09-10,2022-09-27T23:49:44+00:00
Grade Band,1.1.2.5,,Late High School,10-12,2022-09-27T23:52:06+00:00
Element,1.1.2.5.1,19.B.5a,Apply the principles of efficient movement to evaluate personal performance.,10-12,2022-09-27T23:52:06+00:00
Element,1.1.2.5.2,19.B.5b,Develop and implement a variety of movement concepts to enhance brain function.,10-12,2022-09-27T23:52:06+00:00
Standard,1.1.3,19.C,"Demonstrate knowledge of rules, safety and strategies during physical activity.",,2022-09-09T14:22:28+00:00
Grade Band,1.1.3.1,,Early Elementary,KG-02,2022-09-27T20:26:04+00:00
Element,1.1.3.1.1,19.C.1a,Demonstrate safe movement in physical activities.,KG-02,2022-09-27T20:26:04+00:00
Grade Band,1.1.3.2,,Late Elementary,03-05,2022-09-27T20:27:14+00:00
Element,1.1.3.2.1,19.C.2a,Identify and apply rules and safety procedures in physical activities.,03-05,2022-09-27T20:27:14+00:00
Element,1.1.3.2.2,19.C.2b,"Identify offensive, defensive, and cooperative strategies in selected activities and games.",03-05,2022-09-27T20:27:14+00:00
Grade Band,1.1.3.3,,Middle/Junior High School,06-08,2022-09-27T23:46:41+00:00
Element,1.1.3.3.1,19.C.3a,Apply rules and safety procedures in physical activities.,06-08,2022-09-27T23:46:41+00:00
Element,1.1.3.3.2,19.C.3b,"Apply basic offensive, defensive, and cooperative strategies in selected activities, games, and sports.",06-08,2022-09-27T23:46:41+00:00
