Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Topic Area,,2023-09-28T21:55:28+00:00
Topic,1.1,,Consent & Healthy Relationships,KG-12,2023-12-11T21:20:11+00:00
Grade Band,1.1.1,,Grades K–2,KG-02,2023-09-28T22:03:52+00:00
Standard,1.1.1.1,CC,Core Concepts,KG-02,2023-09-28T22:03:52+00:00
Indicator,1.1.1.1.1,CHR.2.CC.1,Describe characteristics of a friend,KG-02,2023-09-29T20:01:35+00:00
Indicator,1.1.1.1.2,CHR.2.CC.2,Define bodily autonomy and personal boundaries,KG-02,2023-09-29T20:01:35+00:00
Indicator,1.1.1.1.3,CHR.2.CC.3,Define consent,KG-02,2023-09-29T20:01:35+00:00
Indicator,1.1.1.1.4,CHR.2.CC.4,"Identify different kinds of families (e.g., nuclear, single parent, blended, intergenerational, cohabitating, adoptive, foster, same-gender, interracial)",KG-02,2023-09-29T20:01:35+00:00
Standard,1.1.1.2,IC,Interpersonal Communication,KG-02,2023-09-28T22:03:52+00:00
Indicator,1.1.1.2.1,CHR.2.IC.1,Demonstrate how to communicate personal boundaries and show respect for someone else’s personal boundaries,KG-02,2023-09-29T20:01:35+00:00
Indicator,1.1.1.2.2,CHR.2.IC.2,"Explain why it is important to show respect for different kinds of families (e.g., nuclear, single parent, blended, intergenerational, cohabitating, adoptive, foster, same-gender, interracial)",KG-02,2023-09-29T20:01:35+00:00
Standard,1.1.1.3,SM,Self-Management,KG-02,2023-09-28T22:03:52+00:00
Indicator,1.1.1.3.1,CHR.2.SM.1,"Identify healthy ways for friends to express feelings, both physically and verbally",KG-02,2023-09-29T20:01:35+00:00
Grade Band,1.1.2,,Grades 3–5,03-05,2023-12-11T21:20:19+00:00
Standard,1.1.2.1,CC,Core Concepts,03-05,2023-09-28T22:03:52+00:00
Indicator,1.1.2.1.1,CHR.5.CC.1,Describe the characteristics of healthy versus unhealthy relationships among friends and with family,03-05,2023-09-29T20:01:35+00:00
Indicator,1.1.2.1.2,CHR.5.CC.2,"Explain the relationship between consent, personal boundaries, and bodily autonomy",03-05,2023-09-29T20:01:35+00:00
Standard,1.1.2.2,AI,Accessing Information,03-05,2023-09-28T22:03:52+00:00
Indicator,1.1.2.2.1,CHR.5.AI.1,"Identify trusted adults, including parents and caregivers, that students can talk to about relationships",03-05,2023-09-29T20:01:35+00:00
Standard,1.1.2.3,IC,Interpersonal Communication,03-05,2023-09-28T22:03:52+00:00
Indicator,1.1.2.3.1,CHR.5.IC.1,Communicate personal boundaries and demonstrate ways to respect other people’s personal boundaries,03-05,2023-09-29T20:01:35+00:00
Grade Band,1.1.3,,Grades 6-8,06-08,2023-12-11T21:23:29+00:00
Standard,1.1.3.1,CC,Core Concepts,06-08,2023-09-28T22:03:52+00:00
Indicator,1.1.3.1.1,CHR.8.CC.1,Compare and contrast the characteristics of healthy and unhealthy relationships,06-08,2023-12-11T22:50:40+00:00
Indicator,1.1.3.1.2,CHR.8.CC.2,"Describe how power differences, such as age, gender, socio- economic status, immigration status, race, or unequal position (e.g. student/teacher, supervisor/ employee) may impact relationships",06-08,2023-09-29T20:01:35+00:00
Indicator,1.1.3.1.3,CHR.8.CC.3,"Analyze the similarities and differences between friendships, romantic relationships and sexual relationships",06-08,2023-09-29T20:01:35+00:00
Indicator,1.1.3.1.4,CHR.8.CC.4,Define sexual consent and sexual agency,06-08,2023-09-29T20:01:35+00:00
Standard,1.1.3.2,INF,Analyzing Influences,06-08,2023-09-28T22:03:52+00:00
Indicator,1.1.3.2.1,CHR.8.INF.1,"Analyze how peers, family, media, society, culture, and a person’s intersecting identities can influence attitudes, beliefs, and expectations about relationships",06-08,2023-09-29T20:01:35+00:00
Indicator,1.1.3.2.2,CHR.8.INF.2,"Evaluate the impact of technology (e.g., use of smart phones, GPS tracking) and social media on relationships (e.g., consent, communication)",06-08,2023-09-29T20:01:35+00:00
Indicator,1.1.3.2.3,CHR.8.INF.3,"Identify factors (e.g., body image, self-esteem, alcohol and other substances) that can affect the ability to give or perceive consent to sexual activity",06-08,2023-12-11T22:50:02+00:00
Standard,1.1.3.3,IC,Interpersonal Communication,06-08,2023-09-28T22:03:52+00:00
Indicator,1.1.3.3.1,CHR.8.IC.1,Demonstrate communication skills that will support healthy relationships,06-08,2023-09-29T20:01:35+00:00
Indicator,1.1.3.3.2,CHR.8.IC.2,Demonstrate strategies to communicate personal boundaries and how to show respect for the boundaries of others,06-08,2023-09-29T20:01:35+00:00
Standard,1.1.3.4,SM,Self-Management,06-08,2023-09-28T22:03:52+00:00
Indicator,1.1.3.4.1,CHR.8.SM.1,"Describe strategies a student might use to end an unhealthy relationship, including involving a trusted adult who can help",06-08,2023-12-11T22:49:46+00:00
Indicator,1.1.3.4.2,CHR.8.SM.2,"Demonstrate strategies to use social media safely, legally, and respectfully",06-08,2023-09-29T20:01:35+00:00
Grade Band,1.1.4,,Grades 9-10,09-10,2023-12-11T23:00:01+00:00
Standard,1.1.4.1,CC,Core Concepts,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.1.1,CHR.10.CC.1,Compare and contrast characteristics of healthy and unhealthy romantic and/ or sexual relationships,09-10,2023-12-11T22:48:17+00:00
Indicator,1.1.4.1.2,CHR.10.CC.2,"Describe what constitutes sexual consent, its importance, and legal consequences of sexual behavior without consent",09-10,2023-12-11T22:36:48+00:00
Indicator,1.1.4.1.3,CHR.10.CC.3,"Explain the impact media, including sexually explicit media, can have on one’s perceptions of, and expectations for, a healthy relationship",09-10,2023-09-29T20:01:35+00:00
Standard,1.1.4.2,INF,Analyzing Influences,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.2.1,CHR.10.INF.1,"Evaluate strategies to end an unhealthy relationship, including when situations may require adult and/ or professional support",09-10,2023-09-29T20:01:35+00:00
Indicator,1.1.4.2.2,CHR.10.INF.2,Analyze the potentially positive and negative roles of technology and social media on one’s sense of self and within relationships,09-10,2023-09-29T20:01:35+00:00
Indicator,1.1.4.2.3,CHR.10.INF.3,"Analyze factors (e.g., body image, self-esteem, alcohol and other substances) that can affect the ability to give and receive sexual consent",09-10,2023-12-11T22:36:37+00:00
Standard,1.1.4.3,IC,Interpersonal Communication,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.3.1,CHR.10.IC.1,"Describe effective ways to communicate consent, personal boundaries, and desires as they relate to intimacy, pleasure, and sexual behavior",09-10,2023-12-11T22:36:28+00:00
Standard,1.1.4.4,DM,Decision-Making,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.4.1,CHR.10.DM.1,Evaluate a variety of characteristics of romantic and/or sexual relationships and determine which ones are personally most important,09-10,2023-09-29T20:01:35+00:00
Standard,1.1.4.5,GS,Goal Setting,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.5.1,CHR.10.GS.1,Develop a plan to get out of an unsafe or unhealthy relationship,09-10,2023-12-11T22:36:20+00:00
Standard,1.1.4.6,SM,Self-Management,09-10,2023-09-28T22:03:52+00:00
Indicator,1.1.4.6.1,CHR.10.SM.1,Demonstrate ways to show respect for the boundaries of others as they relate to intimacy and sexual behavior,09-10,2023-09-29T20:01:35+00:00
Grade Band,1.1.5,,Grades 11-12,11-12,2023-12-11T22:59:57+00:00
Standard,1.1.5.1,CC,Core Concepts,11-12,2023-09-28T22:03:52+00:00
Indicator,1.1.5.1.1,CHR.12.CC.1,"Describe the characteristics of unhealthy relationships that media, including sexually explicit media, may perpetuate (e.g., inequality between partners, lack of communication and consent, strict gender stereotypes)",11-12,2023-09-29T20:01:35+00:00
Standard,1.1.5.2,INF,Analyzing Influences,11-12,2023-09-28T22:03:52+00:00
Indicator,1.1.5.2.1,CHR.12.INF.1,Analyze how media portrayals of healthy and unhealthy relationships impact societal norms about romantic and/ or sexual relationships and pleasure,11-12,2023-12-11T22:34:57+00:00
Indicator,1.1.5.2.2,CHR.12.INF.2,"Analyze cultural and social factors (e.g., sexism, homophobia, transphobia, racism, ableism, classism) that can influence decisions regarding sexual behaviors",11-12,2023-09-29T20:01:35+00:00
Indicator,1.1.5.2.3,CHR.12.INF.3,"Describe the potential impacts of power and privilege within romantic or sexual relationships (e.g., age, race, ethnicity, sexual orientation, gender, gender identity, socio- economic status, immigration status, ability)",11-12,2023-12-11T22:34:44+00:00
Indicator,1.1.5.2.4,CHR.12.INF.4,Analyze the personal and societal factors that could keep someone from leaving an unhealthy relationship,11-12,2023-12-11T22:34:18+00:00
Standard,1.1.5.3,DM,Decision-Making,11-12,2023-09-28T22:03:52+00:00
Indicator,1.1.5.3.1,CHR.12.DM.1,Apply a decision- making model to maintaining a healthy relationship and/or ending an unhealthy relationship,11-12,2023-09-29T20:01:35+00:00
Standard,1.1.5.4,SM,Self-Management,11-12,2023-09-28T22:03:52+00:00
Indicator,1.1.5.4.1,CHR.12.SM.1,"Evaluate strategies to use social media safely, legally, and respectfully",11-12,2023-09-29T20:01:35+00:00
Topic,1.2,,Anatomy & Physiology,KG-12,2023-12-11T21:23:02+00:00
Grade Band,1.2.1,,Grades K-2,KG-02,2023-09-28T22:24:16+00:00
Standard,1.2.1.1,CC,Core Concepts,KG-02,2023-09-28T22:03:52+00:00
Indicator,1.2.1.1.1,AP.2.CC.1,"List medically accurate names for body parts, including the genitals",KG-02,2023-09-29T20:01:35+00:00
Grade Band,1.2.2,,Grades 3-5,03-05,2023-12-11T23:01:57+00:00
Standard,1.2.2.1,CC,Core Concepts,03-05,2023-09-28T22:03:52+00:00
Indicator,1.2.2.1.1,AP.5.CC.1,"Recall the human reproductive systems, including the external and internal body parts and their functions, and that there are natural variations in human bodies",03-05,2023-09-29T20:01:35+00:00
Grade Band,1.2.3,,Grades 6-8,06-08,2023-12-11T23:01:45+00:00
Standard,1.2.3.1,CC,Core Concepts,06-08,2023-09-28T22:03:52+00:00
Indicator,1.2.3.1.1,AP.8.CC.1,"Describe human reproductive systems, including the external and internal body parts and their functions, and that there are naturally occuring variations in human bodies (e.g., intersex, vulvas, circumcised and intact penises)",06-08,2023-09-29T20:01:35+00:00
Grade Band,1.2.4,,Grades 9-10,09-10,2023-12-11T21:19:39+00:00
Standard,1.2.4.1,CC,Core Concepts,09-10,2023-09-28T22:03:52+00:00
Indicator,1.2.4.1.1,AP.10.CC.1,"Explain the human reproductive and sexual response systems, including differentiating between internal and external body parts and their functions, and that there are naturally occurring variations in human bodies (e.g., intersex)",09-10,2023-09-29T20:01:35+00:00
Grade Band,1.2.5,,Grades 11-12,11-12,2023-12-11T21:19:43+00:00
Standard,1.2.5.1,CC,Core Concepts,11-12,2023-09-28T22:03:52+00:00
Indicator,1.2.5.1.1,AP.12.CC.1,"Describe the human sexual response cycle, including the role of hormones and pleasure",11-12,2023-09-29T20:01:35+00:00
Topic,1.3,,Puberty & Adolescent Sexual Development,03-10,2023-12-11T23:02:12+00:00
Grade Band,1.3.1,,Grades 3-5,03-05,2023-09-28T22:24:29+00:00
Standard,1.3.1.1,CC,Core Concepts,03-05,2023-09-28T22:03:52+00:00
Indicator,1.3.1.1.1,PD.5.CC.1,"Explain the physical, social, and emotional changes that occur during puberty and adolescence and how the onset and progression of puberty can vary",03-05,2023-09-29T20:01:35+00:00
Indicator,1.3.1.1.2,PD.5.CC.2,Describe how puberty prepares human bodies for the potential to reproduce and that some healthy people have conditions that impact the ability to reproduce,03-05,2023-09-29T20:01:35+00:00
Indicator,1.3.1.1.3,PD.5.CC.3,"Explain common human sexual development and the role of hormones (e.g., romantic and sexual feelings, masturbation, mood swings, timing of pubertal onset)",03-05,2023-09-29T20:01:35+00:00
Indicator,1.3.1.1.4,PD.5.CC.4,"Describe the role hormones play in the physical, social, cognitive, and emotional changes during adolescence and the potential role of hormone blockers on young people who identify as transgender",03-05,2023-09-29T20:01:35+00:00
Standard,1.3.1.2,AI,Accessing Information,03-05,2023-09-28T22:03:52+00:00
Indicator,1.3.1.2.1,PD.5.AI.1,Identify credible sources of information about puberty and personal hygiene,03-05,2023-09-29T20:01:35+00:00
Indicator,1.3.1.2.2,PD.5.AI.2,"Identify trusted adults, including parents, caregivers, and health care professionals, whom students can ask questions about puberty and adolescent health",03-05,2023-09-29T20:01:35+00:00
Standard,1.3.1.3,GS,Goal Setting,03-05,2023-09-28T22:03:52+00:00
Indicator,1.3.1.3.1,PD.5.GS.1,Make a plan for maintaining personal hygiene during puberty,03-05,2023-09-29T20:01:35+00:00
Grade Band,1.3.2,,Grades 6-8,06-08,2023-12-11T22:59:21+00:00
Standard,1.3.2.1,AI,Accessing Information,06-08,2023-09-28T22:03:52+00:00
Indicator,1.3.2.1.1,PD.8.AI.1,"Define medical accuracy and analyze medically accurate sources of information about puberty, adolescent development, and sexual health",06-08,2023-09-29T20:01:35+00:00
Grade Band,1.3.3,,Grades 9-10,09-10,2023-12-11T22:59:25+00:00
Standard,1.3.3.1,CC,Core Concepts,09-10,2023-09-28T22:03:52+00:00
Indicator,1.3.3.1.1,PD.10.CC.1,"Describe the cognitive, social, and emotional changes of adolescence and early adulthood",09-10,2023-09-29T20:01:35+00:00
Standard,1.3.3.2,INF,Analyzing Influences,09-10,2023-09-28T22:03:52+00:00
Indicator,1.3.3.2.1,PD.10.INF.1,"Analyze how peers, media, family, society, culture, and a person’s intersecting identities can influence self- concept, body image, and self- esteem",09-10,2023-09-29T20:01:35+00:00
Topic,1.4,,Gender Identity & Expression,KG-12,2023-12-11T23:02:24+00:00
