Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Goal,1,Goal 1,Develop self-awareness and self-management skills to achieve school and life success.,,2022-11-30T22:08:54+00:00
Learning Standard,1.1,1A,Identify and manage one’s emotions and behavior.,,2022-11-30T22:08:54+00:00
Elements,1.1.1,,Grade-Level Elements,,2022-11-30T22:08:54+00:00
Expectation,1.1.1.1,1A.1a,Recognize and accurately label emotions and how they are linked to behavior.,PK-02,2022-11-30T22:08:54+00:00
Expectation,1.1.1.2,1A.1b,Demonstrate control of impulsive behavior.,PK-02,2022-11-30T22:08:54+00:00
Expectation,1.1.1.3,1A.2a,Describe a range of emotions and the situations that cause them.,03-05,2022-11-30T22:08:54+00:00
Expectation,1.1.1.4,1A.2b,Describe and demonstrate ways to express emotions in a socially acceptable manner.,03-05,2022-11-30T22:08:54+00:00
Expectation,1.1.1.5,1A.3a,Analyze factors that create stress or motivate successful performance.,06-08,2022-11-30T22:08:54+00:00
Expectation,1.1.1.6,1A.3b,Apply strategies to manage stress and to motivate successful performance.,06-08,2022-11-30T22:08:54+00:00
Expectation,1.1.1.7,1A.4a,Analyze how thoughts and emotions affect decision making and responsible behavior.,09-10,2022-11-30T22:08:54+00:00
Expectation,1.1.1.8,1A.4b,Generate ways to develop more positive attitudes.,09-10,2022-11-30T22:08:54+00:00
Expectation,1.1.1.9,1A.5a,Evaluate how expressing one’s emotions in different situations affects others.,11-12,2022-11-30T22:08:54+00:00
Expectation,1.1.1.10,1A.5b,Evaluate how expressing more positive attitudes influences others.,11-12,2022-11-30T22:08:54+00:00
Label,1.1.2,,Performance Descriptors,,2022-12-01T23:12:56+00:00
Stage,1.1.2.1,,Stage A,01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.1,1A.A.1,"Identify emotions (e.g., happy, surprised, sad, angry, proud, afraid) expressed in “feeling faces” or photographs.",01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.2,1A.A.2,Name the emotions felt by characters in stories.,01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.3,1A.A.3,Identify ways to calm yourself.,01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.4,1A.A.4,Describe a time you felt the same way a story character felt.,01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.5,1A.A.5,Discuss classroom and school rules.,01-02,2022-12-01T23:12:56+00:00
Temp,1.1.2.1.6,1A.A.6,"Share feelings (e.g., through speaking, writing, drawing) in a range of contexts.",01-02,2022-12-01T23:12:56+00:00
Stage,1.1.2.2,,Stage B,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.1,1A.B.1,Describe how various situations make you feel.,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.2,1A.B.2,Describe your physical responses to strong emotions.,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.3,1A.B.3,Recognize that feelings change throughout the day.,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.4,1A.B.4,Demonstrate patience in a variety of situations.,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.5,1A.B.5,Demonstrate a range of emotions through facial expressions and body language.,01-03,2022-12-01T23:12:56+00:00
Temp,1.1.2.2.6,1A.B.6,Practice self talk to calm yourself.,01-03,2022-12-01T23:12:56+00:00
Stage,1.1.2.3,,Stage C,02-04,2022-12-01T23:12:56+00:00
