Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-05-16T20:24:00+00:00
Standard,1.1,K.1,The physically literate individual will demonstrate competency in a variety of motor skills and movement patterns.,KG,2025-05-16T20:24:00+00:00
Skill,1.1.1,,Locomotor Skills,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.1,K.1.1,"Locomotor (Hopping, galloping, running, sliding, skipping, leaping, walking, running)",KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.1.1,K.1.1.A,"Performs emerging patterns in locomotor skills (walk, run, leap, hop, gallop, slide, and skip) while maintaining balance (such as when you hear the color of your shirt leap over a pillow).",KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.1.2,K.1.1.B,Perform mature patterns in locomotor skills (walk).,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.2,K.1.2,Locomotor (Jumping and landing in a horizontal and vertical plane),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.2.1,K.1.2.A,"Performs jumping and landing actions with balance (such as when you hear the color of your shirt, jump over a line on the floor).",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.3,K.1.3,"Locomotor (Dance, Rhythm, Combinations)",KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.3.1,K.1.3.A,Performs dance (rhythmic) activities in response to teacher led creative activities.,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.4,K.1.4,Non-Locomotor,KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.4.1,K.1.4.A,"Performs emerging patterns in nonlocomotor skills (such as bend, twist, turn, sway, stretch) in exploratory and a stable environment.",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.5,K.1.5,Non-Locomotor (Balance),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.5.1,K.1.5.A,"Maintains momentary balance (such as wide, narrow, curled and twisted body shapes) on different bases of support (such as walking on the floor).",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.1.6,K.1.6,Non-Locomotor (Weight Transfer),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.1.6.1,K.1.6.A,Developmentally appropriate/emerging outcomes first appear in grade one.,KG,2025-05-16T20:24:00+00:00
Skill,1.1.2,,Manipulative Skills,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.1,K.1.7,Manipulative Skills (Throw),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.1.1,K.1.7.A,Throws underhand and overhand with opposite foot forward demonstrating an emerging pattern.,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.2,K.1.8,Manipulative Skills (Pass with Hands),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.2.1,K.1.8.A,Developmentally appropriate/emerging outcomes first appear in grade four.,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.3,K.1.9,Manipulative Skills (Catch),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.3.1,K.1.9.A,Drops a ball and catches it before it bounces twice.,KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.3.2,K.1.9.B,Catches a large ball tossed by a skilled thrower.,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.4,K.1.10,Manipulative Skills (Hand Dribble),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.4.1,K.1.10.A,"Dribbles a ball with one hand, attempting the second contact.",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.5,K.1.11,Manipulative Skills (Foot Pass/Kick),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.5.1,K.1.11.A,"Demonstrates an emerging pattern while passing or kicking from a stationary position, demonstrating two of the five critical elements of a mature kicking pattern.",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.6,K.1.12,Manipulative Skills (Foot Dribble),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.6.1,K.1.12.A,"Soft taps a ball using the inside of the foot, sending it forward.",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.7,K.1.13,Manipulative Skills (Foot Trap Receive),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.7.1,K.1.13.A,Performs emerging pattern while receiving with the preferred foot when stationary.,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.8,K.1.14,"Manipulative Skills (Strike/Volley, Hands and Arms)",KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.8.1,K.1.14.A,"Volley a lightweight object (such as a balloon), sending it upward with an open palm.",KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.9,K.1.15,Manipulative Skills (Strike with Implement),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.9.1,K.1.15.A,Strikes a lightweight object with a paddle or short-handled racket,KG,2025-05-16T20:24:00+00:00
Focus Area,1.1.2.10,K.1.16,Manipulative Skills (Jump Rope),KG,2025-05-16T20:24:00+00:00
Indicator,1.1.2.10.1,K.1.16.A,Practices single and group jump roping frequently after watching the activities modeled for them.,KG,2025-05-16T20:24:00+00:00
Standard,1.2,K.2,"The physically literate individual applies knowledge of concepts, principles, strategies and tactics related to movement and performance.",KG,2025-05-16T20:24:00+00:00
Skill,1.2.1,,Movement Concepts and Strategies,KG,2025-05-16T20:24:00+00:00
Focus Area,1.2.1.1,K.2.1,Space,KG,2025-05-16T20:24:00+00:00
