Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Middle School Exploring Agriculture,,2020-11-06T05:58:17+00:00
Domain,1.1,,Leadership,,2020-11-06T05:58:17+00:00
Core Standard,1.1.1,EA-1,<b>Core Standard 1: </b> Students are able to see the importance of developing leadership skills and how The National FFA Organization (FFA) can be a critical component of a well-rounded agricultural education.,,2020-11-06T05:58:17+00:00
Standard,1.1.1.1,EA-1.1,"Recognize and explain the role of FFA in the development of leadership, employability, communications and human relations skills",,2020-11-06T05:58:17+00:00
Standard,1.1.1.2,EA-1.2,Develop an understanding of the history of The National FFA Organization ,,2020-11-06T05:58:17+00:00
Standard,1.1.1.3,EA-1.3,Identify and understand personality types to be able to work with others effectively on a team,,2020-11-06T05:58:17+00:00
Domain,1.2,,Supervised Agriculture Experience,,2020-11-06T05:58:17+00:00
Core Standard,1.2.1,EA-2,<b>Core Standard 2:</b> Students see the importance of a Supervised Agricultural Experience (SAE) program and how it is a critical component of a well-rounded agricultural education.,,2020-11-06T05:58:17+00:00
Standard,1.2.1.1,EA-2.1,Explain the nature of and become familiar with those terms related to an SAE program,,2020-11-06T05:58:17+00:00
Standard,1.2.1.2,EA-2.2,Explore the numerous possibilities for an SAE program which a student might develop ,,2020-11-06T05:58:17+00:00
Standard,1.2.1.3,EA-2.3,Understand and apply basic record keeping skills ,,2020-11-06T05:58:17+00:00
Domain,1.3,,"Plant, Soil, and Horticulture Science ",,2020-11-06T05:58:17+00:00
Core Standard,1.3.1,EA-3,<b>Core Standard 3: </b>Students have an understanding of plant and soil science and how it relates to the agricultural industry.,,2020-11-06T05:58:17+00:00
Standard,1.3.1.1,EA-3.1,Understand basic needs of plant growth from germination to soil fertility ,,2020-11-06T05:58:17+00:00
Standard,1.3.1.2,EA-3.2,Explore and recognize the importance of plant and soil science as it relates to the agricultural industry,,2020-11-06T05:58:17+00:00
Standard,1.3.1.3,EA-3.3,Identify and describe basic plant structures and their roles within the plant ,,2020-11-06T05:58:17+00:00
Standard,1.3.1.4,EA-3.4,Identify basic soil properties,,2020-11-06T05:58:17+00:00
Standard,1.3.1.5,EA-3.5,Explore the importance of biotechnology as it relates to feeding a growing world population ,,2020-11-06T05:58:17+00:00
Domain,1.4,,Natural Resources ,,2020-11-06T05:58:17+00:00
Core Standard,1.4.1,EA-4,<b>Core Standard 4: </b>Students gain an understanding of preserving and replenishing our natural resources through natural resource management.,,2020-11-06T05:58:17+00:00
Standard,1.4.1.1,EA-4.1,Identify renewable and nonrenewable resources and how they relate to everyday life ,,2020-11-06T05:58:17+00:00
Standard,1.4.1.2,EA-4.2,Explore the interaction between local natural resources and the economy,,2020-11-06T05:58:17+00:00
Standard,1.4.1.3,EA-4.3,Understand the relationship between wildlife habitats and human population,,2020-11-06T05:58:17+00:00
Domain,1.5,,Animal Science ,,2020-11-06T05:58:17+00:00
Core Standard,1.5.1,EA-5,<b>Core Standard 5: </b>Students gain an understanding of the importance of the animal industry.,,2020-11-06T05:58:17+00:00
Standard,1.5.1.1,EA-5.1,Share and explain the care and management of various animals in the livestock and companion animal industries,,2020-11-06T05:58:17+00:00
Standard,1.5.1.2,EA-5.2,Understand the relationship between wildlife habitats and human population ,,2020-11-06T05:58:17+00:00
Standard,1.5.1.3,EA-5.3,Explain common uses of animals,,2020-11-06T05:58:17+00:00
