Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Commercial Photography,,2020-11-17T13:00:01+00:00
Domain,1.1,,Camera Operation,,2020-11-11T15:24:43+00:00
Core Standard,1.1.1,CP-1,<b>Core Standard 1:</b> Students formulate a clear understanding of the purpose and function of a camera and the camera’s working parts for use in commercial photography. ,,2020-11-11T15:25:27+00:00
Standard,1.1.1.1,CP-1.1,Describe and demonstrate basic and advanced camera operations,,2020-11-11T15:26:47+00:00
Standard,1.1.1.2,CP-1.2,Define terms related to camera settings and functions,,2020-11-11T15:27:01+00:00
Standard,1.1.1.3,CP-1.3,"Identify different types of digital cameras, the location of their basic components, and the benefits and drawbacks of each type",,2020-11-11T15:27:11+00:00
Standard,1.1.1.4,CP-1.4,"Identify, describe and use all of the parts of a 35mm SLR or Digital SLR camera in manual mode",,2020-11-11T15:27:17+00:00
Standard,1.1.1.5,CP-1.5,Identify and describe how different camera exposures relate to each other,,2020-11-11T15:27:26+00:00
Standard,1.1.1.6,CP-1.6,Demonstrate the steps to capture an image,,2020-11-11T15:27:34+00:00
Standard,1.1.1.7,CP-1.7,Apply appropriate maintenance and handling of a camera,,2020-11-11T15:27:43+00:00
Standard,1.1.1.8,CP-1.8,Recognize the effects of different lenses in a variety of different photographic situations,,2020-11-11T15:27:50+00:00
Domain,1.2,,Photographic Principles,,2020-11-11T15:28:49+00:00
Core Standard,1.2.1,CP-2,<b>Core Standard 2:</b> Students apply and adapt traditional photographic principles to design quality photos.,,2020-11-11T15:29:25+00:00
Standard,1.2.1.1,CP-2.1,Identify and define elements and principles of design related to photography,,2020-11-11T15:30:36+00:00
Standard,1.2.1.2,CP-2.2,Identify and define basic compositional variations utilized throughout the world of photography,,2020-11-11T15:30:43+00:00
Standard,1.2.1.3,CP-2.3,Demonstrate lighting and studio lighting principals and techniques,,2020-11-11T15:30:51+00:00
Standard,1.2.1.4,CP-2.4,"Students analyze, assess, and derive meaning from commercial art, including their own, according to the elements of art, the principles of design, and aesthetic qualities",,2020-11-11T15:30:58+00:00
Standard,1.2.1.5,CP-2.5,Apply visual and verbal communication skills,,2020-11-11T15:31:05+00:00
Standard,1.2.1.6,CP-2.6,Recognize how photography relates to the world around us,,2020-11-11T15:31:11+00:00
Standard,1.2.1.7,CP-2.7,Examine the basic concept of good composition found in any photograph,,2020-11-11T15:31:19+00:00
Standard,1.2.1.8,CP-2.8,Identify the impact the background behind a subject has on the image quality,,2020-11-11T15:31:27+00:00
Standard,1.2.1.9,CP-2.9,Demonstrate knowledge of ISO selection and proper exposure settings for a variety of situations,,2020-11-11T15:31:34+00:00
Standard,1.2.1.10,CP-2.10,Demonstrate an understanding of artificial and natural lighting techniques as they apply to different situations and effects,,2020-11-11T15:31:43+00:00
Domain,1.3,,Photographic Post-Production,,2020-11-12T04:52:45+00:00
Core Standard,1.3.1,CP-3,<b>Core Standard 3:</b> Students produce edited and formatted photographs/files for use in different types of media.,,2020-11-12T04:53:39+00:00
Standard,1.3.1.1,CP-3.1,"Identify, describe, and use all relevant darkroom equipment, chemicals, and supplies",,2020-11-12T04:54:24+00:00
Standard,1.3.1.2,CP-3.2,Utilize tools available in photographic editing software to manipulate images,,2020-11-12T04:54:57+00:00
Standard,1.3.1.3,CP-3.3,Demonstrate an understanding of the software that manages images in the computer,,2020-11-12T04:55:01+00:00
Standard,1.3.1.4,CP-3.4,Create original photographs of increasing complexity and skill in a variety of media as needed in a commercial setting,,2020-11-12T04:55:14+00:00
Standard,1.3.1.5,CP-3.5,Evaluate a photograph for the effective use of the elements and principles of art,,2020-11-12T04:55:26+00:00
Standard,1.3.1.6,CP-3.6,Use the elements and principles of composition to organize images to communicate ideas,,2020-11-12T04:55:40+00:00
Domain,1.4,,Photography File Management,,2020-11-12T05:01:42+00:00
Core Standard,1.4.1,CP-4,<b>Core Standard 4:</b> Students manage the distribution and storage of photographs/files for efficiency of work flow and the development of a portfolio.,,2020-11-12T05:02:14+00:00
Standard,1.4.1.1,CP-4.1,"Identify digital file formats as they relate to size, quality, and transfer capabilities",,2020-11-12T05:02:39+00:00
Standard,1.4.1.2,CP-4.2,Create a system involving photographic files for efficient storage and recall,,2020-11-12T05:03:04+00:00
Standard,1.4.1.3,CP-4.3,Demonstrate how to use photo editing software to set size and resolution for images based on the intended use of the image,,2020-11-12T05:03:07+00:00
Standard,1.4.1.4,CP-4.4,"Demonstrate an understanding of digital file formats as they pertain to image capture, manipulating, storing, and printing of digital images",,2020-11-12T05:03:21+00:00
Standard,1.4.1.5,CP-4.5,Demonstrate an understanding of how pixels are used in digital photography,,2020-11-12T05:03:59+00:00
Standard,1.4.1.6,CP-4.6,Use and identify memory devices and file types associated with digital cameras,,2020-11-12T05:04:16+00:00
Standard,1.4.1.7,CP-4.7,Students will demonstrate knowledge in creating a physical and/or electronic portfolio,,2020-11-12T05:04:30+00:00
Domain,1.5,,Careers in Photography,,2020-11-12T05:05:27+00:00
Core Standard,1.5.1,CP-5,<b>Core Standard 5:</b> Students analyze opportunities in commercial and digital photography for potential careers.,,2020-11-12T05:06:12+00:00
Standard,1.5.1.1,CP-5.1,Indentify work ethics and behaviors that are important for educational and occupational photography success,,2020-11-12T05:06:27+00:00
Standard,1.5.1.2,CP-5.2,"Students identify skills used in vocational, cultural, and recreational opportunities in photograph",,2020-11-12T05:07:02+00:00
Standard,1.5.1.3,CP-5.3,Describe connections between photography and other disciplines to see how they work together,,2020-11-12T05:07:13+00:00
Standard,1.5.1.4,CP-5.4,Develop career awareness related to working in the photography industry,,2020-11-12T05:07:27+00:00
Standard,1.5.1.5,CP-5.5,Explore opportunities for advanced training,,2020-11-12T05:07:39+00:00
Standard,1.5.1.6,CP-5.6,Explore entrepreneurship opportunities,,2020-11-12T05:07:53+00:00
Course,2,,Computer Illustration and Graphics,,2020-11-11T15:22:33+00:00
Domain,2.1,,Visual Art,,2020-11-12T05:25:07+00:00
Core Standard,2.1.1,CIG-1,"<b>Core Standard 1:</b> Students integrate visual arts techniques, as well as, elements and principles of design to develop graphic art.",,2020-11-12T05:25:40+00:00
