Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Elementary Subjects,,2020-12-03T10:42:48+00:00
Grade Level,2,,Middle Subjects,,2020-12-03T10:42:48+00:00
Course,2.1,,Computer Science - Middle Level,,2020-12-03T10:42:48+00:00
Domain,2.1.1,,Data and Information,,2020-12-03T10:42:48+00:00
Standard,2.1.1.1,6-8.DI.1,"Use the basic steps in algorithmic problem-solving to design solutions (e.g., problem statement and exploration, examination of sample instances, design, implementing a solution, testing, and evaluation).",,2020-12-03T10:42:48+00:00
Standard,2.1.1.2,6-8.DI.2,Describe the process of parallelization as it relates to problem solving.,,2020-12-03T10:42:48+00:00
Standard,2.1.1.3,6-8.DI.3,"Represent data in a variety of ways (e.g., text, sounds, pictures, and numbers), and use different visual representations of problems, structures, and data (e.g., graphs, charts, network diagrams, flowcharts).",,2020-12-03T10:42:48+00:00
Standard,2.1.1.4,6-8.DI.4,"Understand the notion of hierarchy and abstraction in computing including high-level languages, translation, instruction set, and logic circuits.",,2020-12-03T10:42:48+00:00
Standard,2.1.1.5,6-8.DI.5,Demonstrate interdisciplinary applications of computational thinking and interact with content-specific models and simulations to support learning and research.,,2020-12-03T10:42:48+00:00
Standard,2.1.1.6,CSML-1.1,"Collect data using computational tools, identify data trends and patterns, and create visual representations of the data to communicate findings.",,2020-12-03T10:42:48+00:00
Standard,2.1.1.7,CSML-1.2,Analyze data representations to determine the intended purpose,,2020-12-03T10:42:48+00:00
Domain,2.1.2,,Computing Devices and Systems,,2020-12-03T10:42:48+00:00
Standard,2.1.2.1,6-8.CD.1,Demonstrate an understanding of the relationship between hardware and software.,,2020-12-03T10:42:48+00:00
Standard,2.1.2.2,6-8.CD.2,Apply troubleshooting strategies to identify and solve routine hardware and software problems that occur during everyday computer use.,,2020-12-03T10:42:48+00:00
Standard,2.1.2.3,6-8.CD.3,Describe the major components and functions of computer systems and network.,,2020-12-03T10:42:48+00:00
Standard,2.1.2.4,6-8.CD.4,"Describe what distinguishes humans from machines focusing on human intelligence versus machine intelligence and ways we can communicate, as well as ways in which computers use models of intelligent behavior (e.g., robot motion, speech and language understanding, and computer vision).",,2020-12-03T10:42:48+00:00
Standard,2.1.2.5,CSML-2.1,Understand how digital information is stored locally and remotely.,,2020-12-03T10:42:48+00:00
Standard,2.1.2.6,CSML-2.2,Identify how to manipulate a device’s system settings.,,2020-12-03T10:42:48+00:00
Domain,2.1.3,,Programs and Algorithms,,2020-12-03T10:42:48+00:00
Standard,2.1.3.1,6-8.PA.1,"Select appropriate tools and technology resources to support learning and personal productivity, publish individual products, and design, develop, and publish data, accomplish a variety of tasks, and solve problems.",,2020-12-03T10:42:48+00:00
Standard,2.1.3.2,6-8.PA.2,"Implement problem solutions using a programming language that includes looping behavior, conditional statements, logic, expressions, variables, and functions.",,2020-12-03T10:42:48+00:00
Standard,2.1.3.3,6-8.PA.3,"Demonstrate dispositions amenable to open-ended problem solving and programming (e.g., comfort with complexity, persistence, brainstorming, adaptability, patience, propensity to tinker, creativity, accepting challenge).",,2020-12-03T10:42:48+00:00
Domain,2.1.4,,Networking and Communication,,2020-12-03T10:42:48+00:00
Standard,2.1.4.1,6-8.NC.1,"Collaboratively design, develop, publish, and present products (e.g., videos, podcasts, websites) using technology resources that demonstrate and communicate curriculum concepts.",,2020-12-03T10:42:48+00:00
Standard,2.1.4.2,6-8.NC.2,"Exhibit dispositions necessary for collaboration: providing useful feedback, integrating feedback, understanding and accepting multiple perspectives, socialization.",,2020-12-03T10:42:48+00:00
Standard,2.1.4.3,CSML-4.1 ,"Use the internet as a tool for research, publication, and communication.",,2020-12-03T10:42:48+00:00
Standard,2.1.4.4,CSML-4.2,Describe how digital information is sent and received across the internet.,,2020-12-03T10:42:48+00:00
Domain,2.1.5,,Impact and Culture,,2020-12-03T10:42:48+00:00
Standard,2.1.5.1,6-8.IC.1,Exhibit legal and ethical behaviors when using technology and information and discuss the consequences of misuse.,,2020-12-03T10:42:48+00:00
Standard,2.1.5.2,6-8.IC.2,"Analyze the positive and negative impacts of technology on one's personal life, society, and our culture.",,2020-12-03T10:42:48+00:00
