Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Leadership Development in Action,,2020-11-27T12:15:25+00:00
Domain,1.1,,<b>Leadership: Individual Skills </b>,,2020-11-27T12:17:19+00:00
Core Standard,1.1.1,LD-1,"<b>Core Standard 1:</b> Students will explore individuals skills related to preparing for leadership roles within their schools, communities, and future careers.",,2020-12-01T05:49:01+00:00
Standard,1.1.1.1,LD-1.1,"Analyze and apply decision-making skills through classroom, personal, community, and business and industry (work related) experiences",,2020-11-27T12:16:43+00:00
Standard,1.1.1.2,LD-1.2,"Analyze the characteristics of successful community, business, and industry leaders",,2020-11-27T12:18:51+00:00
Standard,1.1.1.3,LD-1.3,"Demonstrate oral, interpersonal, written, and electronic communication and presentation skills and understand how to apply those skills",,2020-11-27T12:19:00+00:00
Standard,1.1.1.4,LD-1.4,"Apply problem-solving, and critical and creative thinking skills to analyze and predict outcomes of related decisions",,2020-11-27T12:19:11+00:00
Standard,1.1.1.5,LD-1.5,"Practice self-advocacy skills to achieve planned, individual goals",,2020-11-27T12:19:18+00:00
Standard,1.1.1.6,LD-1.6,"Conduct self in a professional manner in practical career applications, organizational forums, and decision-making bodies",,2020-11-27T12:19:35+00:00
Domain,1.2,,<b>Leadership: Teamwork Skills</b>,,2020-11-27T12:17:26+00:00
Core Standard,1.2.1,LD-2,"<b>Core Standard 2:</b> Students will apply teamwork skills related to preparing for leadership roles within their schools, communities, and future careers.",,2020-12-01T05:49:29+00:00
Standard,1.2.1.1,LD-2.1,"Communicate, participate, and advocate effectively in pairs, small groups, teams, and large groups in order to reach common goals",,2020-12-01T05:49:55+00:00
Standard,1.2.1.2,LD-2.2,Demonstrate techniques for conflict resolution and challenge management,,2020-12-01T05:50:22+00:00
Standard,1.2.1.3,LD-2.3,Analyze the complex responsibilities of leader and follower roles and demonstrate the ability to both lead and follow,,2020-12-01T05:50:29+00:00
Standard,1.2.1.4,LD-2.4,"Demonstrate understanding and acceptance of personal, social and work related responsibilities",,2020-12-01T05:50:37+00:00
Standard,1.2.1.5,LD-2.5,Demonstrate a working knowledge of parliamentary procedure,,2020-12-01T06:00:46+00:00
Standard,1.2.1.6,LD-2.6,"Use knowledge, build interest, guide and influence decisions; organize efforts: and involve members of a group to assure that a pre-planned group activity is completed",,2020-12-01T08:22:44+00:00
Standard,1.2.1.7,LD-2.7,"Train others to follow established rules and expectations, rationale, and understand consequences",,2020-12-01T08:22:56+00:00
Standard,1.2.1.8,LD-2.8,Incorporate and utilize the principles of group dynamics in a variety of settings,,2020-12-01T08:23:06+00:00
Domain,1.3,,<b>Leadership: Community and Career Skills</b>,,2020-12-01T08:25:48+00:00
Core Standard,1.3.1,LD-3,<b>Core Standard 3:</b> Students will utilize community and career leadership skills in an organizational setting.,,2020-12-01T08:23:51+00:00
Standard,1.3.1.1,LD-3.1,Analyze the roles and responsibilities of citizenship,,2020-12-01T08:24:21+00:00
Standard,1.3.1.2,LD-3.2,"Demonstrate social responsibility in personal, family, community, and business and industry settings",,2020-12-01T08:24:47+00:00
Standard,1.3.1.3,LD-3.3,Participate in and evaluate community service and service learning activities ,,2020-12-01T08:25:03+00:00
Standard,1.3.1.4,LD-3.4,Exhibit the organizational skills necessary to be a successful leader and citizen,,2020-12-01T08:25:10+00:00
Standard,1.3.1.5,LD-3.5,"Understand and utilize organizational systems to advocate for issues on local, state, and international levels",,2020-12-01T08:25:17+00:00
Standard,1.3.1.6,LD-3.6,Describe the importance of and utilize the components and structure of community based organizations,,2020-12-01T08:25:23+00:00
Standard,1.3.1.7,LD-3.7,Participate in the development of a program of work or strategic plan to implement the organization’s goals,,2020-12-01T08:25:30+00:00
