Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Middle School Engineering and Technology,,2020-11-27T13:00:51+00:00
Domain,1.1,,General Engineering and Technology Concepts,,2020-11-27T13:03:50+00:00
Core Standard,1.1.1,ETE – 1,"<b><i>Core Standard 1: Students will examine how engineering and technology helps improve, manage, and control natural and engineered environments.</i></b>",,2020-12-07T05:38:17+00:00
Standard,1.1.1.1,ETE – 1.1,Illustrate the purpose of engineering and technology in society. ,,2020-12-01T10:24:19+00:00
Standard,1.1.1.2,ETE – 1.2,"Identify how engineering and technology impacts individuals, society, and the environment.",,2020-12-01T10:24:24+00:00
Standard,1.1.1.3,ETE – 1.3,Apply the universal systems model when studying areas of engineering and technology.,,2020-12-01T10:24:26+00:00
Standard,1.1.1.4,ETE – 1.4,Demonstrate safe practices and procedures with tools and equipment. ,,2020-12-01T10:24:29+00:00
Core Standard,1.1.2,ETE – 2,"<b><i>Core Standard 2: Students will integrate engineering and technology into academic fields, including the STEM disciplines.</i></b>",,2020-12-07T05:39:18+00:00
Standard,1.1.2.1,ETE – 2.1,Analyze the interdisciplinary nature of engineering and technology.,,2020-12-01T10:24:35+00:00
Standard,1.1.2.2,ETE – 2.2,"Apply knowledge and skills learned in science, mathematics, language arts, fine arts, and social studies classes when completing engineering and technology-based assignments.",,2020-12-01T10:24:38+00:00
Core Standard,1.1.3,ETE – 3,"<b><i>Core Standard 3: Students will investigate the evolution of engineering and technology of products, structures, and systems.</i></b>",,2020-12-07T05:49:04+00:00
Standard,1.1.3.1,ETE – 3.1,Analyze how the eras in history are based on technological innovations and practices of the period.,,2020-12-01T10:24:45+00:00
Standard,1.1.3.2,ETE – 3.2,"Investigate inventions and innovations of products, processes, materials, and tools.",,2020-12-01T10:24:49+00:00
Standard,1.1.3.3,ETE – 3.3,Compare technology inventions and innovations and the positive/negative impacts on society and the environment. ,,2020-12-01T10:24:56+00:00
Domain,1.2,,Engineering Design and Development,,2020-11-27T13:05:51+00:00
Core Standard,1.2.1,ETE-4,"<b><i>Core Standard 4: Students will apply engineering principles when planning, developing, implementing, and analyzing technological solutions.</i></b>",,2020-12-07T05:49:40+00:00
Standard,1.2.1.1,ETE-4.1,Apply the steps of the design process. ,,2020-12-01T10:06:01+00:00
Standard,1.2.1.2,ETE-4.2,Use the design process to create a product that addresses a real world problem.,,2020-12-01T10:06:04+00:00
Standard,1.2.1.3,ETE-4.3,Create a technical sketch of a design with appropriate annotation.,,2020-12-01T10:06:07+00:00
Standard,1.2.1.4,ETE-4.4,"Develop a product using the design process, while maintaining appropriate documentation. ",,2020-12-01T10:06:10+00:00
Standard,1.2.1.5,ETE-4.5,"Develop various types of models (graphical, physical, or mathematical) that help communicate solutions to peers.",,2020-12-01T10:06:13+00:00
Core Standard,1.2.2,ETE-5,<b><i>Core Standard 5: Students will apply the principles of automation and robotics.</i></b>,,2020-12-07T05:49:55+00:00
Standard,1.2.2.1,ETE-5.1,"Differentiate between the functions of motors, gears, sensors, wheels and control systems.",,2020-12-01T10:09:11+00:00
Standard,1.2.2.2,ETE-5.2,Interpret a technical document to build a working prototype of an automated system.,,2020-12-01T10:09:21+00:00
Standard,1.2.2.3,ETE-5.3,Design a working prototype or mechanical system to solve a pre-designated task. ,,2020-12-01T10:09:30+00:00
Standard,1.2.2.4,ETE-5.4,Utilize the principles of computer science and information technologies by developing applications and codes applying to automation and robotics. ,,2020-12-01T10:09:40+00:00
Domain,1.3,,Producing and Using Technology,,2020-12-01T10:10:01+00:00
Core Standard,1.3.1,ETE – 6,"<b><i>Core Standard 6: Students will select, use, create, and evaluate transportation technologies.</i></b>",,2020-12-07T05:50:17+00:00
Standard,1.3.1.1,ETE – 6.1,"Compare and contrast the different types and uses of land, sea, air, space, and intermodal transportation. ",,2020-12-01T10:20:44+00:00
Standard,1.3.1.2,ETE – 6.2,"Differentiate between the technical sub-systems common of all vehicles, including propulsion, structural, suspension, control, information, and support systems. ",,2020-12-01T10:20:46+00:00
Standard,1.3.1.3,ETE – 6.3,"Design, develop, and evaluate transportation systems.",,2020-12-01T10:20:50+00:00
Core Standard,1.3.2,ETE – 7,"<b><i>Core Standard 7: Students will select, use, create, and evaluate construction technologies.</i></b>",,2020-12-07T05:51:01+00:00
Standard,1.3.2.1,ETE – 7.1,"Investigate various types of construction systems including residential, industrial, commercial, and civil. ",,2020-12-01T10:20:59+00:00
Standard,1.3.2.2,ETE – 7.2,"Utilize appropriate designs, techniques, tools, and processes for construction systems.",,2020-12-01T10:21:02+00:00
Standard,1.3.2.3,ETE – 7.3,"Construct simulations, models, and/or structures for specific construction systems.",,2020-12-01T10:21:05+00:00
Core Standard,1.3.3,ETE – 8,"<b><i>Core Standard 8: Students select, use, create, and evaluate manufacturing technologies.</i></b>",,2020-12-07T05:51:07+00:00
Standard,1.3.3.1,ETE – 8.1,"Investigate various types of manufacturing systems including continuous, batch, and custom. ",,2020-12-01T10:21:13+00:00
Standard,1.3.3.2,ETE – 8.2,"Utilize appropriate designs, techniques, tools, materials, and processes for manufacturing systems.",,2020-12-01T10:21:16+00:00
Standard,1.3.3.3,ETE – 8.3,"Produce simulations, models, and/or prototypes for specific manufacturing systems.",,2020-12-01T10:21:18+00:00
Standard,1.3.3.4,ETE – 8.4,Describe and create a logistical path a product takes from its point of origin to its destination. ,,2020-12-01T10:21:21+00:00
