Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Work Based Learning CF,,2020-11-27T12:23:31+00:00
Core Standard,1.1,WBL-1,"<b>Domain 1</b><br><b>Core Standard 1:</b> Students will be able to assess personal skills, abilities, aptitudes, strengths, and weaknesses as they relate to career exploration and development.",,2020-12-01T08:35:13+00:00
Standard,1.1.1,WBL-1.1,Research multiple career pathways related to the field of interest,,2020-11-27T12:24:50+00:00
Standard,1.1.2,WBL-1.2,"Analyze personal characteristics, abilities, knowledge and skills needed for career success in chosen career pathway",,2020-11-27T12:25:16+00:00
Standard,1.1.3,WBL-1.3,"Evaluate personal characteristics, abilities, knowledge and skills needed for career success in chosen career pathway",,2020-11-27T12:25:23+00:00
Standard,1.1.4,WBL-1.4,Re-evaluate career pathway plan to determine appropriate postsecondary educational options ,,2020-11-27T12:38:24+00:00
Core Standard,1.2,WBL-2,<b>Domain 2</b><br><b>Core Standard 2:</b> Students will be able to understand and apply the personal qualities that affect success,,2020-12-01T08:36:10+00:00
Standard,1.2.1,WBL-2.1,Choose ethical courses of action,,2020-12-01T08:36:51+00:00
Standard,1.2.2,WBL-2.2,Evaluate feedback to improve job performance,,2020-12-01T08:37:18+00:00
Standard,1.2.3,WBL-2.3,Demonstrate a positive customer/client attitude ,,2020-12-01T08:37:26+00:00
Standard,1.2.4,WBL-2.4,Utilize appropriate etiquette for various occasions ,,2020-12-01T08:37:33+00:00
Standard,1.2.5,WBL-2.6,Analyze discrimination laws and give examples of discrimination,,2020-12-01T08:37:40+00:00
Standard,1.2.6,WBL-2.8,Utilize effective communication and interpersonal skills,,2020-12-01T08:37:54+00:00
Standard,1.2.7,WBL-2.7,Maintain confidentiality and integrity,,2020-12-01T08:37:47+00:00
Standard,1.2.8,WBL-2.9,"Demonstrate information, communications, and technology literacy",,2020-12-01T08:38:02+00:00
Core Standard,1.3,WBL-3,<b>Domain 3</b><br><b>Core Standard 3:</b> Students will be able to understand workplace safety and workplace practices,,2020-12-01T08:36:18+00:00
Standard,1.3.1,WBL-3.1,Identify causes of accidents and apply safety procedures to prevent accidents,,2020-12-01T08:39:05+00:00
Standard,1.3.2,WBL-3.2,Develop characteristics of professionalism,,2020-12-01T08:39:29+00:00
Standard,1.3.3,WBL-3.3,Collaborate effectively with team members (classroom or the workplace),,2020-12-01T08:39:38+00:00
Standard,1.3.4,WBL-3.4,Demonstrate an eagerness to learn new responsibilities or improve current responsibilities,,2020-12-01T08:39:52+00:00
Standard,1.3.5,WBL-3.5,Exhibit initiative in learning new skills and improving workplace skills,,2020-12-01T08:39:59+00:00
Standard,1.3.6,WBL-3.6,Summarize emergency preparedness plans for chosen career pathway ,,2020-12-01T08:40:07+00:00
Standard,1.3.7,WBL-3.7,"Examine workplace regulations, health and safety guidelines and inspections for chosen career pathway",,2020-12-01T08:40:14+00:00
Standard,1.3.8,WBL-3.8,Analyze licensure requirements for facilities and employees in chosen career pathway,,2020-12-01T08:40:28+00:00
Core Standard,1.4,WBL-4,<b>Domain 4</b><br><b>Core Standard 4:</b> Students will be able to develop strategies for an effective transition from school to career,,2020-12-01T08:36:21+00:00
Standard,1.4.1,WBL-4.1,"Prepare a formal search, application and interview using the latest trends.",,2020-12-01T08:41:07+00:00
Standard,1.4.2,WBL-4.2,Demonstrate personal accountability and work productivity,,2020-12-01T08:41:22+00:00
Standard,1.4.3,WBL-4.3,Develop skills to give and receive constructive criticism,,2020-12-01T08:41:28+00:00
Standard,1.4.4,WBL-4.4,Exhibit leadership and responsibility in the professional setting,,2020-12-01T08:41:35+00:00
Standard,1.4.5,WBL-4.5,Demonstrate critical thinking and problem solving in the professional setting,,2020-12-01T08:41:42+00:00
Standard,1.4.6,WBL-4.6,Evaluate feedback to improve job performance and create professional work habits,,2020-12-01T08:41:50+00:00
Standard,1.4.7,WBL-4.7,Create a five year career goal plan,,2020-12-01T08:41:58+00:00
Core Standard,1.5,WBL-5,<b>Domain 5</b><br><b>Core Standard 5:</b> Students will evaluate their own career portfolio and pathway plan,,2020-12-01T08:36:25+00:00
Standard,1.5.1,WBL-5.1,"Prepare and update a career portfolio based on a career pathway plan, which will includes a resume, sample cover letters, letters of recommendation, examples of work and technical skills, internship or work experience summaries, validation of work/internship experience, industry certifications, documentation of extracurricular and community service activities, and awards ",,2020-12-01T08:47:38+00:00
Standard,1.5.2,WBL-5.2,"Complete the training agreement document with signatures from the employer, internship coordinator, parents, and student",,2020-12-01T08:47:48+00:00
Standard,1.5.3,WBL-5.3,"Create a training plan (based on content standards) in collaboration with the employer, teacher, and parents that include work-based learning goals and content related standards",,2020-12-01T08:47:59+00:00
Standard,1.5.4,WBL-5.4,Create an evidence based presentation portfolio,,2020-12-01T08:48:12+00:00
