Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Kindergarten - Grade 2,KG-02,2025-05-16T20:39:27+00:00
Standard,1.1,,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.1,,Healthy Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.1.1,K-2.1.1,Identify that healthy behaviors affect personal health.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.2,,Dimensions of Health,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.2.1,K-2.1.2,"Recognize that there are multiple dimensions of health (mental/emotional, intellectual, physical, environmental, and social health).",KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.3,,Personal Health,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.3.1,K-2.1.3,Describe ways to prevent communicable diseases.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.4,,Preventing Injury,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.4.1,K-2.1.4,List ways to prevent common childhood injuries.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.5,,Accessing Health Care,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.5.1,K-2.1.5,Describe why it is important to have regular medical checkups.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.6,,Family History & Personal Health,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.6.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.7,,Practicing Healthy Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.7.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.1.8,,Unhealthy Behavior Outcomes,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.1.8.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Standard,1.2,,"Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.",KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.1,,Family Influence on Health,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.1.1,K-2.2.1,Identify how family and culture influence personal health practices and behaviors.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.2,,School and Community Impact,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.2.1,K-2.2.2,Identify what the school can do to support personal health practices and behaviors.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.3,,Media Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.3.1,K-2.2.3,"Describe how peers, technology, and media can influence health practices and behaviors.",KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.4,,Peer Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.4.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.5,,Cultural Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.5.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.6,,Technology Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.6.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.7,,Norms Perception Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.7.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.8,,Personal Values Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.8.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.9,,Health Risk Behaviors,KG-02,2025-05-16T20:39:27+00:00
Indicator,1.2.9.1,,No standards defined.,KG-02,2025-05-16T20:39:27+00:00
Focus Area,1.2.10,,School/Public Health Policy Influence on Health Behaviors,KG-02,2025-05-16T20:39:27+00:00
