Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Grades PK – 5,,2020-10-22T09:38:17+00:00
Standard,1.1,1,"<b>Standard 1: </b>The physically literate individual will demonstrate competency in a variety of motor skills and movement patterns.<br><br><i><b>Rationale: </b>Students in early elementary will observe, learn, practice, and develop basic (fundamental) locomotor (traveling actions), non-locomotor (movement in place), and manipulative (object handling) movements. This foundation continues to be established and reinforced to facilitate motor skill acquisition which give students the capacity for successful levels of performance as they mature. By the end of 5th grade, students continue to achieve maturity with locomotor (traveling actions), non-locomotor (movement in place) and manipulative (object handling) skills. They begin the process of integrating (putting together) these skills into a variety of individual and small sided team sports and activities that have been adapted to their developmental level.</i>",,2020-10-22T09:38:17+00:00
Cluster,1.1.1,,<b><i>Locomotor Skills</i></b>,,2020-10-22T09:38:17+00:00
Benchmark,1.1.1.1,1.1,"<b><i>Locomotor (Hopping, galloping, running, sliding, skipping, leaping, walking, running)</i></b>",,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.1,K.1.1,(Pre-)Kindergarten,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.1.1,K.1.1.A,"Performs <b>emerging patterns </b>in <b>locomotor skills </b>(walk, run, leap, hop, gallop, slide, and skip) while maintaining balance (such as when you hear the color of your shirt leap over a pillow).",,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.1.2,K.1.1.B,Perform <b>mature patterns </b>in <b>locomotor skills</b> (walk).,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.2,1.1.1,Grade 1,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.2.1,1.1.1.A,"Performs <b>mature patterns </b>in <b>locomotor skills </b>(jog, run, jump, hop, gallop, and slide). ",,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.3,2.1.1,Grade 2,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.3.1,2.1.1.A,Performs <b>mature patterns</b> in <b>locomotor skills</b> (skip).,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.4,3.1.1,Grade 3,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.4.1,3.1.1.A,Performs <b>mature patterns</b> in <b>locomotor skills</b> in isolation (leap). ,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.4.2,3.1.1.B,Applies <b>mature pattern</b> in <b>locomotor skills</b> in a variety of activities.,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.5,4.1.1,Grade 4,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.5.1,4.1.1.A,Applies <b>mature patterns</b> in <b>locomotor skills</b> in a variety of lead-up activities and <b>small-sided game</b> play. ,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.5.2,4.1.1.B,Performs appropriate pacing in a variety of running distances.,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.1.6,5.1.1,Grade 5,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.6.1,5.1.1.A,"Applies <b>mature patterns</b> in <b>locomotor skills</b> in a variety of activities, <b>modified games</b>, and <b>small-sided game</b> play.",,2020-10-22T09:38:17+00:00
Outcome,1.1.1.1.6.2,5.1.1.B,Applies appropriate pacing in a variety of running distances.,,2020-10-22T09:38:17+00:00
Benchmark,1.1.1.2,1.2,<b><i>Locomotor (Jumping and landing in a horizontal and vertical plane)</i></b>,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.2.1,K.1.2,(Pre-)Kindergarten,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.2.1.1,K.1.2.A,"Performs jumping and landing actions with balance (such as when you hear the color of your shirt, jump over a line on the floor).",,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.2.2,1.1.2,Grade 1,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.2.2.1,1.1.2.A,Demonstrates two of the <b>five critical elements for jumping and landing in a horizontal and vertical plane</b> using 2-foot take-offs and landings.,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.2.3,2.1.2,Grade 2,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.2.3.1,2.1.2.A,Demonstrates four of the <b>five critical elements for jumping and landing in a horizontal and vertical planes</b> using a variety of 1- and 2-foot take-offs and landings.,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.2.4,3.1.2,Grade 3,,2020-10-22T09:38:17+00:00
Outcome,1.1.1.2.4.1,3.1.2.A,Jumps and lands in the <b>horizontal and vertical planes</b> using an <b>emerging pattern</b>.,,2020-10-22T09:38:17+00:00
Grade Level,1.1.1.2.5,4.1.2,Grade 4,,2020-10-22T09:38:17+00:00
