Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subject,1,,Science,,2021-05-06T20:06:54+00:00
Grade Level,1.1,,Kindergarten,,2021-05-06T20:06:54+00:00
Domain,1.1.1,SEPS,Science and Engineering Process Standards,,2021-05-07T15:49:40+00:00
Process Standard,1.1.1.1,SEPS.1,Posing questions (for science) and defining problems (for engineering),,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.2,SEPS.2,Developing and using models and tools,,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.3,SEPS.3,Constructing and performing investigations,,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.4,SEPS.4,Analyzing and interpreting data,,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.5,SEPS.5,Using mathematics and computational thinking,,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.6,SEPS.6,Constructing explanations (for science) and designing solutions (for engineering),,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.7,SEPS.7,Engaging in argument from evidence,,2021-05-06T20:06:54+00:00
Process Standard,1.1.1.8,SEPS.8,"Obtaining, evaluating, and communicating information",,2021-05-06T20:06:54+00:00
Domain,1.1.2,PS,Physical Science,,2021-05-07T15:49:56+00:00
Standard,1.1.2.1,K.PS.1,Plan and conduct an investigation using all senses to describe and classify different kinds of objects by their composition and physical properties. Explain these choices to others and generate questions about the objects.,,2021-05-06T20:06:54+00:00
Standard,1.1.2.2,K.PS.2,Identify and explain possible uses for an object based on its properties and compare these uses with other students’ ideas.,,2021-05-06T20:06:54+00:00
Standard,1.1.2.3,K.PS.3,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,,2021-05-06T20:06:54+00:00
Standard,1.1.2.4,K.PS.4,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.,,2021-05-06T20:06:54+00:00
Domain,1.1.3,ESS,Earth and Space Science,,2021-05-07T15:50:09+00:00
Standard,1.1.3.1,K.ESS.1,Make observations to determine the effect of sunlight on Earth’s surface and use tools and materials to design and build a structure to reduce the warming effect on Earth's surface.,,2021-05-06T20:06:54+00:00
Standard,1.1.3.2,K.ESS.2,"Describe and compare objects seen in the night and day sky, observing that the sun and moon move across the sky.",,2021-05-06T20:06:54+00:00
Standard,1.1.3.3,K.ESS.3,Investigate the local weather conditions to describe patterns over time.,,2021-05-06T20:06:54+00:00
