Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,,2020-09-30T09:21:50+00:00
Strand,1.1,K.H.1,"<b>History Strand:</b> Students examine the connections of their own environment with the past. They begin to distinguish between events and people of the past and the present, and use a sense of time in classroom planning and participation.",,2021-06-17T19:52:45+00:00
Cluster,1.1.1,,Historical Knowledge,,2020-09-30T09:21:50+00:00
Standard Indicator,1.1.1.1,K.H.1.1,<i>Compare children and families of today with those from the past.</i>,,2020-11-27T10:45:05+00:00
Example,1.1.1.1.1,,"<i><b>Examples:</b> Compare clothing, houses, and other objects.</i>",,2020-09-30T09:21:50+00:00
Standard Indicator,1.1.1.2,K.H.1.2,"<i>Identify ways by which people, heritage, and events are commemorated and recognized.</i> ",,2020-11-27T10:45:12+00:00
Example,1.1.1.2.1,,"<i><b>Examples:</b> George Washington; Chief Little Turtle; Abraham Lincoln, Harriet Tubman; and Martin Luther King, Jr., July 4th, Grandparents’ Day, cultural holidays, and birthdays</i>",,2021-05-14T21:11:40+00:00
Cluster,1.1.2,,Chronological Thinking,,2020-09-30T09:21:50+00:00
Standard Indicator,1.1.2.1,K.H.1.3,<i>Identify events and place events in a sequence.</i> ,,2020-11-27T10:45:22+00:00
Example,1.1.2.1.1,,"<i><b>Examples:</b> Identify events in the school day as first, next, last, yesterday, today, and tomorrow; place school events in order.<i>",,2020-09-30T09:21:50+00:00
Standard Indicator,1.1.2.2,K.H.1.4,<i>Explain that calendars are used to represent the days of the week and months of the year.</i>,,2020-11-27T10:45:29+00:00
Example,1.1.2.2.1,,<i><b>Examples:</b> Use a calendar to identify days of the week using school activities and birthdays.</i>,,2020-09-30T09:21:50+00:00
Strand,1.2,K.H.2,"<b>Civics and Government Strand:</b> Students learn that they are citizens of their school, community, and the United States; identify symbols of the nation; and understand the importance of being a responsible citizen who knows why rules are needed and follows them.",,2021-06-17T19:53:03+00:00
Cluster,1.2.1,,Foundations of Government,,2020-09-30T09:21:50+00:00
Standard Indicator,1.2.1.1, K.H.2.1,<i>Give examples of people who are community helpers and leaders and describe how they help us.</i>,,2020-11-27T10:46:39+00:00
Example,1.2.1.1.1,,"<i><b>Examples:</b> Parents, teachers, school principal, bus drivers, and policemen</i>",,2021-05-14T21:12:58+00:00
Standard Indicator,1.2.1.2,K.H.2.2,<i>Identify and explain that the President of the United States is the leader of our country and that the American flag is a symbol of the United States.</i>,,2020-11-27T10:46:52+00:00
Cluster,1.2.2,,Functions of Government,,2020-09-30T09:21:50+00:00
Standard Indicator,1.2.2.1,K.H.2.3,<i>Give examples of classroom and school rules and explain the importance of following these rules to ensure order and safety.</i>,,2020-11-27T10:47:02+00:00
Standard Indicator,1.2.2.2,K.H.2.4,<i>Give examples of how to be a responsible family member and member of a group.</i>,,2020-11-27T10:47:10+00:00
Example,1.2.2.2.1,,"<i><b>Examples:</b> Respecting the property and rights of others, being honest and truthful, and respecting authority.</i>",,2020-09-30T09:21:50+00:00
Strand,1.3,K.H.3,"<b>Geography Strand:</b> Students understand that maps and globes are different representations of the Earth’s surface and begin to explore the physical and human geographic characteristics of their school, neighborhood, and community.",,2021-06-17T19:53:50+00:00
Cluster,1.3.1,,World in Spatial Terms,,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.1.1,K.H.3.1,"<i>Use words related to location, direction, and distance, including here/there, over/under, left/right, above/below, forward/backward, and between.</i>",,2020-11-27T10:47:41+00:00
Example,1.3.1.1.1,,"<i><b>Examples:</b> Give and follow simple navigational directions such as walk forward 10 steps, turn right, and walk between the desks.<i>",,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.1.2, K.H.3.2,"<i>Identify maps and globes as ways of representing Earth and understand the basic difference between a map and globe, including the difference in water/oceans and land/continents.</i>",,2020-11-27T10:47:56+00:00
Cluster,1.3.2,,Places and Regions,,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.2.1,K.H.3.3,"<i>Locate and describe places in the school and community using words such as here/there, over/under, left/right, above/below, forward/backward, and between.</i>",,2020-11-27T10:48:19+00:00
Example,1.3.2.1.1,,"<i><b>Examples:</b> Cafeteria, library, office, restrooms, gym, and the fire station<i>",,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.2.2,K.H.3.4,<i>Identify and describe the address and location of the school; understand the importance of an address.</i>,,2020-11-27T10:48:30+00:00
Cluster,1.3.3,,Physical Systems,,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.3.1,K.H.3.5,<i>Describe and give examples of seasonal weather changes and illustrate how weather affects people and the environment.</i> ,,2020-11-27T10:48:41+00:00
Standard Indicator,1.3.3.1.1,,"<i><b>Examples:</b> Use a variety of resources (newspapers, yearbooks, internet, maps, and photographs) to show the similarities and differences in family customs and celebrations, clothing, house types, work, and cultural and ethnic heritage.<i>",,2020-09-30T09:21:50+00:00
Cluster,1.3.4,,Human Systems,,2020-09-30T09:21:50+00:00
Standard Indicator,1.3.4.1,K.H.3.6,"<i>Identify and compare similarities and differences in families, classmates, neighbors and neighborhoods, and ethnic and cultural groups.</i>",,2020-11-27T10:48:52+00:00
