Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,American Sign Language K-12,,2020-10-20T10:59:22+00:00
Grade Level,1.1,,Kindergarten,,2020-10-20T10:00:35+00:00
Overarching Standard,1.1.1,1C,<b>Communication:</b> Communicate effectively in more than one language in order to function in a variety of situations and for multiple purposes.,,2020-10-20T10:00:35+00:00
Specialized Standard,1.1.1.1,1l,"<b>Interpersonal:</b> Learners use American Sign Language to engage in conversation, provide information, express feelings and emotions, and exchange opinions.",,2020-10-20T10:00:35+00:00
Proficiency Benchmark,1.1.1.1.1,,"<b><i>Proficiency Benchmark:</i>&nbsp;</b><i>I can communicate in conversations in ASL on both very familiar and everyday topics using a variety of practiced or memorized words, phrases, simple sentences, and questions.</i>",,2020-12-31T06:40:01+00:00
Performance Indicator,1.1.1.1.1.1,K.1C.1I.1,"I can recognize and express basic greetings and farewells. <br><b>Examples:</b> Hello, Good-bye",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.1.1.2,K.1C.1l.2,"I can recognize and state basic personal information. <br><b>Examples:</b> Name, age.",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.1.1.3,K.1C.1I.3,"I can recognize and express basic likes, dislikes, and feelings through singleword responses.",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.1.1.4,K.1C.1l.4,"I can identify people, objects, and animals using ASL. ",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.1.1.5,K.1C.1I.5,"I can express conversational phrases with peers and adults. <br><b>Examples:</b> Please, thank you, excuse me.",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.1.1.6,K.1C.1I.6,"I can sign the WH questions vocabulary.<br> <b>Examples:</b> Who, where, when, why, what, and how?",,2020-10-20T10:00:35+00:00
Specialized Standard,1.1.1.2,2I,<b>Interpretive:</b> Learners comprehend and interpret live and recorded American Sign Language on a variety of topics.,,2020-10-20T10:00:35+00:00
Proficiency Benchmark,1.1.1.2.1,,<b><i>Proficiency Benchmark:</i></b>&nbsp;<i>I can maintain signed conversation and discussion across time frames on familiar as well as unfamiliar topics using simple sentences and simple questions.</i>,,2020-12-31T06:40:22+00:00
Performance Indicator,1.1.1.2.1.1,K.1C.2I.1,"I can comprehend and respond to simple commands and requests. <br><b>Examples:</b> Saying please and thank you; following the directions in an art activity; cleaning up classroom messes, rearranging seating, and lining up in a straight line when asked.",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.2.1.2,K.1C.2I.2,I can comprehend numbers of 1-20 in ASL. ,,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.2.1.3,K.1C.2I.3,I can identify the most commonly-used ASL handshapes (BASCO15).,,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.2.1.4,K.1C.2I.4,"I can recognize WH questions in ASL storytelling. <br><b>Examples:</b> who, what, where, when, why, how?",,2020-10-20T10:00:35+00:00
Specialized Standard,1.1.1.3,P,"<b>Presentational:</b> Students present information, concepts, and ideas to an audience of viewers in American Sign Language.",,2020-10-20T10:00:35+00:00
Proficiency Benchmark,1.1.1.3.1,,"<b><i>Proficiency Benchmark:</i></b>&nbsp;<i>I can present information on both very familiar and everyday topics using a variety of practiced or memorized vocabulary, and simple phrases in ASL.</i>",,2020-12-31T06:40:41+00:00
Performance Indicator,1.1.1.3.1.1,K.1C.P.1,I can recite developmentally appropriate rhymes and poetry of the culture. (up to three lines).,,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.3.1.2,K.1C.P.2,"I can present simple prepared material with teacher guidance. <br><b>Examples:</b> Show and Tell, sharing photos or drawings.",,2020-10-20T10:00:35+00:00
Performance Indicator,1.1.1.3.1.3,K.1C.P.3,I can present a simple ASL rhyme poem.,,2020-10-20T10:00:35+00:00
