Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten - Grade 2,KG-02,2025-05-16T19:44:42+00:00
Concept,1.1,,Data & Information,KG-02,2025-05-16T19:44:42+00:00
Learning Outcome,1.1.1,,"Students collect, store, visualize, and transform data to make inferences and predictions about the world.",KG-02,2025-05-16T19:44:42+00:00
Standard,1.1.1.1,K-2.DI.1,"Identify and collect data using digital  tools (e.g., take pictures of all blue items, create  a document with things that start with “a”).",KG-02,2025-05-16T19:44:42+00:00
Standard,1.1.1.2,K-2.DI.2,"Define stored information as data and when appropriate, copy, search, retrieve, modify, and delete it.",KG-02,2025-05-16T19:44:42+00:00
Standard,1.1.1.3,K-2.DI.3,Model that data can be stored and manipulated using numbers or symbols to represent information.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.1.1.4,K-2.DI.4,"Organize and present data in different visual formats such as charts, graphs, and symbols, and identify and describe patterns to make predictions. (E)",KG-02,2025-05-16T19:44:42+00:00
Concept,1.2,,Computing Devices & Systems,KG-02,2025-05-16T19:44:42+00:00
Learning Outcome,1.2.1,,"Students identify a computing system as being composed of hardware and software, troubleshooting common problems and generating solutions based on the needs of the user.",KG-02,2025-05-16T19:44:42+00:00
Standard,1.2.1.1,K-2.CD.1,Use appropriate terminology in identifying and describing computer hardware. (E),KG-02,2025-05-16T19:44:42+00:00
Standard,1.2.1.2,K-2.CD.2,Describe and troubleshoot basic hardware and software problems using appropriate terminology.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.2.1.3,K-2.CD.3,Select and operate appropriate software to perform a variety of tasks and recognize that users have different needs and preferences for the technology they use.,KG-02,2025-05-16T19:44:42+00:00
Concept,1.3,,Programs & Algorithms,KG-02,2025-05-16T19:44:42+00:00
Learning Outcome,1.3.1,,Students model complex tasks using algorithmic problem solving and develop simple computing programs to represent them.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.1,K-2.PA.1,Breakdown and plan the order of the steps needed for a desired outcome to accomplish the goal. (E),KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.2,K-2.PA.2,"Using age-appropriate vocabulary, explain steps taken and choices made to improve the design of a sequence.",KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.3,K-2.PA.3,Develop programs with sequences and simple loops to express ideas or address a problem. (E),KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.4,K-2.PA.4,Identify and fix (debug) errors in sequences and simple loops.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.5,K-2.PA.5,"Model daily processes by creating and following algorithms (i.e., sets of step-by-step instructions) to complete tasks. (E)",KG-02,2025-05-16T19:44:42+00:00
Standard,1.3.1.6,K-2.PA.6,Give attribution when using the ideas and creations of others while developing programs.,KG-02,2025-05-16T19:44:42+00:00
Concept,1.4,,Networking & the Internet,KG-02,2025-05-16T19:44:42+00:00
Learning Outcome,1.4.1,,Students explain that information shared over connected computer networks must be protected from unauthorized access.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.4.1.1,K-2.NI.1,"Explain what passwords are, why they are used, and why it is important to develop strong passwords to protect devices and information. (E)",KG-02,2025-05-16T19:44:42+00:00
Concept,1.5,,Impact & Culture,KG-02,2025-05-16T19:44:42+00:00
Learning Outcome,1.5.1,,"Students explain how computing affects the way people live, work, and communicate.",KG-02,2025-05-16T19:44:42+00:00
Standard,1.5.1.1,K-2.IC.1,Compare and contrast the effects of technology on communities and social interactions.,KG-02,2025-05-16T19:44:42+00:00
Standard,1.5.1.2,K-2.IC.2,Identify expected behaviors for working responsibly with others online. (E),KG-02,2025-05-16T19:44:42+00:00
Standard,1.5.1.3,K-2.IC.3,Describe how to keep login information private and log off of devices appropriately.,KG-02,2025-05-16T19:44:42+00:00
Grade,2,,Grades 3 - 5,03-05,2025-05-16T19:45:16+00:00
Concept,2.1,,Data & Information,03-05,2025-05-16T19:45:16+00:00
Learning Outcome,2.1.1,,"Students select aspects and portions of data to be transformed, clustered, and categorized to provide views and insights about the data.",03-05,2025-05-16T19:45:16+00:00
Standard,2.1.1.1,3-5.DI.1,Decompose problems and subproblems into parts as a means to solving complex problems. (E),03-05,2025-05-16T19:45:16+00:00
Standard,2.1.1.2,3-5.DI.2,Organize and present collected data visually to highlight relationships and support a claim.,03-05,2025-05-16T19:45:16+00:00
Standard,2.1.1.3,3-5.DI.3,Demonstrate how variables can represent data and are used to store and modify information.,03-05,2025-05-16T19:45:16+00:00
Standard,2.1.1.4,3-5.DI.4,"Describe that data can be represented in different forms understandable by people, including words, symbols, and digital displays of color.",03-05,2025-05-16T19:45:16+00:00
