Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades PK-2,PK-02,2025-05-16T22:51:46+00:00
Standard,1.1,1.2,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.1.1,1.2.1,Identify that healthy behaviors affect personal health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.1.2,1.2.2,Recognize that there are multiple dimensions of health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.1.3,1.2.3,Describe ways to prevent communicable diseases.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.1.4,1.2.4,List ways to prevent common childhood injuries.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.1.5,1.2.5,Describe why it is important to seek health care.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.2,2.2,"Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.",PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.2.1,2.2.1,Identify how the family influences personal health practices and behaviors.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.2.2,2.2.2,Identify what the school can do to support personal health practices and behaviors.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.2.3,2.2.3,Describe how the media can influence health behaviors.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.3,3.2,Students will demonstrate the ability to access valid information and products and services to enhance health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.3.1,3.2.1,Identify trusted adults and professionals who can help promote health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.3.2,3.2.2,Identify ways to locate school and community health helpers.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.4,4.2,Students will demonstrate the ability to use interpersonal communication skills to enhance health and avoid or reduce health risks.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.4.1,4.2.1,"Demonstrate healthy ways to express needs, wants, and feelings.",PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.4.2,4.2.2,Demonstrate listening skills to enhance health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.4.3,4.2.3,"Demonstrate ways to respond when in an unwanted, threatening, or dangerous situation.",PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.4.4,4.2.4,Demonstrate ways to tell a trusted adult if threatened or harmed.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.5,5.2,Students will demonstrate the ability to use decision-making skills to enhance health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.5.1,5.2.1,Identify situations when a health-related decision is needed.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.5.2,5.2.2,Differentiate between situations when a health-related decision can be made individually or when assistance is needed.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.6,6.2,Students will demonstrate the ability to use goal-setting skills to enhance health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.6.1,6.2.1,Identify a short-term personal health goal and take action toward achieving the goal.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.6.2,6.2.2,Identify who can help when assistance is needed to achieve a personal health goal.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.7,7.2,Students will demonstrate the ability to practice health-enhancing behaviors and avoid or reduce health risks.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.7.1,7.2.1,Demonstrate healthy practices and behaviors to maintain or improve personal health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.7.2,7.2.2,Demonstrate behaviors that avoid or reduce health risks.,PK-02,2025-05-16T22:51:46+00:00
Standard,1.8,8.2,"Students will demonstrate the ability to advocate for personal, family and community health.",PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.8.1,8.2.1,Make requests to promote personal health.,PK-02,2025-05-16T22:51:46+00:00
Performance Indicator,1.8.2,8.2.2,Encourage peers to make positive health choices.,PK-02,2025-05-16T22:51:46+00:00
Grade Band,2,,Grades 3-5,,2025-04-17T22:46:55+00:00
Standard,2.1,1.5,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.1.1,1.5.1,Describe the relationship between healthy behaviors and personal health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.1.2,1.5.2,"Identify examples of emotional, intellectual, physical, and social health.",,2025-04-11T22:30:15+00:00
Performance Indicator,2.1.3,1.5.3,Describe ways in which safe and healthy school and community environments can promote personal health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.1.4,1.5.4,Describe ways to prevent common childhood injuries and health problems.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.1.5,1.5.5,Describe when it is important to seek health care.,,2025-04-11T22:30:15+00:00
Standard,2.2,2.5,"Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.",,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.1,2.5.1,Describe how the family influences personal health practices and behaviors.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.2,2.5.2,Identify the influence of culture on health practices and behaviors.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.3,2.5.3,Identify how peers can influence healthy and unhealthy behaviors.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.4,2.5.4,Describe how the school and community can support personal health practices and behaviors.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.5,2.5.5,"Explain how media influences thoughts, feelings, and health behaviors.",,2025-04-11T22:30:15+00:00
Performance Indicator,2.2.6,2.5.6,Describe ways that technology can influence personal health.,,2025-04-11T22:30:15+00:00
Standard,2.3,3.5,Students will demonstrate the ability to access valid information and products and services to enhance health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.3.1,3.5.1,"Identify characteristics of valid health information, products, and services.",,2025-04-11T22:30:15+00:00
Performance Indicator,2.3.2,3.5.2,"Locate resources from home, school, and community that provide valid health information.",,2025-04-11T22:30:15+00:00
Standard,2.4,4.5,Students will demonstrate the ability to use interpersonal communication skills to enhance health and avoid or reduce health risks.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.4.1,4.5.1,Demonstrate effective verbal and nonverbal communication skills to enhance health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.4.2,4.5.2,Demonstrate refusal skills that avoid or reduce health risks.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.4.3,4.5.3,Demonstrate nonviolent strategies to manage or resolve conflict.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.4.4,4.5.4,Demonstrate how to ask for assistance to enhance personal health.,,2025-04-11T22:30:15+00:00
Standard,2.5,5.5,Students will demonstrate the ability to use decision-making skills to enhance health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.1,5.5.1,Identify health-related situations that might require a thoughtful decision.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.2,5.5.2,Analyze when assistance is needed in making a health-related decision.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.3,5.5.3,List healthy options to health-related issues or problems.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.4,5.5.4,Predict the potential outcomes of each option when making a health-related decision.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.5,5.5.5,Choose a healthy option when making a decision.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.5.6,5.5.6,Describe the outcomes of a health-related decision.,,2025-04-11T22:30:15+00:00
Standard,2.6,6.5,Students will demonstrate the ability to use goal-setting skills to enhance health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.6.1,6.5.1,Set a personal health goal and track progress toward its achievement.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.6.2,6.5.2,Identify resources to assist in achieving a personal health goal.,,2025-04-11T22:30:15+00:00
Standard,2.7,7.5,Students will demonstrate the ability to practice health-enhancing behaviors and avoid or reduce health risks.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.7.1,7.5.1,Identify responsible personal health behaviors.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.7.2,7.5.2,Demonstrate a variety of healthy practices and behaviors to maintain or improve personal health.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.7.3,7.5.3,Demonstrate a variety of behaviors that avoid or reduce health risks.,,2025-04-11T22:30:15+00:00
Standard,2.8,8.5,"Students will demonstrate the ability to advocate for personal, family and community health.",,2025-04-11T22:30:15+00:00
Performance Indicator,2.8.1,8.5.1,Express opinions and give accurate information about health issues.,,2025-04-11T22:30:15+00:00
Performance Indicator,2.8.2,8.5.2,Encourage others to make positive health choices.,,2025-04-11T22:30:15+00:00
Grade Band,3,,Grades 6-8,06-08,2025-05-16T22:52:24+00:00
Standard,3.1,1.8,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.1,1.8.1,Analyze the relationship between healthy behaviors and personal health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.2,1.8.2,"Describe the interrelationships of emotional, intellectual, physical, and social health in adolescence.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.3,1.8.3,Analyze how the environment affects personal health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.4,1.8.4,Describe how family history can affect personal health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.5,1.8.5,Describe ways to reduce or prevent injuries and other adolescent health problems.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.6,1.8.6,Explain how appropriate health care can promote personal health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.7,1.8.7,Describe the benefits of and barriers to practicing healthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.8,1.8.8,Examine the likelihood of injury or illness if engaging in unhealthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.1.9,1.8.9,Examine the potential seriousness of injury or illness if engaging in unhealthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Standard,3.2,2.8,"Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.1,2.8.1,Examine how the family influences the health of adolescents.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.2,2.8.2,"Describe the influence of culture on health beliefs, practices, and behaviors.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.3,2.8.3,Describe how peers influence healthy and unhealthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.4,2.8.4,Analyze how the school and community can affect personal health practices and behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.5,2.8.5,Analyze how messages from media influence health behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.6,2.8.6,Analyze the influence of technology on personal and family health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.7,2.8.7,Explain how the perceptions of norms influence healthy and unhealthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.8,2.8.8,Explain the influence of personal values and beliefs on individual health practices and behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.9,2.8.9,Describe how some health risk behaviors can influence the likelihood of engaging in unhealthy behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.2.10,2.8.10,Explain how school and public health policies can influence health promotion and disease prevention.,06-08,2025-05-16T22:52:24+00:00
Standard,3.3,3.8,Students will demonstrate the ability to access valid information and products and services to enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.3.1,3.8.1,"Analyze the validity of health information, products, and services.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.3.2,3.8.2,"Access valid health information from home, school, and community.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.3.3,3.8.3,Determine the accessibility of products that enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.3.4,3.8.4,Describe situations that may require professional health services.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.3.5,3.8.5,Locate valid and reliable health products and services.,06-08,2025-05-16T22:52:24+00:00
Standard,3.4,4.8,Students will demonstrate the ability to use interpersonal communication skills to enhance health and avoid or reduce health risks.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.4.1,4.8.1,Apply effective verbal and nonverbal communication skills to enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.4.2,4.8.2,Demonstrate refusal and negotiation skills that avoid or reduce health risks.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.4.3,4.8.3,Demonstrate effective conflict management or resolution strategies.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.4.4,4.8.4,Demonstrate how to ask for assistance to enhance the health of self and others.,06-08,2025-05-16T22:52:24+00:00
Standard,3.5,5.8,Students will demonstrate the ability to use decision-making skills to enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.1,5.8.1,Identify circumstances that can help or hinder healthy decision making.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.2,5.8.2,Determine when health-related situations require the application of a thoughtful decision-making process.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.3,5.8.3,Distinguish when individual or collaborative decision making is appropriate.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.4,5.8.4,Distinguish between healthy and unhealthy alternatives to health-related issues or problems.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.5,5.8.5,Predict the potential short-term impact of each alternative on self and others.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.6,5.8.6,Choose healthy alternatives over unhealthy alternatives when making a decision.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.5.7,5.8.7,Analyze the outcomes of a health-related decision.,06-08,2025-05-16T22:52:24+00:00
Standard,3.6,6.8,Students will demonstrate the ability to use goal-setting skills to enhance health.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.6.1,6.8.1,Assess personal health practices.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.6.2,6.8.2,"Develop a goal to adopt, maintain, or improve a personal health practice.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.6.3,6.8.3,Apply strategies and skills needed to attain a personal health goal.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.6.4,6.8.4,"Describe how personal health goals can vary with changing abilities, priorities, and responsibilities.",06-08,2025-05-16T22:52:24+00:00
Standard,3.7,7.8,Students will demonstrate the ability to practice health-enhancing behaviors and avoid or reduce health risks.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.7.1,7.8.1,Explain the importance of assuming responsibility for personal health behaviors.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.7.2,7.8.2,Demonstrate healthy practices and behaviors that will maintain or improve the health of self and others.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.7.3,7.8.3,Demonstrate behaviors that avoid or reduce health risks to self and others.,06-08,2025-05-16T22:52:24+00:00
Standard,3.8,8.8,"Students will demonstrate the ability to advocate for personal, family and community health.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.8.1,8.8.1,State a health-enhancing position on a topic and support it with accurate information.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.8.2,8.8.2,Demonstrate how to influence and support others to make positive health choices.,06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.8.3,8.8.3,"Work cooperatively to advocate for healthy individuals, families, and schools.",06-08,2025-05-16T22:52:24+00:00
Performance Indicator,3.8.4,8.8.4,Identify ways in which health messages and communication techniques can be altered for different audiences.,06-08,2025-05-16T22:52:24+00:00
Grade Band,4,,Grades 9-12,09-12,2025-05-16T22:52:41+00:00
Standard,4.1,1.12,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.1,1.12.1,Predict how healthy behaviors can affect health status.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.2,1.12.2,"Describe the interrelationships of emotional, intellectual, physical, and social health.",09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.3,1.12.3,Analyze how environment and personal health are interrelated.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.4,1.12.4,Analyze how genetics and family history can affect personal health.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.5,1.12.5,Propose ways to reduce or prevent injuries and health problems. 1.12.6 Analyze the relationship between access to health care and health status.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.6,1.12.7,Compare and contrast the benefits of and barriers to practicing a variety of healthy behaviors.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.7,1.12.8,"Analyze personal susceptibility to injury, illness, or death if engaging in unhealthy behaviors.",09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.1.8,1.12.9,Analyze the potential severity of injury or illness if engaging in unhealthy behaviors.,09-12,2025-05-16T22:52:41+00:00
Standard,4.2,2.12,"Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.",09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.1,2.12.1,Analyze how the family influences the health of individuals.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.2,2.12.2,"Analyze how the culture supports and challenges health beliefs, practices, and behaviors.",09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.3,2.12.3,Analyze how peers influence healthy and unhealthy behaviors.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.4,2.12.4,Evaluate how the school and community can affect personal health practices and behaviors.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.5,2.12.5,Evaluate the effect of media on personal and family health.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.6,2.12.6,"Evaluate the impact of technology on personal, family, and community health.",09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.7,2.12.7,Analyze how the perceptions of norms influence healthy and unhealthy behaviors.,09-12,2025-05-16T22:52:41+00:00
Performance Indicator,4.2.8,2.12.8,Analyze the influence of personal values and beliefs on individual health practices and behaviors.,09-12,2025-05-16T22:52:41+00:00
