Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards for Mathematical Practices,KG-12,2024-08-15T23:19:51+00:00
Standard,1.1,SMP1,Make sense of problems and persevere in solving them.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.2,SMP2,Reason abstractly and quantitatively.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.3,SMP3,Construct viable arguments and critique the reasoning of others.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.4,SMP4,Model with mathematics.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.5,SMP5,Use appropriate tools strategically.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.6,SMP6,Attend to precision.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.7,SMP7,Look for and make use of structure.,KG-12,2024-08-15T23:19:51+00:00
Standard,1.8,SMP8,Look for and express regularity in repeated reasoning.,KG-12,2024-08-15T23:19:51+00:00
Course,2,,Standards for Math Content,KG-05,2024-08-13T18:01:19+00:00
Grade,2.1,,Kindergarten,KG,2024-08-15T15:10:17+00:00
Domain,2.1.1,K.CC,Counting and Cardinality,KG,2024-08-15T15:10:17+00:00
Major Cluster,2.1.1.1,K.CC.A,Know number names and the count sequence forward.,KG,2024-08-15T15:10:17+00:00
Standard,2.1.1.1.1,K.CC.A.1,Count to 100 by ones and by tens.,KG,2024-08-15T15:10:17+00:00
Standard,2.1.1.1.2,K.CC.A.2,Count forward beginning from any given number within the range of 0–100.,KG,2024-08-15T15:10:17+00:00
Standard,2.1.1.1.3,K.CC.A.3,"Write numbers from 0 to 20. Given a set of 0–20 objects, write a numeral to represent the quantity.",KG,2024-08-15T15:10:17+00:00
Supporting Cluster,2.1.1.2,K.CC.IA.A,Know number names and the count sequence backward.,KG,2024-08-15T15:10:17+00:00
Standard,2.1.1.2.1,K.CC.IA.A.1,Count backwards by ones from 20 to 0.,KG,2024-08-15T15:10:17+00:00
