Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,"College and Career Readiness Anchor Standards for Reading, Writing, and Literacy in History/Social Studies, Science, and Technical Subjects",KG-12,2025-03-20T17:24:31+00:00
Cluster,1.1,,Key Ideas and Details,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.1.1,CCR.1,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.1.2,CCR.2,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.1.3,CCR.3,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",KG-12,2025-03-20T17:24:31+00:00
Cluster,1.2,,Craft and Structure,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.2.1,CCR.4,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.2.2,CCR.5,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.2.3,CCR.6,Assess how point of view or purpose shapes the content and style of a text.,KG-12,2025-03-20T17:24:31+00:00
Cluster,1.3,,Integration of Knowledge and Ideas,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.3.1,CCR.7,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.3.2,CCR.8,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.3.3,CCR.9,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,KG-12,2025-03-20T17:24:31+00:00
Cluster,1.4,,Range of Reading and Level of Text Complexity,KG-12,2025-03-20T17:24:31+00:00
Anchor Standard,1.4.1,CCR.10,Read and comprehend complex literary and informational texts independently and proficiently.,KG-12,2025-03-20T17:24:31+00:00
Competency Grouping,2,,Standards for English Language Arts (K-5),KG-12,2025-03-20T17:24:31+00:00
Grade,2.1,,Kindergarten,KG,2025-03-20T17:24:31+00:00
Strand,2.1.1,,Reading Standards for Literature,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.1.1,,Key Ideas and Details,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.1.1,RL.K.1,"With prompting and support, ask and answer questions about key details in a text.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.1.2,RL.K.2,"With prompting and support, retell familiar stories, including key details.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.1.3,RL.K.3,"With prompting and support, identify characters, settings, and major events in a story.",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.1.2,,Craft and Structure,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.2.1,RL.K.4,Ask and answer questions about unknown words in a text.,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.2.2,RL.K.5,"Recognize common types of texts (e.g., storybooks, poems).",KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.2.3,RL.K.6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.1.3,,Integration of Knowledge and Ideas,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.3.1,RL.K.7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.3.2,RL.K.8,Not applicable to literature.,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.3.3,RL.K.9,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.1.4,,Range of Reading and Level of Text Complexity,KG,2025-03-20T17:24:31+00:00
Standard,2.1.1.4.1,RL.K.10,Actively engage in group reading activities with purpose and understanding.,KG,2025-03-20T17:24:31+00:00
Strand,2.1.2,,Reading Standards for Informational Text,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.2.1,,Key Ideas and Details,KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.1.1,RI.K.1,"With prompting and support, ask and answer questions about key details in a text.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.1.2,RI.K.2,"With prompting and support, identify the main topic and retell key details of a text.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.1.3,RI.K.3,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.2.2,,Craft and Structure,KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.2.1,RI.K.4,"With prompting and support, ask and answer questions about unknown words and phrases in a text.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.2.2,RI.K.5,"Identify the front cover, back cover, and title page of a book.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.2.3,RI.K.6,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.2.3,,Integration of Knowledge and Ideas,KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.3.1,RI.K.7,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.3.2,RI.K.8,"With prompting and support, identify the reasons an author gives to support points in a text.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.3.3,RI.K.9,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.2.4,,Range of Reading and Level of Text Complexity,KG,2025-03-20T17:24:31+00:00
Standard,2.1.2.4.1,RI.K.10,Actively engage in group reading activities with purpose and understanding.,KG,2025-03-20T17:24:31+00:00
Strand,2.1.3,,Foundational Skills,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.3.1,,Print Concepts,KG,2025-03-20T17:24:31+00:00
Standard,2.1.3.1.1,RF.K.1,Demonstrate understanding of the organization and basic features of print.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.1.1.1,RF.K.1.a,"Follow words from left to right, top to bottom, and page by page.",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.1.1.2,RF.K.1.b,Recognize that spoken words are represented in written language by specific sequences of letters.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.1.1.3,RF.K.1.c,Understand that words are separated by spaces in print.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.1.1.4,RF.K.1.d,Recognize and name all upper- and lowercase letters of the alphabet.,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.3.2,,Phonological Awareness and Phonemic Awareness,KG,2025-03-20T17:24:31+00:00
Standard,2.1.3.2.1,RF.K.2,"Demonstrate understanding of spoken words, syllables, and phonemes (sounds).",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.2.1.1,RF.K.2.a,"Count, produce, blend, and segment syllables in spoken words.",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.2.1.2,RF.K.2.b,Blend and segment onsets and rimes of single-syllable spoken words.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.2.1.3,RF.K.2.c,"Isolate and pronounce the initial, medial vowel, and final phonemes (sounds) in three-phoneme (consonant-vowel-consonant, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.2.1.4,RF.K.2.d,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.2.1.5,RF.K.2.e,Recognize and produce rhyming words.,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.3.3,,Phonics and Word Recognition,KG,2025-03-20T17:24:31+00:00
Standard,2.1.3.3.1,RF.K.3,"Know and apply grade-level phonics, which includes word analysis skills to support decoding and encoding words.",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.3.1.1,RF.K.3.a,"Demonstrate basic knowledge of phoneme-grapheme (one-to-one, letter-sound) correspondences by producing the primary and most frequent sounds for each consonant.",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.3.1.2,RF.K.3.b,Associate the long and short sounds with common graphemes (spellings) for the five major vowels.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.3.1.3,RF.K.3.c,"Read common high-frequency words with accuracy and automaticity (e.g., the, of, to, you, she, my, is, are, do, does).",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.3.1.4,RF.K.3.d,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.3.4,,Fluency,KG,2025-03-20T17:24:31+00:00
Standard,2.1.3.4.1,RF.K.4,Orally read grade-appropriate text with purpose and understanding.,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.3.5,,Writing Foundations,KG,2025-03-20T17:24:31+00:00
Standard,2.1.3.5.1,WF.K.1,Print with scaffolding and support for a variety of tasks and purposes.,KG,2025-03-20T17:24:31+00:00
Component,2.1.3.5.1.1,WF.K.1.a,"Form many upper and lowercase manuscript letters and numerals correctly with proportion, line awareness, and spacing (between words and letters).",KG,2025-03-20T17:24:31+00:00
Component,2.1.3.5.1.2,WF.K.1.b,Begin to produce manuscript writing.,KG,2025-03-20T17:24:31+00:00
Strand,2.1.4,,Writing,KG,2025-03-20T17:24:31+00:00
Cluster,2.1.4.1,,Text Types and Purposes,KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.1.1,W.K.1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...).",KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.1.2,W.K.2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.1.3,W.K.3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",KG,2025-03-20T17:24:31+00:00
Cluster,2.1.4.2,,Production and Distribution of Writing,KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.2.1,W.K.4,Begins in grade 3.,KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.2.2,W.K.5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",KG,2025-03-20T17:24:31+00:00
Standard,2.1.4.2.3,W.K.6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",KG,2025-03-20T17:24:31+00:00
