Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Disciplinary Core Ideas,,2023-05-05T00:06:50+00:00
Grade Level,1.1,,Elementary School (Grades K-5),KG-05,2023-05-05T00:06:50+00:00
Grade Level,1.1.1,,Kindergarten,KG,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.1.1,K-PS2,Motion and Stability: Forces and Interactions,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.1.1,K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.1.2,K-PS2-2,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.,KG,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.1.2,K-PS3,Energy,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.2.1,K-PS3-1,Make observations to determine the effect of sunlight on Earth’s surface.,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.2.2,K-PS3-2,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.,KG,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.1.3,K-LS1,From Molecules to Organisms: Structures and Processes,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.3.1,K-LS1-1,Use observations to describe patterns of what plants and animals (including humans) need to survive.,KG,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.1.4,K-ESS2,Earth's Systems,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.4.1,K-ESS2-1,Use and share observations of local weather conditions to describe patterns over time.,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.4.2,K-ESS2-2,Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.,KG,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.1.5,K-ESS3,Earth and Human Activity,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.5.1,K-ESS3-1,Use a model to represent the relationship between the needs of different plants and animals (including humans) and the places they live.,KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.5.2,K-ESS3-2,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.",KG,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.1.5.3,K-ESS3-3,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.",KG,2023-05-05T00:06:50+00:00
Grade Level,1.1.2,,Grade 1,01,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.2.1,1-PS4,Waves and their Applications in Technologies for Information Transfer,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.1.1,1-PS4-1,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.1.2,1-PS4-2,Make observations to construct an evidence-based account that objects in darkness can be seen only when illuminated.,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.1.3,1-PS4-3,Plan and conduct investigations to determine the effect of placing objects made with different materials in the path of a beam of light.,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.1.4,1-PS4-4,Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.,01,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.2.2,1-LS1,From Molecules to Organisms: Structures and Processes,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.2.1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.2.2,1-LS1-2,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.,01,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.2.3,1-LS3,Heredity: Inheritance and Variation of Traits,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.3.1,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.",01,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.2.4,1-ESS1,Earth's Place in the Universe,01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.4.1,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted.",01,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.2.4.2,1-ESS1-2,Make observations at different times of year to relate the amount of daylight to the time of year.,01,2023-05-05T00:06:50+00:00
Grade Level,1.1.3,,Grade 2,02,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.3.1,2-PS1,Matter and its Interactions,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.1.1,2-PS1-1,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.1.2,2-PS1-2,Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.1.3,2-PS1-3,Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.1.4,2-PS1-4,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.,02,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.3.2,2-LS2,"Ecosystems: Interactions, Energy, and Dynamics",02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.2.1,2-LS2-1,Plan and conduct an investigation to determine if plants need sunlight and water to grow.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.2.2,2-LS2-2,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.,02,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.3.3,2-LS4,Biological Evolution: Unity and Diversity,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.3.1,2-LS4-1,Make observations of plants and animals to compare the diversity of life in different habitats.,02,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.3.4,2-ESS1,Earth's Place in the Universe,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.4.1,2-ESS1-1,Use information from several sources to provide evidence that Earth events can occur quickly or slowly.,02,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.3.5,2-ESS2,Earth's Systems,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.5.1,2-ESS2-1,Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.5.2,2-ESS2-2,Develop a model to represent the shapes and kinds of land and bodies of water in an area.,02,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.3.5.3,2-ESS2-3,Obtain information to identify where water is found on Earth and that it can be solid or liquid.,02,2023-05-05T00:06:50+00:00
Grade Level,1.1.4,,Grade 3,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.1,3-PS2,Motion and Stability: Forces and Interactions,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.1.1,3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.1.2,3-PS2-2,Make observations and/or measurements of an object’s motion to provide evidence that a pattern can be used to predict future motion.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.1.3,3-PS2-3,Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.1.4,3-PS2-4,Define a simple design problem that can be solved by applying scientific ideas about magnets.,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.2,3-LS1,From Molecules to Organisms: Structures and Processes,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.2.1,3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.",03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.3,3-LS2,"Ecosystems: Interactions, Energy, and Dynamics",03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.3.1,3-LS2-1,Construct an argument that some animals form groups that help members survive.,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.4,3-LS3,Heredity: Inheritance and Variation of Traits,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.4.1,3-LS3-1,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.4.2,3-LS3-2,Use evidence to support the explanation that traits can be influenced by the environment.,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.5,3-LS4,Biological Evolution: Unity and Diversity,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.5.1,3-LS4-1,Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.5.2,3-LS4-2,"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing.",03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.5.3,3-LS4-3,"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all.",03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.5.4,3-LS4-4,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.6,3-ESS2,Earth's Systems,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.6.1,3-ESS2-1,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.,03,2023-05-05T00:06:50+00:00
Performance Expectation,1.1.4.6.2,3-ESS2-2,Obtain and combine information to describe climates in different regions of the world.,03,2023-05-05T00:06:50+00:00
Performance Expectations Title,1.1.4.7,3-ESS3,Earth and Human Activity,03,2023-05-05T00:06:50+00:00
