Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,K-12 Performance Standards,PK-12,2025-05-15T19:09:21+00:00
Grade,1.1,,Pre-Kindergarten,PK,2025-03-04T16:16:58+00:00
Concept,1.1.1,,Computing Systems,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.1.1,,Devices,PK,2025-03-04T16:53:40+00:00
Standard,1.1.1.1.1,PK.CS.D.01,"With guidance, demonstrate how to operate a computing device.",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.1.2,,Hardware and Software,PK,2025-03-04T16:53:40+00:00
Standard,1.1.1.2.1,PK.CS.HS.01,"With guidance, use appropriate terminology to locate and identify common computing devices and components in a variety of environments (e.g. turn on, navigate, open/close programs/apps).",PK,2025-03-04T16:53:40+00:00
Standard,1.1.1.2.2,PK.CS.HS.02,"With guidance, correctly use software that controls computing devices (e.g. e.g. programs, browsers, websites, and applications).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.1.3,,Input and Output,PK,2025-03-04T16:53:40+00:00
Standard,1.1.1.3.1,PK.CS.IO.01,"With guidance, identify and apply basic input/output skills.",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.1.4,,Troubleshooting,PK,2025-03-04T16:53:40+00:00
Standard,1.1.1.4.1,PK.CS.T.01,Recognize that computing systems might not work as expected and with guidance can identify simple hardware or software problems,PK,2025-03-04T16:53:40+00:00
Concept,1.1.2,,Networks & the Internet,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.2.1,,Network Communication & Organization,PK,2025-03-04T16:53:40+00:00
Standard,1.1.2.1.1,PK.NI.NCO.01,Recognize that computing devices are connected via wired or wireless networks so that they can communicate with each other.,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.2.2,,Cybersecurity,PK,2025-03-04T16:53:40+00:00
Standard,1.1.2.2.1,PK.NI.C.01,Recognize that passwords are private and should be kept secret.,PK,2025-03-04T16:53:40+00:00
Concept,1.1.3,,Data Analysis,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.3.1,,Storage,PK,2025-03-04T16:53:40+00:00
Standard,1.1.3.1.1,PK.DA.S.01,"Know that the computing device can save information as data that can be searched, modified, and saved or deleted (e.g. save photos, files, or videos).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.3.2,,Collection,PK,2025-03-04T16:53:40+00:00
Standard,1.1.3.2.1,PK.DA.C.01,"Students understand that data about themselves and the world around them is collected, used, and organized in a meaningful way.",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.3.3,,Visualization & Transformation,PK,2025-03-04T16:53:40+00:00
Standard,1.1.3.3.1,PK.DA.CVT.01,"Students represent collected data in a visual way. (e.g. charts, graphs, tables).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.3.4,,Inference and Models,PK,2025-03-04T16:53:40+00:00
Standard,1.1.3.4.1,PK.DA.IM.01,"Students look for patterns in data, make predictions, and make a model",PK,2025-03-04T16:53:40+00:00
Concept,1.1.4,,Algorithms and Programming,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.4.1,,Algorithms,PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.1.1,PK.AP.A.01,"With guidance, construct and execute algorithms (set of step-by-step instructions) that includes sequencing and simple loops to accomplish a task, with or without a computing device (e.g. verbally, kinesthetically, with robot devices or a programming language, block coding).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.4.2,,Variables,PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.2.1,PK.AP.V.01,"With guidance, understand that numbers represent different types of data using numbers or other symbols (e.g. thumbs up/thumbs down for yes/no color by number, arrows for direction, encoding/decoding a word using numbers or pictographs).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.4.3,,Control,PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.3.1,PK.AP.C.01,"With guidance, create programs to accomplish tasks using a programming language, robot device, or unplugged activity that includes sequencing events and simple loops (e.g. emphasizing beginning, middle, and end; collaborative programming).",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.4.4,,Modularity,PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.4.1,PK.AP.M.01,"With guidance, decompose (break down) a larger problem into smaller subproblems.",PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.4.5,,Program Development,PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.5.1,PK.AP.PD.01,"Create a design document to illustrate thoughts, ideas, and stories in a sequential manner.",PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.5.2,PK.AP.PD.02,"Recognize that digital items can be owned and that proper credit needs to be given (e.g. using code, music, pictures).",PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.5.3,PK.AP.PD.03,"With guidance, construct, execute, and debug (identify and fix)",PK,2025-03-04T16:53:40+00:00
Standard,1.1.4.5.4,PK.AP.PD.04,"With guidance, use correct terminology in the development of an algorithm to solve a simple problem (e.g. beginning, middle, end).",PK,2025-03-04T16:53:40+00:00
Concept,1.1.5,,Impacts of Computing,PK,2025-03-04T16:53:40+00:00
Subconcept,1.1.5.1,,Culture,PK,2025-03-04T16:53:40+00:00
