Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Span,1,,Grades (PreK-2),PK-02,2025-03-25T14:06:07+00:00
Competency,1.1,,Develops a variety of motor skills.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.1,1.2.1,"*The successful Kansas student can* demonstrate a variety of locomotor skills with the concepts of space, effort, and relationship awareness.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.2,1.2.2,*The successful Kansas student can* demonstrate jumping and landing in a non-dynamic environment.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.3,1.2.3,*The successful Kansas student can* demonstrate transferring weight on multiple body parts.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.4,1.2.4,"*The successful Kansas student can* demonstrate nonlocomotor skills with the concepts of space, effort, and relationship awareness.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.5,1.2.5,*The successful Kansas student can* demonstrates balancing on different body parts in a non-dynamic environment.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.6,1.2.6,*The successful Kansas student can* demonstrate bouncing a ball in a variety of non-dynamic practice tasks.,PK-02,2025-03-26T16:26:01+00:00
Learning Indicator,1.1.7,1.2.7,*The successful Kansas student can* demonstrate rolling a ball in a variety of non-dynamic practice tasks.,PK-02,2025-03-26T16:26:10+00:00
Learning Indicator,1.1.8,1.2.8,*The successful Kansas student can* demonstrate catching in a variety of non-dynamic practice tasks.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.9,1.2.9,*The successful Kansas student can* demonstrate throwing in a variety of non-dynamic practice tasks.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.10,1.2.10,*The successful Kansas student can* demonstrate kicking a ball in a variety of non-dynamic practice tasks.,PK-02,2025-03-26T16:26:17+00:00
Learning Indicator,1.1.11,1.2.11,*The successful Kansas student can* demonstrate dribbling with feet in a variety of non-dynamic practice tasks.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.12,1.2.12,*The successful Kansas student can* demonstrate striking with hands in a variety of non-dynamic practice tasks.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.13,1.2.13,*The successful Kansas student can* demonstrate striking with a short-handled implement in a variety of non-dynamic practice tasks.,PK-02,2025-03-26T16:26:27+00:00
Learning Indicator,1.1.14,1.2.14,*The successful Kansas student can* demonstrate striking with a long-handled implement in a variety of non-dynamic practice tasks.,PK-02,2025-03-26T16:26:33+00:00
Learning Indicator,1.1.15,1.2.15,"*The successful Kansas student can* demonstrate locomotor, non-locomotor, and manipulative movements based on a variety of dance forms.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.16,1.2.16,*The successful Kansas student can* demonstrate jumping rope in a non-dynamic environment.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.1.17,1.2.17,"*The successful Kansas student can* demonstrate water safety skills. If a pool facility is available, demonstrate water safety and basic swimming skills.",PK-02,2025-03-25T14:06:07+00:00
Competency,1.2,,Knowledge to Move (Applies knowledge and strategies related to movement.),PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.1,2.2.1,*The successful Kansas student can* exhibit self-awareness by avoiding objects and others in personal and general space.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.2,2.2.2,*The successful Kansas student can* identify physical activities that contribute to health-related fitness.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.3,2.2.3,*The successful Kansas student can* recognize body responses to movement and physical activities.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.4,2.2.4,*The successful Kansas student can* identify benefits of personal health practices.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.5,2.2.5,*The successful Kansas student can* recognize physiological changes in their body during physical activities.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.2.6,2.2.6,*The successful Kansas student can* recognize that regular physical activity is good for their health.,PK-02,2025-03-25T14:06:07+00:00
Competency,1.3,,Develops personal and social skills related to movement.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.1,3.2.1,"*The successful Kansas student can* identify emotions related to engagement (e.g., challenges, successes, failures) in physical activity.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.2,3.2.2,*The successful Kansas student can* identify personal interests related to physical activity and try new activities.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.3,3.2.3,"*The successful Kansas student can* demonstrate techniques (e.g., breathing, counting) to assist with managing emotions and behaviors in a physical activity.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.4,3.2.4,*The successful Kansas student can* work independently and with peers on physical activities and accept responsibility for one’s behavior.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.5,3.2.5,*The successful Kansas student can* recognize the feelings of others during a variety of physical activities.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.6,3.2.6,"*The successful Kansas student can* recognize the benefits of cooperation (e.g., sharing, taking turns, peer assessment, leading, following) with a partner or small group in a physical activity setting.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.7,3.2.7,*The successful Kansas student can* demonstrate ability to encourage others using verbal and nonverbal communication.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.8,3.2.8,*The successful Kansas student can* use communication skills to share space and equipment.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.9,3.2.9,"*The successful Kansas student can* respond appropriately to directions and corrective feedback from the teacher (e.g., start and stop on an auditory and visual signal).",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.10,3.2.10,"*The successful Kansas student can* demonstrate respectful behaviors that contribute to positive social interactions in movement (e.g., listening to peers, speaking at appropriate times, participating without distracting behaviors).",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.11,3.2.11,*The successful Kansas student can* describe why following the rules is important for safety and fairness and perform within the parameters and guidelines set.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.12,3.2.12,*The successful Kansas student can* make safe choices with physical education equipment and move safely through space.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.13,3.2.13,*The successful Kansas student can* discuss problems and solutions with teacher support in a physical activity setting and ask for teacher help when needed.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.3.14,3.2.14,*The successful Kansas student can* make fair choices as directed by the teacher.,PK-02,2025-03-25T14:06:07+00:00
Competency,1.4,,"Develops personal skills, identifies personal benefits of movement, and chooses to engage in physical activity.",PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.1,4.2.1,*The successful Kansas student can* identify physical activities that can meet the need for self-expression.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.2,4.2.2,*The successful Kansas student can* identify physical activities that can meet the need for social interaction.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.3,4.2.3,*The successful Kansas student can* list ways that movement positively affects personal health.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.4,4.2.4,*The successful Kansas student can* identify preferred physical activities based on personal interests.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.5,4.2.5,*The successful Kansas student can* recognize individual challenges through movement.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.6,4.2.6,*The successful Kansas student can* set observable short-term goals.,PK-02,2025-03-26T16:28:07+00:00
Learning Indicator,1.4.7,4.2.7,*The successful Kansas student can* recognize movement strengths and the need for practice for individual improvement.,PK-02,2025-03-25T14:06:07+00:00
Learning Indicator,1.4.8,4.2.8,*The successful Kansas student can* recognize the opportunity for physical activity within physical education class.,PK-02,2025-03-25T14:06:07+00:00
Grade Span,2,,Grades (3-5),03-05,2025-03-25T14:06:16+00:00
Competency,2.1,,Develops a variety of motor skills.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.1,1.5.1,*The successful Kansas student can* combine varied locomotor skills in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.2,1.5.2,*The successful Kansas student can* demonstrate transferring weight from feet to hands and hands to feet in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.3,1.5.3,*The successful Kansas student can* demonstrate rolling with the body in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.4,1.5.4,"*The successful Kansas student can* combine jumping/landing, rolling, balancing, and transfer of weight from feet to hands in a non-dynamic environment.",03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.5,1.5.5,"*The successful Kansas student can* combine locomotor, non-locomotor, and manipulative movements based on a variety of dance forms.",03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.6,1.5.6,*The successful Kansas student can* demonstrate jumping rope in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.7,1.5.7,*The successful Kansas student can* demonstrate jumping and landing in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.8,1.5.8,*The successful Kansas student can* demonstrate balancing on different body parts in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.9,1.5.9,*The successful Kansas student can* demonstrate rolling a ball in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.10,1.5.10,*The successful Kansas student can* demonstrate throwing in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.11,1.5.11,*The successful Kansas student can* demonstrate striking with a long-handled implement in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.12,1.5.12,*The successful Kansas student can* demonstrate catching in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.13,1.5.13,*The successful Kansas student can* demonstrate striking with hands above the waist in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.14,1.5.14,*The successful Kansas student can* demonstrate striking with hands below the waist in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.15,1.5.15,*The successful Kansas student can* demonstrate serving an object in a non-dynamic environment.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.16,1.5.16,*The successful Kansas student can* demonstrate striking an object with a short-handled implement in a variety of practice tasks.,03-05,2025-03-26T16:25:11+00:00
Learning Indicator,2.1.17,1.5.17,*The successful Kansas student can* demonstrate sending and receiving an object in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.18,1.5.18,*The successful Kansas student can* demonstrate kicking a ball using the instep in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.19,1.5.19,*The successful Kansas student can* demonstrate dribbling with hands in non-dynamic and dynamic practice tasks.,03-05,2025-03-26T16:25:38+00:00
Learning Indicator,2.1.20,1.5.20,*The successful Kansas student can* demonstrate dribbling with feet in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.21,1.5.21,*The successful Kansas student can* combine manipulative skills and traveling for execution to a target in a variety of practice tasks.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.1.22,1.5.22,"*The successful Kansas student can* demonstrate water safety skills. If a pool facility is available, demonstrate water safety and basic swimming skills.",03-05,2025-03-25T14:06:16+00:00
Competency,2.2,,Knowledge to Move (Applies knowledge and strategies related to movement.),03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.1,2.5.1,*The successful Kansas student can* apply movement concepts and strategy exhibiting self-awareness within dynamic environments.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.2,2.5.2,*The successful Kansas student can* define and provide examples of movement activities for developing the health-related fitness components.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.3,2.5.3,*The successful Kansas student can* define and explain how to implement principles of exercise through self-care.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.4,2.5.4,*The successful Kansas student can* explain the benefits of personal health practices.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.5,2.5.5,*The successful Kansas student can* define and provide examples of movement activities for developing the skill-related fitness components.,03-05,2025-03-25T14:06:16+00:00
Learning Indicator,2.2.6,2.5.6,*The successful Kansas student can* identify the need for warm-up and cool-down relative to various physical activities.,03-05,2025-03-25T14:06:16+00:00
