Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards and Benchmarks,KG-12,2023-09-08T18:20:14+00:00
Standard,1.1,Standard 1,Choices have consequences.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.1.1,Benchmark 1.1,The student will recognize and evaluate significant choices and consequences that have impacted our lives and futures.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.1.2,Benchmark 1.2,The student will analyze the context and draw conclusions about choices and consequences.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.1.3,Benchmark 1.3,The student will investigate and connect examples of choices and consequences with contemporary issues.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.1.4,Benchmark 1.4,The student will use their understanding of choices and consequences to make a claim or advance a thesis using evidence and argument,KG-12,2023-09-08T18:20:14+00:00
Standard,1.2,Standard 2,Individuals have rights and responsibilities.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.2.1,Benchmark 2.1,The student will recognize and evaluate the rights and responsibilities of people living in societies.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.2.2,Benchmark 2.2,The student will analyze the context and draw conclusions about rights and responsibilities.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.2.3,Benchmark 2.3,The student will investigate and connect the rights and responsibilities of individuals with contemporary issues.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.2.4,Benchmark 2.4,The student will use their understanding of rights and responsibilities to make a claim or advance a thesis using evidence and argument.,KG-12,2023-09-08T18:20:14+00:00
Standard,1.3,Standard 3,"Societies are shaped by the identities, beliefs, and practices of individuals and groups.",KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.3.1,Benchmark 3.1,"The student will recognize and evaluate how societies are shaped by the identities, beliefs, and practices of individuals and groups.",KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.3.2,Benchmark 3.2,"The student will analyze context and draw conclusions of how societies are shaped by the identities, beliefs, and practices of individuals and groups.",KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.3.3,Benchmark 3.3,"The student will investigate and connect how societies are shaped by the identities, beliefs, and practices of individuals and groups with contemporary issues.",KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.3.4,Benchmark 3.4,"The student will use their understanding of how societies are shaped by the identities, beliefs, and practices of individuals and groups to make a claim or advance a thesis using evidence and argument.",KG-12,2023-09-08T18:20:14+00:00
Standard,1.4,Standard 4,Societies experience continuity and change over time.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.4.1,Benchmark 4.1,The student will recognize and evaluate continuity and change over time.,KG-12,2023-09-08T18:20:14+00:00
Benchmark,1.4.2,Benchmark 4.2,The student will analyze the context and draw conclusions about continuity and change.,KG-12,2023-09-08T18:20:14+00:00
