Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Content Standards,KG-12,2025-05-16T03:45:49+00:00
Standard,1.1,Standard 1,Students will comprehend concepts related to health promotion and disease prevention to enhance health.,KG-12,2025-05-16T03:46:56+00:00
Standard,1.2,Standard 2,"Students will analyze influences on health behaviors (including family, peer, culture, media, technology and other factors).",KG-12,2025-05-16T03:47:02+00:00
Standard,1.3,Standard 3,Students will demonstrate the ability to access and analyze valid information and products and services to enhance health.,KG-12,2025-05-16T03:47:06+00:00
Standard,1.4,Standard 4,Students will demonstrate the ability to use interpersonal communication skills to enhance health or reduce health risks.,KG-12,2025-05-16T03:47:10+00:00
Standard,1.5,Standard 5,Students will demonstrate the ability to use decision-making skills to enhance health or reduce health risks.,KG-12,2025-05-16T03:47:15+00:00
Standard,1.6,Standard 6,Students will demonstrate the ability to use goal-setting skills to enhance health or reduce health risks.,KG-12,2025-05-16T03:47:19+00:00
Standard,1.7,Standard 7,Students will demonstrate the ability to practice health-enhancing behaviors to enhance health or reduce health risks.,KG-12,2025-05-16T03:47:23+00:00
Standard,1.8,Standard 8,Students will demonstrate the ability to advocate for health.,KG-12,2025-05-16T03:47:27+00:00
Competency Grouping,2,,Benchmarks,KG-12,2025-05-16T03:45:45+00:00
Grade Range,2.1,,Grades K-2,KG-02,2025-04-23T14:30:00+00:00
Content Area,2.1.1,,Community Health,KG-02,2025-04-23T14:30:00+00:00
Content Standard,2.1.1.1,CMH.2.1,"*The students will know, comprehend, apply, analyze, synthesize and/or evaluate* community helpers (police, firefighters, nurses, sanitation, doctors, EMT, etc.).",KG-02,2025-04-23T14:30:00+00:00
Content Standard,2.1.1.2,CMH.2.2,"*The students will know, comprehend, apply, analyze, synthesize and/or evaluate* local community needs/issues/events.",KG-02,2025-04-23T14:30:00+00:00
Content Standard,2.1.1.3,CMH.2.3,"*The students will know, comprehend, apply, analyze, synthesize and/or evaluate* healthy Communities (home, neighborhoods, school, etc.).",KG-02,2025-04-23T14:30:00+00:00
Content Area,2.1.2,,Consumer Health,KG-02,2025-04-23T14:30:00+00:00
Content Standard,2.1.2.1,CNH.2.1,"*The students will know, comprehend, apply, analyze, synthesize and/or evaluate* reliable health-care products, safety professionals, and services.",KG-02,2025-04-23T14:30:00+00:00
