Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Strand,1.1,,Writing,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.1,,Text Type and Purposes,KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,W.K.1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., *My favorite book is . . .*).",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.2,W.K.2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",KG,2023-11-19T00:00:00+00:00
Standard,1.1.1.3,W.K.3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.2,,Production and Distribution of Writing,KG,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,W.K.5,"*With guidance and support from adults*, respond to questions and suggestions from peers and add details to strengthen writing as needed.",KG,2023-11-19T00:00:00+00:00
Standard,1.1.2.2,W.K.6,"*With guidance and support from adults*, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.3,,Research to Build and Present Knowledge,KG,2023-11-19T00:00:00+00:00
Standard,1.1.3.1,W.K.7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",KG,2023-11-19T00:00:00+00:00
Standard,1.1.3.2,W.K.8,"*With guidance and support from adults*, recall information from experiences or gather information from provided sources to answer a question.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.1.4,,Language in Writing,KG,2023-11-19T00:00:00+00:00
Standard,1.1.4.1,W.K.10,Demonstrate command of the conventions of standard English grammar and usage when writing.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.1.1,W.K.10.a,Print many upper and lowercase letters.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.1.2,W.K.10.b,Use frequently occurring nouns and verbs in writing.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.1.3,W.K.10.c,"Understand and use question words (interrogatives) (e.g., *who*, *what*, *where*, *when*, *why*, *how*).",KG,2023-11-19T00:00:00+00:00
Component,1.1.4.1.4,W.K.10.d,"Use the most frequently occurring prepositions in written work (e.g., to, from, in, out, on, off, for, of, by, with).",KG,2023-11-19T00:00:00+00:00
Component,1.1.4.1.5,W.K.10.e,Produce and expand complete sentences in shared language activities.,KG,2023-11-19T00:00:00+00:00
Standard,1.1.4.2,W.K.11,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",KG,2023-11-19T00:00:00+00:00
Component,1.1.4.2.1,W.K.11.a,Capitalize the first word in a sentence and the pronoun *I*.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.2.2,W.K.11.b,Recognize and name end punctuation.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.2.3,W.K.11.c,Write a letter or letters for *most* consonant and short vowel sounds.,KG,2023-11-19T00:00:00+00:00
Component,1.1.4.2.4,W.K.11.d,"Spell simple words phonetically, drawing on knowledge of letter-sound relationships.",KG,2023-11-19T00:00:00+00:00
Strand,1.2,,Speaking and Listening,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.1,,Comprehension and Collaboration,KG,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,SL.K.1,Participate in collaborative conversations with diverse partners about *Kindergarten topics and texts* with peers and adults in small and larger groups.,KG,2023-11-19T00:00:00+00:00
Component,1.2.1.1.1,SL.K.1.a,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",KG,2023-11-19T00:00:00+00:00
Component,1.2.1.1.2,SL.K.1.b,Continue a conversation through multiple exchanges.,KG,2023-11-19T00:00:00+00:00
Standard,1.2.1.2,SL.K.2,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,KG,2023-11-19T00:00:00+00:00
Standard,1.2.1.3,SL.K.3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.2,,Presentation of Knowledge and Ideas,KG,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,SL.K.4,"Use details to describe familiar people, places, things, or events *with prompting and support*.",KG,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,SL.K.5,Add drawings or other visual displays to descriptions as desired to provide additional detail.,KG,2023-11-19T00:00:00+00:00
Standard,1.2.2.3,SL.K.6,"Speak with appropriate volume, enunciation, and rate in order to express thoughts, feelings, and ideas clearly.",KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.2.3,,Language in Speaking and Listening,KG,2023-11-19T00:00:00+00:00
Standard,1.2.3.1,SL.K.7,Demonstrate command of the conventions of standards English grammar and usage when speaking.,KG,2023-11-19T00:00:00+00:00
Component,1.2.3.1.1,SL.K.7.a,Use frequently occurring nouns and verbs in speech.,KG,2023-11-19T00:00:00+00:00
Component,1.2.3.1.2,SL.K.7.b,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).",KG,2023-11-19T00:00:00+00:00
Component,1.2.3.1.3,SL.K.7.c,"Understand and use question words (interrogatives) (e.g., *who*, *what*, *where*, *when*, *why*, *how*).",KG,2023-11-19T00:00:00+00:00
Component,1.2.3.1.4,SL.K.7.d,"Use the most frequently occurring prepositions in written work (e.g., to, from, in, out, on, off, for, of, by, with).",KG,2023-11-19T00:00:00+00:00
Component,1.2.3.1.5,SL.K.7.e,Produce and expand complete sentences in shared language activities.,KG,2023-11-19T00:00:00+00:00
Standard,1.2.3.2,SL.K.8,"Use words and phrases acquired through conversations, reading, and through being read to.",KG,2023-11-19T00:00:00+00:00
Strand,1.3,,Reading: Foundational,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.1,,Print Concepts,KG,2023-11-19T00:00:00+00:00
Standard,1.3.1.1,RF.K.1,Demonstrate understanding of the organization and basic features of print.,KG,2023-11-19T00:00:00+00:00
Component,1.3.1.1.1,RF.K.1.a,"Follow words from left to right, top to bottom, and page by page.",KG,2023-11-19T00:00:00+00:00
Component,1.3.1.1.2,RF.K.1.b,Recognize that spoken words are represented in written language by specific sequences of letters.,KG,2023-11-19T00:00:00+00:00
Component,1.3.1.1.3,RF.K.1.c,Understand that words are separated by spaces in print and can point with one-to-one correspondence.,KG,2023-11-19T00:00:00+00:00
Component,1.3.1.1.4,RF.K.1.d,Recognize and name all upper- and lowercase letters of the alphabet.,KG,2023-11-19T00:00:00+00:00
Anchor Standard,1.3.2,,Phonological Awareness,KG,2023-11-19T00:00:00+00:00
Standard,1.3.2.1,RF.K.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",KG,2023-11-19T00:00:00+00:00
Component,1.3.2.1.1,RF.K.2.a,Recognize and produce rhyming words.,KG,2023-11-19T00:00:00+00:00
Component,1.3.2.1.2,RF.K.2.b,"Count, pronounce, blend, and segment syllables in spoken words.",KG,2023-11-19T00:00:00+00:00
