Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Goal Areas and Standards,KG-12,2025-05-16T03:34:33+00:00
Goal Area,1.1,,**Communication** Communicate effectively in more than one language in order to function in a variety of situations and for multiple purposes.,KG-12,2025-03-11T13:28:07+00:00
Standard,1.1.1,,"**Interpersonal** Learners interact and negotiate meaning in spoken, signed, or written conversations to share information, reactions, feelings, and opinions.",KG-12,2025-03-11T13:28:07+00:00
Standard,1.1.2,,"**Interpretive** Learners understand, interpret, and analyze what is heard, read, or viewed on a variety of topics.",KG-12,2025-03-11T13:28:07+00:00
Standard,1.1.3,,"**Presentational** Learners present information, concepts, and ideas to inform, explain, persuade, and narrate on a variety of topics using appropriate media and adapting to various audiences of listeners, readers, or viewers.",KG-12,2025-03-11T13:28:07+00:00
Goal Area,1.2,,**Cultures** Interact with cultural competence and understanding.,KG-12,2025-03-11T13:28:07+00:00
Standard,1.2.1,,"**Relating Cultural Practices to Perspectives** Learners use the language to investigate, explain, and reflect on the relationship between the practices and perspectives of the cultures studied.",KG-12,2025-03-11T13:28:07+00:00
Standard,1.2.2,,"**Relating Cultural Products to Perspectives** Learners use the language to investigate, explain, and reflect on the relationship between the products and perspectives of the cultures studied.",KG-12,2025-03-11T13:28:07+00:00
Goal Area,1.3,,**Connections** Connect with other disciplines and acquire information and diverse perspectives in order to use the language to function in academic and careerrelated situations.,KG-12,2025-03-11T13:28:07+00:00
Standard,1.3.1,,"**Making Connections** Learners build, reinforce, and expand their knowledge of other disciplines while using the language to develop critical thinking and to solve problems creatively.",KG-12,2025-03-11T13:28:07+00:00
Standard,1.3.2,,**Acquiring Information and Diverse Perspectives** Learners access and evaluate information and diverse perspectives that are available through the language and its cultures.,KG-12,2025-03-11T13:28:07+00:00
Goal Area,1.4,,**Comparisons** Develop insight into the nature of language and culture in order to interact with cultural competence,KG-12,2025-03-11T13:28:07+00:00
Standard,1.4.1,,"**Language Comparisons** Learners use the language to investigate, explain, and reflect on the nature of language through comparisons of the language studied and their own.",KG-12,2025-03-11T13:28:07+00:00
Standard,1.4.2,,"**Cultural Comparisons** Learners use the language to investigate, explain, and reflect on the concept of culture through comparisons of the cultures studied and their own.",KG-12,2025-03-11T13:28:07+00:00
Goal Area,1.5,,**Communities** Communicate and interact with cultural competence in order to participate in multilingual communities at home and around the world.,KG-12,2025-03-11T13:28:07+00:00
Standard,1.5.1,,**School and Global Communities** Learners use the language both within and beyond the classroom to interact and collaborate in their community and the globalized world.,KG-12,2025-03-11T13:28:07+00:00
Standard,1.5.2,,"**Lifelong Learning** Learners set goals and reflect on their progress in using languages for enjoyment, enrichment, and advancement.",KG-12,2025-03-11T13:28:07+00:00
Competency Grouping,2,,Can-Do Statements / Proficiency Benchmarks / Performance Indicators,KG-12,2025-05-16T03:34:43+00:00
Standard,2.1,1.1,"**Interpersonal** Learners interact and negotiate meaning in spoken, signed, or written conversations to share information, reactions, feelings, and opinions.",KG-12,2025-03-11T13:28:07+00:00
Proficiency Benchmark,2.1.1,,"**Novice** Expresses self in conversations on very familiar topics using a variety of words, phrases, simple sentences, and questions that have been highly practiced and memorized.",KG-12,2025-03-11T13:28:07+00:00
Performance Descriptor,2.1.1.1,,**Novice Low** Learners can communicate on some very familiar topics using single words and phrases that they have practiced and memorized.,KG-12,2025-03-11T13:28:07+00:00
Indicator,2.1.1.1.1,1.1.NL.1,*Novice Low Learners can* greet peers.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.1.2,1.1.NL.2,*Novice Low Learners can* introduce self to someone.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.1.3,1.1.NL.3,*Novice Low Learners can* answer a few simple questions.,KG-12,2025-03-24T12:44:19+00:00
Performance Descriptor,2.1.1.2,,**Novice Mid** Learners can communicate on very familiar topics using a variety of words and phrases that they have practiced and memorized.,KG-12,2025-03-11T13:28:07+00:00
Indicator,2.1.1.2.1,1.1.NM.1,*Novice Mid Learners can* greet and leave people in a polite way.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.2,1.1.NM.2,*Novice Mid Learners can* introduce self and others.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.3,1.1.NM.3,*Novice Mid Learners can* answer a variety of simple questions.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.4,1.1.NM.4,*Novice Mid Learners can* make some simple statements in a conversation.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.5,1.1.NM.5,*Novice Mid Learners can* ask some simple questions.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.6,1.1.NM.6,*Novice Mid Learners can* communicate basic information about self and people they know.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.2.7,1.1.NM.7,*Novice Mid Learners can* communicate some basic information about their everyday lives.,KG-12,2025-03-24T12:44:19+00:00
Performance Descriptor,2.1.1.3,,"**Novice High** Learners can communicate and exchange information about familiar topics using phrases and simple sentences, sometimes supported by memorized language. They can usually handle short social interactions in everyday situations by asking and answering simple questions.",KG-12,2025-03-11T13:28:07+00:00
Indicator,2.1.1.3.1,1.1.NH.1,*Novice High Learners can* exchange some personal information.,KG-12,2025-03-24T12:44:19+00:00
Indicator,2.1.1.3.2,1.1.NH.2,"*Novice High Learners can* exchange information using texts, graphs, or pictures.",KG-12,2025-03-24T12:44:19+00:00
