Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,,Mental and Emotional Health,PK-12,2025-04-08T20:44:11+00:00
Grade,1.1,,Pre-Kindergarten,PK,2025-04-08T20:46:27+00:00
Topic,1.1.1,,Emotions,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.1.1,1a.P.1,Identify different emotions.,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.1.2,1a.P.2,State that anger and other big or strong emotions are common.,PK,2025-04-08T20:46:27+00:00
Topic,1.1.2,,Self and social awareness,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.2.1,1a.P.3,Demonstrate awareness of personal emotions.,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.2.2,1a.P.4,Recognize the feelings of another child.,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.2.3,1a.P.5,Recognize personal strengths.,PK,2025-04-08T20:46:27+00:00
Topic,1.1.3,,Relationships,PK,2025-04-08T20:46:27+00:00
Expectation,1.1.3.1,1a.P.6,Identify the characteristics of a friend.,PK,2025-04-08T20:46:27+00:00
Topic,1.1.4,,"Teasing, bullying, and harassment",PK,2025-04-08T20:46:27+00:00
Expectation,1.1.4.1,1a.P.7,Describe how people are unique.,PK,2025-04-08T20:46:27+00:00
Topic,1.1.5,,Trusted adult,PK,2025-04-09T12:20:52+00:00
Expectation,1.1.5.1,1a.P.8,Identify trusted adults who can help with emotions.,PK,2025-04-09T12:21:19+00:00
Grade,1.2,,Kindergarten,KG,2025-04-08T20:46:55+00:00
Topic,1.2.1,,Emotions,KG,2025-04-08T20:46:55+00:00
Expectation,1.2.1.1,1a.K.1,Identify appropriate ways to express emotions.,KG,2025-04-08T20:46:55+00:00
Expectation,1.2.1.2,1a.K.2,Identify big or strong emotions and safe and unsafe ways of expressing one’s emotions.,KG,2025-04-08T20:46:55+00:00
Topic,1.2.2,,Self and social awareness,KG,2025-04-08T20:46:55+00:00
