Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Outcome Group,1,,Elementary - Primary (PreK - Grade 2),PK-02,2025-03-21T17:29:16+00:00
Grade,1.1,,Pre-Kindergarten,PK,2025-03-21T17:30:04+00:00
Standard,1.1.1,S1.PK,Motor Skills and Movement Patterns,PK,2025-03-24T13:04:44+00:00
Concept,1.1.1.1,,"Hopping, Galloping, Jogging, Running, Sliding, and Skipping",PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.1.1,S1.PK.1,Moves using a variety of locomotor skills.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.2,,Jumping and Landing,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.2.1,S1.PK.3,Demonstrates a vertical jump and landing with balance.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.3,,Dance,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.3.1,S1.PK.4,Performs creative movements to the rhythm of music.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.4,,Balance,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.4.1,S1.PK.5a,Identifies different bases of support.,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.4.2,S1.PK.5b,Balances on different body parts.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.5,,Weight Transfer - Rolling,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.5.1,S1.PK.7a,Creates curled shapes with their body.,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.5.2,S1.PK.7b,Demonstrates how to rock on different body parts.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.6,,"Curling, Stretching, Twisting, and Bending",PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.6.1,S1.PK.8,Stretches the muscles.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.7,,Rolling a Ball,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.7.1,S1.PK.10,Rolls a ball to a stationary partner or target while seated.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.8,,Underhand Throw,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.8.1,S1.PK.11,"Underhand throws to a large, stationary target.",PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.9,,Catching,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.9.1,S1.PK.13,Demonstrates some of the critical elements when catching a rolling ball.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.10,,Dribbling with Hands,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.10.1,S1.PK.14,Bounces a ball down with two hands and attempts to catch it while remaining in personal space.,PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.11,,Dribbling with Feet,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.11.1,S1.PK.15,"Taps a stationary ball using the inside of the foot, maintaining body control.",PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.12,,Kicking,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.12.1,S1.PK.16,"Kicks a stationary ball from a stationary position, maintaining body control.",PK,2025-03-21T17:30:04+00:00
Concept,1.1.1.13,,Underhand Volley,PK,2025-03-21T17:30:04+00:00
Outcome,1.1.1.13.1,S1.PK.17,Volleys a lightweight object using different body parts.,PK,2025-03-21T17:30:04+00:00
