Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,Social Studies Standards,"To assist students in acquiring these understandings, the content of the framework is structured by the following six state social studies standards:",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1,Standard 1.0,Civics,KG-11,2023-11-19T00:00:00+00:00
Standard,1.2,Standard 2.0,Peoples and Nations of the World,KG-11,2023-11-19T00:00:00+00:00
Standard,1.3,Standard 3.0,Geography,KG-11,2023-11-19T00:00:00+00:00
Standard,1.4,Standard 4.0,Economics,KG-11,2023-11-19T00:00:00+00:00
Standard,1.5,Standard 5.0,History,KG-11,2023-11-19T00:00:00+00:00
Standard,1.6,Standard 6.0,Skills and Processes,KG-11,2023-11-19T00:00:00+00:00
Grade Level,2,,Pre-Kindergarten,PK,2023-11-19T00:00:00+00:00
Framework,2.1,,Social Studies Framework: Pre-Kindergarten,PK,2023-11-19T00:00:00+00:00
Inquiry Skill,2.1.1,,Inquiry Skills and Processes,PK,2023-11-19T00:00:00+00:00
Inquiry Skill,2.1.1.1,Inquiry Dimension 1,"Developing Questions & Planning Inquiries – constructing compelling and supporting questions, planning inquires, and determining helpful sources.",PK,2023-11-19T00:00:00+00:00
Inquiry Skill,2.1.1.2,Inquiry Dimension 2,"Applying Disciplinary Concepts & Tools - applying the disciplinary concepts and tools of civics, geography, economics, and history.",PK,2023-11-19T00:00:00+00:00
Inquiry Skill,2.1.1.3,Inquiry Dimension 3,"Evaluating Sources & Using Evidence – evaluating sources, identifying credible, relevant information contained in sources, using evidence to support and develop claims.",PK,2023-11-19T00:00:00+00:00
Inquiry Skill,2.1.1.4,Inquiry Dimension 4,"Communicating and Critiquing Conclusions & Taking Informed Action – communicating and presenting claims, critiquing claims, and identifying ways to address problems in their communities.",PK,2023-11-19T00:00:00+00:00
Unit,2.1.2,Unit 1:,Civics,PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.2.1,,Freedom,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.2.1.1,,Students will examine the concept of freedom by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.1.1.1,,defining freedom as being able to choose what your life looks like without interference from others.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.1.1.2,,defining equality as the same freedoms that are held by all people.,PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.2.2,,Conflict and compromise,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.2.2.1,,Students will examine the role of conflict and compromise by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.2.1.1,,identifying school or community conflicts that require working with groups to resolve.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.2.1.2,,identifying how multiple perspectives and the freedom to express varied opinion in a democratic society can complicate conflict resolution.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.2.1.3,,explaining the role of authority in promoting compromise and how it can resolve conflict.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.2.1.4,,"exploring how compromise is used in civic life at home, school, and community",PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.2.3,,Rules,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.2.3.1,,Students will analyze the how groups and people in authority use rules to promote the common good by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.3.1.1,,explaining that rules serve to support order and protect individual rights.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.3.1.2,,"comparing rules at home, school, and community.",PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.3.1.3,,explaining why rules are different based on location.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.2.3.1.4,,evaluating classroom rules for their ability to promote freedom and equality.,PK,2023-11-19T00:00:00+00:00
Unit,2.1.3,Unit 2:,Unit 2: Geography,PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.3.1,,Place,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.3.1.1,,Students will explain what makes their school special using geographic terms by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.1.1.1,,"identifying important objects in the classroom using the terms near/far, left/right, behind/in front, and up/down.",PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.1.1.2,,describing the location of the school in relationship to other locations near and far away.,PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.3.2,,Human and Environmental Interaction,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.3.2.1,,Students will analyze the unique human and environmental interactions in their school community by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.2.1.1,,identifying ways that people in Maryland adapt to their environment including wearing different types of clothing throughout the year in their school.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.2.1.2,,"identifying ways that people in Maryland adapt their environment to meet their own individual and group, and family needs including cutting down trees for development.",PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.3.3,,Movement,PK,2023-11-19T00:00:00+00:00
Indicator,2.1.3.3.1,,Students will describe how transportation and communication link people and places by:,PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.3.1.1,,explaining how transportation is used to move people from place to place.,PK,2023-11-19T00:00:00+00:00
Objective,2.1.3.3.1.2,,identifying means of transportation available both in their community and beyond.,PK,2023-11-19T00:00:00+00:00
Unit,2.1.4,Unit 3:,Economics,PK,2023-11-19T00:00:00+00:00
Content Topic,2.1.4.1,,Scarcity,PK,2023-11-19T00:00:00+00:00
