Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Range,1,,Grades K-2,KG-02,2025-02-28T17:26:31+00:00
Course,1.1,,Kindergarten,KG,2025-02-28T17:27:08+00:00
Concept,1.1.1,,Computing Systems,,2025-02-28T17:10:01+00:00
Subconcept,1.1.1.1,,Devices,,2025-02-28T17:10:01+00:00
Standard,1.1.1.1.1,K.CS.D.01,Select and operate the appropriate computing device to perform a variety of different tasks,,2025-02-28T17:10:01+00:00
Subconcept,1.1.1.2,,Hardware & Software,,2025-02-28T17:10:01+00:00
Standard,1.1.1.2.1,K.CS.HS.01,"Identify by name and locate common computing devices and external hardware in a variety of environments, using appropriate technical terminology (e.g., mobile devices, desktop computer, laptop computer, mouse, keyboard, wearables).",,2025-02-28T17:10:01+00:00
Subconcept,1.1.1.3,,Troubleshooting,,2025-02-28T17:10:01+00:00
Standard,1.1.1.3.1,K.CS.T.01,"Recognize the possibility computing systems might not work as expected and identify basic hardware and software problems using appropriate technical terminology (e.g., monitor turned off, volume decreased on headphones).",,2025-02-28T17:10:01+00:00
Concept,1.1.2,,Networks and the Internet,,2025-02-28T17:10:01+00:00
Subconcept,1.1.2.1,,Network Communication & Organization,,2025-02-28T17:10:01+00:00
Standard,1.1.2.1.1,K.NI.NCO.01,Recognize that basic computing devices and components can be connected to one another.,,2025-02-28T17:10:01+00:00
Subconcept,1.1.2.2,,Cybersecurity,,2025-02-28T17:10:01+00:00
Standard,1.1.2.2.1,K.NI.C.01,Identify and use passwords and discuss why they are not shared with others.,,2025-02-28T17:10:01+00:00
Concept,1.1.3,,Data Analysis,,2025-02-28T17:10:01+00:00
Subconcept,1.1.3.1,,Storage,,2025-02-28T17:10:01+00:00
Standard,1.1.3.1.1,K.DA.S.01,Identify that information from our everyday lives can be stored and accessed via computing devices.,,2025-02-28T17:10:01+00:00
Subconcept,1.1.3.2,,"Collection, Visualization & Transformation",,2025-02-28T17:10:01+00:00
Standard,1.1.3.2.1,K.DA.CVT.01,"With guidance, collect data on a basic topic (e.g., weather, temperature) and present it visually.",,2025-02-28T17:10:01+00:00
Subconcept,1.1.3.3,,Inference & Models,,2025-02-28T17:10:01+00:00
Standard,1.1.3.3.1,K.DA.IM.01,"With guidance, draw conclusions and make predictions based on picture graphs or patterns (e.g., make predictions based on weather data presented in a picture graph, complete a pattern) with or without a computing device.",,2025-02-28T17:10:01+00:00
Concept,1.1.4,,Algorithms and Programming,,2025-02-28T17:10:01+00:00
Subconcept,1.1.4.1,,Algorithms,,2025-02-28T17:10:01+00:00
Standard,1.1.4.1.1,K.AP.A.01,Model daily processes and follow basic algorithms (step-by-step lists of instructions) to complete tasks.,,2025-02-28T17:10:01+00:00
Subconcept,1.1.4.2,,Variables,,2025-02-28T17:10:01+00:00
Standard,1.1.4.2.1,K.AP.V.01,"With guidance, model the way programs store and manipulate gradelevel data by using numbers or other symbols to represent information (e.g., encode or decode words using numbers, pictographs or symbols to letters, words, or direction).",,2025-02-28T17:10:01+00:00
Subconcept,1.1.4.3,,Control,,2025-02-28T17:10:01+00:00
Standard,1.1.4.3.1,K.AP.C.01,"With guidance, create a set of instructions (programs) to accomplish a task using a programming language, device, or unplugged activity, including sequencing, emphasizing the beginning, middle, and end.",,2025-02-28T17:10:01+00:00
Subconcept,1.1.4.4,,Program Development,,2025-02-28T17:10:01+00:00
Standard,1.1.4.4.1,K.AP.PD.01,"With guidance, create a grade level appropriate document to illustrate thoughts, ideas, or stories in a sequential manner (e.g., storyboard, story map, sequential graphic organizer).",,2025-02-28T17:10:01+00:00
Standard,1.1.4.4.2,K.AP.PD.02,"Give attribution to ideas, solutions, and creations of others, verbally, while developing algorithms.",,2025-02-28T17:10:01+00:00
Standard,1.1.4.4.3,K.AP.PD.03,Identify errors in an algorithm that includes sequencing and repeated procedures using a programming language or unplugged activity. Discuss how errors in the algorithm could be corrected.,,2025-02-28T17:10:01+00:00
Standard,1.1.4.4.4,K.AP.PD.04,"Use correct terminology (e.g., first, second, etc.) in the development of an algorithm to solve a simple problem.",,2025-02-28T17:10:01+00:00
Concept,1.1.5,,Impacts of Computing,,2025-02-28T17:10:01+00:00
Subconcept,1.1.5.1,,Culture and Diversity,,2025-02-28T17:10:01+00:00
Standard,1.1.5.1.1,K.IC.C.01,Use grade-level appropriate language to identify and describe how people use a variety of technologies and applications in their daily work and personal lives.,,2025-02-28T17:10:01+00:00
Subconcept,1.1.5.2,,Social Interactions,,2025-02-28T17:10:01+00:00
Standard,1.1.5.2.1,K.IC.SI.01,Identify appropriate and safe behaviors when participating online.,,2025-02-28T17:10:01+00:00
Subconcept,1.1.5.3,,"Safety, Law & Ethics",,2025-02-28T17:10:01+00:00
Standard,1.1.5.3.1,K.IC.SLE.01,Keep login information private and log off devices appropriately.,,2025-02-28T17:10:01+00:00
Course,1.2,,Grade 1,01,2025-02-28T17:27:01+00:00
Concept,1.2.1,,Computing Systems,,2025-02-28T17:10:01+00:00
Subconcept,1.2.1.1,,Devices,,2025-02-28T17:10:01+00:00
Standard,1.2.1.1.1,1.CS.D.01,Select and operate the appropriate application/software to perform a variety of tasks or obtain a desired outcome.,,2025-02-28T17:10:01+00:00
Subconcept,1.2.1.2,,Hardware & Software,,2025-02-28T17:10:01+00:00
Standard,1.2.1.2.1,1.CS.HS.01,"Identify and describe functions of common computing devices and external hardware (e.g., mobile devices, desktop computer, laptop computer, mouse, keyboard, printer, wearables).",,2025-02-28T17:10:01+00:00
Subconcept,1.2.1.3,,Troubleshooting,,2025-02-28T17:10:01+00:00
Standard,1.2.1.3.1,1.CS.T.01,"Identify and communicate basic hardware and software problems that may occur during use (e.g., application/program not working correctly, no sound coming from device, caps lock turned on), using appropriate technical terminology.",,2025-02-28T17:10:01+00:00
Concept,1.2.2,,Networks and the Internet,,2025-02-28T17:10:01+00:00
Subconcept,1.2.2.1,,Network Communication & Organization,,2025-02-28T17:10:01+00:00
Standard,1.2.2.1.1,1.NI.NCO.01,Recognize that computing devices can be connected through physical or wireless pathways.,,2025-02-28T17:10:01+00:00
Subconcept,1.2.2.2,,Cybersecurity,,2025-02-28T17:10:01+00:00
Standard,1.2.2.2.1,1.NI.C.01,"Recognize what passwords are, why they are used, and why they are not shared.",,2025-02-28T17:10:01+00:00
Concept,1.2.3,,Data Analysis,,2025-02-28T17:10:01+00:00
Subconcept,1.2.3.1,,Storage,,2025-02-28T17:10:01+00:00
